alpha_0,alpha_1,beta_0,sigma
-0.0020930399389674746,0.3325938871418456,0.030178515403495202,0.010837174404055561
-0.002982443122301595,-0.08930217001653729,0.2092325261426146,0.012184921269396473
-0.003019091649287131,0.4016611612069312,0.2795739216936116,0.010222457243907374
0.002521249580897007,-0.03633253032985434,0.2009522078652798,0.011917101062396832
-0.0038358292548957896,0.36916036655005074,0.026156177434948597,0.012049664359021602
0.00151446147392163,0.509890384339242,0.18473717403051781,0.011182472303455246
0.0004070402593352024,0.36720295277537607,0.004615177370791236,0.012520201882845835
0.0010134519036036022,0.40382911944022654,-0.013607644354893469,0.011520789237372773
-0.0008912812651972589,0.2776986250573102,0.23958486457331016,0.011810717732057234
-0.0007105547749563339,0.2821249573132452,0.2245746981640548,0.01189292887497294
-0.0011775052636753616,-0.01177216346915725,0.2702174418043034,0.010672284697862341
-0.004267833022046404,0.0770806669895928,0.20264781831383188,0.009672110386193282
0.000778210143970867,0.26387276577913965,0.124229014493077,0.012780268256776244
0.00017627659922469862,-0.01149915327421593,0.25116423568442714,0.013570766601133951
-0.0020571659251111115,0.16484904728384772,0.1051052842609056,0.011054088080559105
-0.001976739596672316,0.04997968882668855,0.3292405769834107,0.012069546076210073
-0.004025596235923676,0.26028889238756914,0.25298406965536363,0.01065311676220323
0.0016656813359644195,0.0559922762438385,0.13802066566658266,0.011479028070389474
0.00034635803829160644,0.1160752148900584,0.16454361165666934,0.011668797652825458
-0.005269295498285947,0.3430292252171834,0.23665404862192388,0.01153698938201181
-0.007306408240026567,-0.0004355429914329259,0.5074586567104191,0.010981965937343028
-0.0015097356900213989,-0.11197973535594916,0.11862338529163688,0.010686864161225171
-0.00012708937907028773,0.3394523183440165,0.2085875954388474,0.012388164484388179
-0.0037246508750948914,0.13931553947868439,0.14150535047896473,0.01059492909993687
-0.0017499527617416421,0.15701612968968415,0.37445719822697016,0.010858259917619576
-0.0036306572893058946,0.15347190482825018,0.04659664582748593,0.011589294775834424
-0.00036000226912632534,0.1704664515421358,0.3283881455426519,0.010966841437404486
-0.004907065213146961,-0.0177577681396005,0.2318957875118263,0.015019999221913122
-0.0014691919116614025,0.05554498282105976,0.22122114619291428,0.008989590407334555
-0.0030651975631311103,0.252396290156978,0.16517917764652773,0.0138845885517364
-0.002942762159428904,0.18187189876452914,0.2251339674415199,0.010087750074163807
-0.001849999368364947,0.09232828301854426,0.25243154170188975,0.01243749582463354
0.00021190122175744952,0.289958194274143,0.13952943005687662,0.010039703192765474
-0.0030069920569537048,0.1477629311633133,0.1777783866777198,0.010898676348974241
-0.001667662898313319,0.16483420522147144,0.15806546608445124,0.011121116202862599
-0.0012920779290567384,0.19034740375534318,0.19902786659270036,0.009146893492919451
-0.0029112674900370655,0.18300071259382236,0.14642073061026117,0.012936393060048066
-0.003166012256665483,0.2738166540243368,0.20373739238924193,0.01194268966579393
-0.0005129549537612447,0.31173515600289714,0.21535882025033837,0.01266998253009117
-0.003183789085446745,0.03959617125244741,0.2946302090936818,0.009975499017573646
-0.0031425227139230804,0.253341416505785,0.22057222604344856,0.011334201445996157
-0.0013373282788567218,0.09781290429846454,0.19417002731857408,0.011318131620953875
-0.0020708853776134576,0.08818757452438634,0.1644980111633688,0.012718506594643625
0.0005352252589535391,0.15917202429770214,0.15454012133054723,0.01008761055972544
-0.0018631112569504865,0.17229883354767384,0.22379907399904553,0.012682495424342466
-0.0029407511474540834,0.10867844906164087,0.2055939757867983,0.009888566929675626
-0.0003358875570952116,0.11560835539489725,0.19497785436811987,0.011740248752500895
-0.0020427708246155297,0.21889086125415563,0.2518131832849461,0.010414784725691522
-0.00023196727096290055,0.12286407233580918,0.16445469715772607,0.009975394920007447
-0.002875430698138583,0.2055002421649475,0.23797368922446466,0.010460061209771762
-0.0011555012242251007,0.17158520989710263,0.15663001515231498,0.011578278765949024
-0.0005763492050421766,0.24080306423340783,0.16221717218371134,0.010842583891808661
-0.0007954547930674648,0.3059547792197575,0.0655894639043871,0.011155231968391681
-0.0009217747611722141,0.22288875175420475,0.07087948815486826,0.01012643468180835
0.0022876619851833727,0.11571869808661739,0.14357799052511727,0.012950281892978322
-0.0030853860916631426,0.21186405569301647,0.136270640272157,0.012774888759659323
-0.0010437101944076109,0.005296087441686045,0.3017988305103775,0.009968480106062093
-0.001462712259101739,0.13947343047088645,0.07150393614008246,0.012606336077106803
-0.0037483808964121857,-0.07481867490260861,0.20253982350894117,0.011081909182076135
-0.0028026813936221544,0.23027930002437677,0.22127717834815794,0.010783390692806172
-0.0026489540358377557,0.34135467819032794,0.15084481527307422,0.010896248884926647
-0.0021503011936577867,-0.0894183413016646,0.31986634210899345,0.010743785921460509
-0.0031291832308358225,0.341123552807385,0.14936555206060823,0.012592518872463675
-0.004338156862482173,0.29669719366802483,0.3121084498769003,0.010739392043179509
-0.004689655225097604,0.27256462372250495,0.30431524011491273,0.010910536327585846
-0.001117425103311975,-0.12766836354600444,0.2034852113107031,0.0105899925244246
-0.0006310629602790686,0.319923628239725,0.14433853593048945,0.01067664496774759
-0.0015467382204314563,0.02641379019818994,0.3676219353425203,0.01175968959445295
-0.005659476650672313,0.12176270556746292,0.15742819364966396,0.010562971727338916
0.0010696239194430248,0.1497249462261928,0.16183548752565244,0.011659274624559077
0.0003894118038824356,0.16065295566811683,0.15158054480525696,0.009665274502233616
-0.004221136907071724,0.10527970663876667,0.32639480279394023,0.012931301240312994
