alpha_0,alpha_1,beta_0,beta_1,sigma
-0.0025865758351470095,0.15418406701622347,0.11599985686778636,0.12210888574528449,0.011437558209875054
-0.002975003603965435,0.1105387025796767,0.1236473144612995,0.1305177297150217,0.012288052079480066
-0.0020919710435838234,0.167837575939024,0.0888250554283868,0.16474538734104308,0.012102434649982351
-0.001920284755299292,0.04081233214876866,0.12005207479051676,0.1332363765278621,0.012315440382597208
-0.0008782621363417159,0.03715561256067314,0.18268227352083094,0.07225183201801862,0.011947634013506127
-0.0010568503279096042,0.07044996843757087,0.13421782264463836,0.12463223069563455,0.011584033056265089
-0.0014470566336703516,0.10507434223328532,0.1414871700495414,0.11981352757382482,0.011167242864125345
-0.0022839014079765727,0.0067658296821737195,0.16947711485126432,0.07336093494589391,0.010932449461910293
-0.0015927673545691322,-0.09054902111159224,0.20477174675660148,0.117890433271434,0.011230439572073784
-0.0018004636468024154,-0.06890080814644542,0.15119130527854868,0.16346993308326055,0.01055439399987332
-3.5567929331674854e-05,-0.0650848842962774,0.11378494523326868,0.14410072317999917,0.010173260726871199
-0.002049649198178806,0.04578649939578158,0.166263285493097,0.1568146589020214,0.010199563068713547
-0.001494516443649179,-0.020549787129529783,0.12125182885813132,0.1434278808267651,0.010302764583907815
-0.0010528744083780983,-0.02355916492723729,0.10641235544950904,0.15711971381251502,0.011114110063368703
-0.0010328531596685286,-0.04253582955912426,0.09908080955891828,0.1646056164646545,0.011231168602175027
-0.0009182501542092876,0.04319127693400245,0.08241337075754095,0.21264336944735676,0.01142876178902934
-0.0013177695001187373,0.0380727851871979,0.11690514082717103,0.1944678461291145,0.010971331562990193
-0.0019139815177223705,0.08240974486762988,0.12692886592414526,0.22135622201910976,0.011092375923465804
-0.0010787669468266124,-0.05619248206464263,0.1452721224555928,0.23329794982369745,0.01121166819370805
-0.0004516082540078185,-0.04464567201841233,0.158675180868249,0.23948777242170463,0.011346603435663941
-0.0005656675854993634,-0.03555000018216107,0.14357355217591353,0.22093841019005306,0.011070144201278677
5.160110708714939e-05,-0.009817281780705083,0.12667066606495125,0.23847503375428517,0.010905440700741762
0.0014245320320100247,0.016987396619020604,0.10575001059149927,0.28259459439769274,0.01084241584577855
0.0006351142668890421,-0.02074444995421652,0.10736184706575705,0.23090875940030317,0.010073883194830123
0.0004977430821218967,0.022518738090218596,0.11816577250872164,0.22743015504439923,0.009847790749607167
0.000411840460510657,0.053990258612092036,0.11771233972939257,0.17915956944844716,0.010764969919320902
-0.0013149485229305231,0.021890890073261043,0.11566660108113443,0.31109272107997965,0.011153090816890823
-0.002037796230817944,-0.023128055687583304,0.1670372553673855,0.2832381218635931,0.011362298572561422
-9.713184112885141e-05,0.018586066508228936,0.05101999914960936,0.3104021545584544,0.010855225510367116
-0.0010067149749966367,-0.0631483881792379,0.09190309105605513,0.2830474694350079,0.01171688826356022
-0.001095691044498585,0.01640151248158761,0.027240556522726108,0.3314553814563413,0.011290088000174591
-0.0030215585737257316,-0.047947062883482265,0.09174404049693632,0.3060304075550266,0.010877051341559337
-0.0012172535973123384,-0.06983623001959915,0.14025722893386408,0.15275769221879776,0.011094500795832261
-0.0009757007217679824,-0.08745114790743135,0.1219442753517553,0.17775633123503842,0.011001299472778558
