alpha_0,alpha_1,beta_0,beta_1,$\sigma$
-0.0006173913058477553,0.09258922698703384,-0.05993127666271581,0.34760213231068177,0.011932828432766407
-0.0031835334275127003,-0.030856566578535714,0.1509564621952484,0.17098621507150147,0.009701751470087313
-0.000227568053956755,-0.022875679488647563,0.06827649067921662,0.2551993638441896,0.010344999368876054
-0.0004255174573710641,-0.04919834189284405,0.028491902573593374,0.29219263842957566,0.009634870165052517
-0.003218613103680224,0.11811460577770223,0.1218925374899911,0.1035863555763517,0.012291486500935287
-0.0008425558710389388,0.12848159004339382,0.12219906141798667,0.1560289246512785,0.009843927241484508
-0.0015748029331629422,0.1322824968866649,0.1527360886824132,0.07783951974111807,0.01005346038294732
-0.00012508844464758915,0.1771947047017644,0.16459291354191882,0.11299839855345564,0.010852345015421693
-0.000714507513258406,-0.017248153866562217,0.1713953885688686,0.03932251465986139,0.009772819101528938
-0.00012969704107844787,0.15039227035487115,0.05710217814392543,0.20694118239008275,0.010608263325930027
-0.0012453967733733792,0.1998519098767283,0.1019886899633465,0.18320206576347925,0.012821465761754166
-0.0025973867806856417,0.09881154459518807,0.11515390170613705,0.15389208052482936,0.010210044217472411
-0.003326913149295772,0.043567347580062775,0.09765256161287103,0.11021735531058785,0.010368996851194918
-5.856581019519517e-06,0.05835194207552963,0.17381479283351361,0.1434682388319269,0.010829416082264638
-0.001114759452633997,0.09989717497685831,0.1970835095487339,0.15790284435494142,0.012067228629004067
-0.0014713917374654022,0.08713454032621011,0.0603239213683221,0.18780315064805647,0.009626065907238678
-0.0010463388008334325,0.14760247042188177,0.07588231591430093,0.17098959070964437,0.010612040077420089
-0.001157615302723637,0.11663418647995276,0.010504931417681738,0.19966788102570598,0.009649332049521814
-0.001676746468013347,0.11288544605648508,0.015735268539225675,0.20804454246280477,0.009705364091275566
-0.0011972736149111819,0.12742258805553835,0.05939000367769013,0.2628519815890147,0.009206567589050575
-0.004054237144271262,0.2609409872570469,0.10549168358841497,0.14120639546863636,0.011018788995116444
-0.003364035600386586,0.1355322426842533,0.07897280523021684,0.19396993967951393,0.010638144276119928
-0.0020777597482317823,0.027984216955515364,0.15682174816628267,0.12217884163381708,0.010522927064676911
