alpha_0,alpha_1,beta_0,beta_1,sigma
0.002986032851921623,0.4654487013992895,-0.008100536496083726,0.2913488136372845,0.010815140159045594
0.003366669037357058,0.2439079227172089,-0.0737930143278239,0.16628511107180574,0.010471467790615691
0.006026961913874116,0.19141232713056616,0.023708835247195453,0.12901102216481922,0.011159492490783133
0.003039763589586069,0.432146384114613,-0.08827142769404027,0.24375938246833453,0.00983571096879774
0.0021322067558923715,0.15633611981976092,0.02632647685542428,0.12272698733350709,0.010213780962273891
0.006368637618575904,0.020634234994830927,0.008623062419833951,0.2414390660706726,0.010305467539253235
0.006080522483966011,0.014250650274462793,0.06061485932975011,0.2532634591269168,0.01078736744449803
0.0002208308980556203,0.6126599190388521,-0.19933288448670178,0.3623078030166004,0.010445071623290435
0.003926792352651794,0.21462049567216385,0.0008090397598869707,0.16173648626785356,0.011462869483198536
0.0048087565271787555,0.27991849705533983,-0.10343084600829401,0.2667291165462936,0.010118542225209824
0.003882599438549474,0.3193148486748388,0.006890793602459257,0.11404392939417969,0.01064854264607499
0.002855685045580392,0.2410516447150578,-0.017925272296791046,0.22120736571706337,0.010585033707873052
0.0017896063919608468,0.4404943192242129,-0.0951663068521284,0.3033292592504937,0.011283414334336089
0.006958232474265425,-0.09675234810329857,-0.033933091977401256,0.26510101876655157,0.012541475266115515
0.002072317032677232,0.42526682739355987,-0.02707362838220087,0.20397858034397165,0.013585473529913135
0.0040137702675738605,0.29119805389467895,-0.04237980052133276,0.25130536494249134,0.00872066856357798
0.0037983599446864656,0.08390138234513791,0.0962154937101489,0.1985438150322135,0.0144758302650968
0.0025254161490526296,0.4258319039512127,-0.025336738709562538,0.31297497495898835,0.011789520317577858
0.005429884219958645,0.18916797256629347,-0.0125591174343149,0.20419114532491453,0.012374053359089157
0.0064713704898777405,0.1370743692775791,0.01733926256341599,0.025466148446008537,0.01296507865335962
0.002144985640478342,0.23891552790904214,-0.04144158793010979,0.421348320492867,0.012619215439285243
0.004998449214728389,0.3944664815915156,-0.026109548503069596,0.08800853994512825,0.012883628810685492
0.004157633725560385,0.20007710833826578,-0.05697679263375582,0.21477396682819114,0.011271967309889028
0.0032547000958032496,0.23678690138384617,0.0413590928442313,0.23945545394978832,0.009791308950032013
0.002633681832856056,0.2951915517345395,-0.017425110633986537,0.2841298371652729,0.011300878839405821
0.00594824483440296,0.10954526040191825,-0.0312631206698462,0.16198107559967942,0.009891709366186373
0.004649113071557701,0.09828857703332851,0.05340724875835356,0.1434044278168759,0.010633348942806093
0.00317403002225936,0.5020181079655095,-0.03440401761283406,0.17972044820476019,0.010465562548083776
0.00822585470631934,0.08531029404802483,-0.03694538773087697,0.21546101707595142,0.010311422698563305
0.004672286453816505,0.5193214082146472,0.03398746359829679,0.27546347158551593,0.011049639105716009
0.0018863308587354372,0.5319155225634873,-0.06928831627103609,0.37327258322863927,0.01264941641148033
0.005483110737018644,0.23116222726331748,0.0458697790659983,0.19596222743695255,0.011059809772485591
0.0018525029340991498,0.4004732046838809,-0.0971731189557482,0.31442843830657596,0.010056441623316878
0.0038760576555257648,0.23421868725563671,-0.033496490114623356,0.1801580948916636,0.010975066691189458
0.0046813995617000686,0.19407795796972763,-0.02827390901546683,0.20814862530804268,0.010710808955046508
-3.8801042195787646e-05,0.4398238367519816,0.031569035644823336,0.2550163454541522,0.011574944839419052
0.003828758096362769,0.18208214321464755,0.04815757439290992,0.09019632653482877,0.010614979779994963
0.0008945875722535792,0.41305527441285017,-0.03409986006702446,0.1788677517406591,0.010481818726384508
0.003263571566333995,0.14953626035646053,-0.09797484215444982,0.301981317047681,0.01102144341667361
0.005371744908748817,0.28073285110653323,0.021721700983375,0.12415874174311606,0.010867345503809071
0.006168223415718843,0.3340251151567277,-0.06617861787205882,0.12116479184234771,0.011083125904904302
0.004370598752657194,0.187188358585482,0.02644202346515722,0.2581231866640847,0.01109303301064832
0.0021294023499393673,0.39290583730738843,0.044743071858674405,0.33159702209854813,0.011576723838785045
0.003016184548980484,0.16991379989948296,-0.012549544853548006,0.28233743481592183,0.010946852581449687
0.0029823767266844337,0.2945120402879042,0.017623040317752206,0.19994112713759932,0.008785583962583566
0.004647798808389049,0.10432198037236885,-0.0639430976452448,0.275765849839647,0.01217558140861822
0.003651146909410249,0.1778327237606739,0.015298715098846831,0.22405141393331052,0.010464962967555762
0.002768315502620846,0.37091957314882845,0.00875113876195399,0.345651817769706,0.010202390306526504
0.0024041052573963322,0.3221469615366403,-0.022495627304201855,0.3435807631213131,0.009552854042791343
0.0009361869073798133,0.49314480613924966,0.03147609949987074,0.2195012244172396,0.011491123882879224
0.0003958041384248517,0.23717409781292914,-0.09310010974836311,0.29668644961802976,0.010756414739846981
