alpha_0,alpha_1,beta_0,sigma
0.0032620693545150174,0.3903302447206162,0.1437577575346008,0.011650803239906825
0.008505244990753856,0.0937002035806899,0.016292217028353866,0.011193838685443044
0.0011695131738035727,0.3721173904849895,0.15890440768986414,0.010057589615884658
0.007144165722565369,-0.009880864429012409,0.10558386830930613,0.01565922899584444
0.005379224961965164,0.040620776316976095,0.1148793509401672,0.009537208785611796
0.003995539382045445,0.40046699284788095,0.07392143449697466,0.011171152104687589
0.0026703613660205515,0.4835513338214837,-0.022918291501530137,0.011083488724142958
0.001390721604597494,0.4947344241206885,0.03032152612845899,0.012344442521779502
-0.0005208418137136504,0.23513352262878282,0.1838656493777267,0.012353437537364759
-0.0005203943999653013,0.23640766583879325,0.18647288879928695,0.012432008440877588
0.00815161192206511,0.10138587354085436,-0.015839515355504034,0.010694785747482081
0.0009876356758321092,0.41902883743186964,0.19078351778709876,0.012767299010018447
0.007652310192970613,-0.07442068636351075,0.035556565917094295,0.011130596393109676
0.0075084912398879515,0.24998117109218448,0.055550755786511745,0.011214996384195377
0.0008831473943447473,0.16347482145639378,0.1652752531528509,0.011276530331288294
0.006337826506988775,0.19067332859335576,0.0847955111113408,0.012473577686770694
0.005798503708187358,0.11656021797705318,0.04072532899154601,0.010054033559602195
0.003487532044531197,0.455688499399596,0.186458123108009,0.013604766445088885
0.002911755727005881,0.046105052047086224,0.06073521843763052,0.010618444554386389
0.005490507036531775,0.21233576115084274,0.09501261040212025,0.012671739891990335
0.005708129040881136,0.14325712428154827,0.10539207792654888,0.008383004693397937
0.004647433285849642,0.05591402462544986,0.09057571460156504,0.014364469559659811
0.00513252243882774,0.22769151458271322,0.08298466453446285,0.00909819243970776
0.003121038583889087,0.4422103016520644,0.07926897921964628,0.014040875185162453
0.0034271509864246684,0.31241666250668493,0.09029992087907764,0.015334294363601165
0.005428041825864458,0.14072716208242508,0.1723486684851441,0.015588924536185676
0.0038232873062212956,0.11006361987337061,0.14402890333441218,0.012268354087214025
0.005576604055814375,0.320031980086974,0.04447315051567226,0.0103461765737353
0.004329094168419472,0.10748158006919144,0.16718642482159488,0.012250611619770342
0.003900346714575799,0.5308009103352714,0.014162739142870667,0.012492976274075066
0.0072144138599440095,-0.015535568988945895,0.11620674102588727,0.010598080289785176
0.00251675018330954,0.4607899083595501,0.06854294526149408,0.011731604776907958
0.0063611448927578,0.07018571955660506,0.12966848553254384,0.011374913675816807
0.005484401287786158,0.19092835462478575,0.03704870232524377,0.011761565812464313
0.00162637067478554,0.2083846378226546,0.12029150298198713,0.010870899527494732
0.005622260943612594,0.43487099652488465,0.03598933970533816,0.01174164109130443
0.006182444587052364,0.05937927785665878,0.19680409711145505,0.01084881035825434
0.004776066570613785,0.1437537233958792,0.18203118794989434,0.01090428168600354
0.004540120093996401,0.03530651315293039,0.20012032455455217,0.01225873613698313
0.005370028991198445,0.3879272112209635,0.024630377012654824,0.01041078257947399
0.0030154560038631387,0.08280398395340047,0.14057631787256014,0.011918773489217443
0.004759325300348072,0.2905163700358852,0.06496471063836591,0.010821483836522316
0.005378138232640397,-0.002781724680617303,0.14932952718327522,0.013148751800376788
0.002884834478600943,0.4452845946927647,0.043802928848907234,0.009223131666528024
0.005652142502725053,-0.0862180181948987,0.1395762619264713,0.013811727362257616
0.004703628794752194,0.4102707213486737,0.05578082225945253,0.010564778699455058
0.0017136475888424481,0.1551364617480979,0.07986970872135837,0.013515906479839666
0.00646834877491548,0.14668705330506832,0.09054374781966104,0.01022753842836316
0.003530864135368787,0.31263681374351604,0.13731896548794015,0.010833054343992407
0.0024006304118057817,0.38215007983364874,0.015669917210553302,0.01092292075389734
0.007133726124285951,0.06222606023466749,0.18418257554520276,0.012633100058680905
0.0037374122108238886,0.3525511264940843,0.04840586258416476,0.009784610442902193
0.00597813157391211,0.3594071451971629,0.024702931154926944,0.009117364805672282
0.002445015011041685,0.2742041598391909,0.16446386894145731,0.009923605249566767
0.0088967269518026,0.09056429217270097,0.05030104045144654,0.01192443510318764
0.006869847523318594,0.0475006902439013,0.10579658572718674,0.012256985927866433
0.002617386722256962,0.4987282009760405,0.12086418857510028,0.010532426401792836
0.00568279221798033,0.027859998939904904,0.06702807578630308,0.01091230942897221
0.002351308755522778,0.34232339817830304,0.05345656132656011,0.011467540202027343
0.002850817215290967,0.298207981383221,0.07308611111739967,0.012286717386367831
0.005165447977434062,0.2409899566630531,0.056755525628273136,0.012326847420907366
0.0057403241217183635,0.21136663916146944,0.11684878165498205,0.0107409709418976
0.004075750315103261,0.3485876563892881,0.09687631003187228,0.011320061789967315
0.0042614302743902675,0.2421134587424916,0.05342792490608125,0.012700079056137287
0.004607684988105111,0.19971315128868752,0.05178238458542749,0.012724828113402689
0.006298898253351371,0.1470410399368506,0.14114099281922446,0.010471152410992486
0.0017404819461201782,0.317268347539771,0.07162221635050456,0.010317381063323436
0.006807328119054169,-0.017941923477371367,0.07322791482081235,0.012724956480548593
0.0023518594388366957,0.28585648234519817,0.12168267754398604,0.009509839476847547
0.009681124394274314,0.16195666045616947,0.07165054700919014,0.014590312278400682
0.005422722785589704,0.1534240482871197,0.10589055320355939,0.00987266481342903
0.0015652725546553166,0.16146920377982232,0.08890659949386859,0.013182619790587864
0.0030733515564628404,0.09687166576284917,0.054189045092872215,0.013597907027954692
0.002719218961268758,0.15601601947522087,0.07757474408470685,0.009751898148896775
0.006716781164945965,0.29714033282181485,0.08435045979901101,0.011154847992368646
0.006956044705915101,0.21363601832676996,0.033269770565156044,0.010758745153122827
0.002217073784867117,0.2690948138732683,0.10101031415179804,0.01161871082873187
0.005369947665007912,0.5044284542741134,0.03865592021375329,0.01251893851315341
0.005104508637778348,0.13488739842151062,0.07922742001088497,0.009775338710238012
0.0025121794392665873,0.23413173641221585,0.09284646096824328,0.013950448318282179
0.004551946894654636,0.3231116073842905,0.08667380909720904,0.010034623883242525
0.005554232281543468,0.09022327730192264,0.13138605981981413,0.008760012667831395
