alpha_0,alpha_1,beta_0,beta_1,sigma
0.0015268510864234555,0.4681216679724742,-0.12515042312244196,0.4440849286404434,0.010048298735616188
0.0020069977474079337,0.4564480272737352,-0.11262168800858252,0.4053322511691055,0.01005952987459361
0.0032438760401808943,0.36441535277426623,-0.0452645282042662,0.32998081034109317,0.00941248853065522
0.00337209804147287,0.4524033113499838,-0.10626244264551206,0.33415999677790653,0.0097473156015142
0.0028271128466269124,0.33883262672599507,-0.12765409860071866,0.3505049408409858,0.00949658255962908
0.0029786416407125054,0.3196955041280267,-0.13426834945662025,0.3664522194028423,0.00925093108848696
0.002920386860955825,0.3234063483918856,-0.1054811937077986,0.34968809195836964,0.00978797016180487
0.003289536348845466,0.38187245674066667,-0.07078722725204992,0.33060063600366013,0.010700787436376041
0.0037468820675405257,0.37129745732432107,-0.05588211792383707,0.32754706034678166,0.010851383364236862
0.0045883990669798366,0.19464576001656933,-0.024566579214055136,0.28454607715126173,0.01125722873989059
0.0033689153952780717,0.23156223920588573,-0.009136322889744041,0.24859348014449556,0.0104317859228933
0.0035288442625241844,0.23061779842836436,-0.10786697291366726,0.35102209103960563,0.010639793754285242
0.0035146127633213617,0.2664704654062604,-0.10341552442053915,0.31063188658505214,0.010271582721709431
0.0037069621158378695,0.14126272405291243,-0.048265983521335716,0.2845147800806985,0.010270515943497996
0.0037662933712044188,0.17442788821963953,-0.05793000931459095,0.27663987832031384,0.010024072954144637
0.0039697059968346595,0.1158169210307985,-0.04011008677476544,0.25987690433192745,0.009377429723907834
0.0033563940561563074,0.13112062381428174,-0.06462854847601981,0.29790157343066026,0.009437498072717408
0.003520443525277176,0.23154692182362413,-0.07623071145430198,0.31827628956874243,0.009626129942544463
0.003718861414755161,0.0729206100252164,-0.03537826703004446,0.26204173415653653,0.009411389381136254
0.004747873668743701,0.08308933658364624,-0.06497201856768077,0.30298970339448805,0.009398564438322382
0.005001949400580776,0.018932330521694504,-0.03382731831571174,0.3155903573415758,0.009778051316293373
0.004378131353672169,0.03619758087121972,-0.044347501706932156,0.31123907644506144,0.00940358234464012
