alpha_0,alpha_1,beta_0,beta_1,$\sigma$
0.0075976154153983375,0.14817731111976162,0.04155690764295849,0.16166375972120536,0.01197589830452418
0.0029175602089601686,0.0752748042358309,0.05671562096235728,0.10501705460817659,0.010065698067594381
0.0047654839219014415,0.2934077972715728,0.06542657696242817,0.2215014721368373,0.011604472422184361
0.006467788481008733,0.24703445710283206,0.0751793066543777,0.1914602667634264,0.011701693523178359
0.0031074188105585515,0.11271349534936842,0.03338136027895193,0.028959993429449302,0.011708201245886759
0.007440189876806538,0.0774530919172579,0.11430602671076633,0.13899863400528906,0.012864903163159462
0.006580971588644095,0.16527346624324904,0.10490851720039124,0.15654608206788237,0.012379517147995862
0.003738317896632201,0.14610230683723743,-0.03566455702059575,0.2591115327254051,0.012932032627311664
0.006555234768142123,0.014768858128826624,0.018848734237106528,0.24204198221860912,0.010985232028238949
0.004999141506753297,0.03590083526838458,0.07980895753770385,0.13504062649548795,0.011694049636026846
0.0069784078578980545,0.04472479323965088,0.04837414873536776,0.1761063699923801,0.011074387077194412
0.003144690825046468,0.3345446085118983,0.029361486843350576,0.10520856950231378,0.010837784978639462
0.003026853173198462,0.37136015209889917,0.03679705565761008,0.10060935939093708,0.010815361335811416
0.002554455933427282,0.2378234010786539,0.08580719567609575,0.18400279967635066,0.010028462640193114
0.006002895931205589,0.19803454166483303,-0.02559881046612215,0.16913449666043087,0.008962590343612435
0.002740637675450046,0.3919641389135237,-0.02034458884998653,0.23812905368269735,0.009514050196936692
0.0048516592618333635,0.1930461144198245,0.0010366376045933903,0.11689848224922335,0.011973011213519857
0.0042952787927974054,0.2623484573143094,-0.07307496932278727,0.2853185524322514,0.013531992331130149
0.004469160158558121,0.3170427190560041,-0.07628466269756905,0.3081522412438806,0.013946720410212585
0.004781560544218765,0.3186531617944462,-0.07305063892834726,0.3784555464759226,0.012565152057459717
0.004504076134435045,-0.003514212059997565,0.003224711384518575,0.2354571403984298,0.013266374471506862
0.003926215923467975,0.029357285663935924,-0.007468127018490905,0.2848854176316264,0.012440243915018957
0.003307799578042648,0.09926501589450501,0.016159048657326786,0.19801708284034045,0.010441235799577469
0.0042832646165668195,0.23217445313036178,-0.032624254109930965,0.25017618752856535,0.01131476324108914
0.002844094527226449,0.1080393970863493,-0.03858017327941445,0.226862672850906,0.012093412864014916
0.003966204522815733,0.08992033590201887,-0.015064655684298699,0.22514099942868201,0.01137473171949118
0.004895701517106708,0.2636605692513473,0.1041256783922158,0.11699915789456697,0.011452824791255888
0.004861416433859089,0.33253066884650356,-0.08859792443009029,0.20089363196777318,0.011857773020292261
0.0054923900704066915,0.2042104342736019,0.07138149808018521,0.14329178678268006,0.011024200018921551
0.004175457543745452,0.2868695677584495,0.03501549187552404,0.19737171399924378,0.010311871230855134
0.0026328093361158876,0.3105757380029788,0.028886270922770373,0.09833738678975901,0.00920109707853806
0.0069350517622137845,-0.014538341741447497,0.03991602267441834,0.10676001188757013,0.011047133654506708
0.005232460953748155,0.32432993621947664,-0.01153181830378176,0.10784071653431512,0.009566180552318353
0.004073958403648603,0.14618714999864268,0.038497631197629265,0.1345013809636181,0.011074833957386832
0.003959549205358321,0.22161496701847794,0.12106838604540451,0.13035318286676295,0.010272488185985855
0.006932077068436298,-0.09835742749682883,0.05345571747218524,0.07488770859474662,0.010966758301513833
0.007492033889044919,0.08911413120550174,0.07727638799551442,0.09184927577826585,0.011841343623110857
0.005496196930226194,0.20945485493161892,0.013788454344496288,0.09439280217333611,0.010619631107033699
0.007126308635443231,0.23088614402011326,-0.0041752051947466,0.11777946656391462,0.010999400735759546
0.004010343129368115,0.4865822228452719,0.031236592963614074,0.1470373612465152,0.009442962910000872
0.005407617952115717,0.21633677866281595,-0.07371954477905218,0.22746375413105838,0.010982558090284394
0.006263366719737023,0.2502325230823876,-0.00478154032656356,0.17014018834645894,0.010167611712213134
0.005176350377872098,0.1850473846298832,0.024377533517512786,0.08713602141743558,0.00952917319412331
0.004042849385912566,0.3324151302970914,-0.0034258535868360784,0.17103528610659563,0.013142242938868696
0.005400154900536866,0.29063243407577494,-0.0002887074987861901,0.25907945779195773,0.012025435910622962
0.004020570215500833,0.1726349554890912,0.06835083098173839,0.09482088820914637,0.01109041922249191
0.0038735795537474995,0.09413879363177857,0.035906378093324365,0.030298260508274957,0.01238980122949885
0.0067071394305287515,0.23637256195432518,0.13759955226539336,0.09530659797389994,0.009733141935127742
0.004455459341267702,0.1955721773034611,0.07065108108151028,0.04455279066697176,0.01059573094406159
0.007061069725029666,0.09958938024818333,0.029852698215360095,0.13109369488492928,0.012125551277015504
0.006135072219988958,0.10359897687891491,0.03027878354446563,0.11619623524635418,0.011787075838338483
