alpha_0,alpha_1,beta_0,beta_1,sigma
0.009978218956829198,0.3649446485254302,0.12350381067218617,0.10062752248670291,0.013458553251020992
0.004250863476868939,0.5815463783164836,-0.10193398673409165,0.3584415316283147,0.01328981322820605
0.0034053929171832305,0.4896700485863536,0.08067905607134088,0.4140649377056929,0.013281425307623884
0.00952523508941807,0.3996299979358567,0.09491488394618793,0.18996906020448534,0.013520546692637636
0.008610500731456,0.08650968214952909,0.15127529151338767,0.15744227921158258,0.01339604323301957
0.004780171541993223,0.6031133391641391,0.0192355666328782,0.2620903960473332,0.013800042912743518
0.003345708940683803,0.37176468320960937,-0.032749120488830774,0.40964164579081247,0.013547971413979377
0.0031484407772221297,0.4143243285672435,0.06467525777552302,0.21052820525874605,0.01250085031143052
0.0063461769860843325,0.5534334232760765,0.11639101811092048,0.2864983527826233,0.015196461297799179
0.007032044964429967,0.19058377889813913,0.19449468866714156,0.2653442098870557,0.0115089988025424
0.006648010943950896,0.431016634394799,0.07335408687999867,0.14401774583932922,0.011105377155731528
0.006190191032924312,0.3497554663423977,0.06304147597582505,0.1901804015819834,0.011495343325734127
0.005645252706763553,0.37463412599601786,0.07473130128345826,0.3266003898012926,0.01294086469414649
0.004938880679799882,0.4935505664077575,-0.019391322687982826,0.472759569358713,0.014013811700553007
0.008588319008479922,-0.01912022151786839,-0.020733014976580293,0.27307159463684216,0.014957984507801437
0.0010364500819917055,0.3972305137154917,-0.0011213897335910618,0.2617939644469493,0.012925439991465296
0.007541931897379245,0.5494334112903662,0.062090362737156686,0.37182471629356223,0.015431495997453502
0.0028058714747169226,0.22507078420108945,-0.10572779951555662,0.3918661689160494,0.012946441596485031
0.003170036916531642,0.6834584845758354,-0.035220169193540526,0.3854423920569476,0.014549077214338827
0.005300442852257182,0.307485417637827,0.03575018691354856,0.28628706859454445,0.012750353891642528
0.007924391473471269,0.40133974651489124,0.06792099966615289,0.3189467563901747,0.011275809590008781
0.002699329862437649,0.5942005612386982,0.26894933264212756,-0.025089005465541717,0.015093434273385217
0.0064330059716958725,0.4388913757826361,0.005890530848496989,0.366710479032347,0.013992047433557982
0.005878058904456822,0.4660760943455298,0.12936237170001466,0.14003200860234183,0.01186379643033246
0.006306997768001409,0.3984013366873714,0.16249660747708392,0.16054849671014673,0.011902262111035811
0.005211048605379217,0.421456273382607,0.2033363660963254,0.022554734643519,0.01153608913895565
0.005795009598305472,0.42678664939648425,-0.07960793319875409,0.3834185872948731,0.017287504946932146
0.005069042309086194,0.3096144045684505,0.01992706772666759,0.16353126401129822,0.012867301102909201
0.0038260303612258845,0.40926979494430793,-0.03219183312850459,0.27664369225838475,0.013312981955030693
0.008179122089572173,0.23487054568871374,0.11181510809498067,0.19256148142212615,0.01309473961088429
0.0010398096056027399,0.822864012726483,0.09736894387174332,0.2625106579429351,0.01368838016859605
0.003540427690799226,0.5316526064075483,0.015959254286984484,0.21919431061472794,0.013115091857498786
0.006394146780096178,0.5303798780567764,0.0665643388782183,0.3545724562396619,0.014176788272983734
0.007587890691133034,0.431840806378956,0.03421144911585275,0.22813693891079853,0.0119735654323576
0.0003552389658326384,0.478877719737633,0.03945786661835253,0.2946116277503213,0.013590417261340852
0.006899079822267565,0.10394363275460612,0.1189069594183463,0.20182891116427903,0.013060518607917938
0.00728268328149108,0.4303429677840519,0.037761470889648555,0.2768855626432827,0.013230668677619824
0.0035676468812167374,0.21980685747955508,-0.0652004380008587,0.4205834356118371,0.014891968483388286
0.0030139717353579155,0.6699103169914356,0.012839375340348558,0.32695304180654644,0.014200534415279875
0.004200323220835123,0.45696600935329595,-0.014350219760460088,0.38217952951464434,0.015439273161713722
0.005308656688231229,0.40029054625121674,0.06925201082778752,0.23486725718869667,0.013272619583181579
0.005194517116056156,0.41219522344848764,0.014110185761619595,0.40910516094963856,0.013218434301282389
0.00715878267440452,0.3227846487677899,0.01956028515374886,0.23320159969696805,0.014594843905800335
0.007297748841115428,0.27108723955026165,0.03647941728615621,0.33511895684247633,0.012921285337449276
0.0054071075511370175,0.5869240916952115,0.153799882533109,0.26847251128435523,0.013209411892576512
0.0015716681375911035,0.4556935915764669,-0.030525700443795725,0.2721821755326867,0.010956454729896134
0.0035432174691461594,0.4070619230349808,-0.004024502985345631,0.4704403151285344,0.010556793291485806
