alpha_0,alpha_1,beta_0,sigma
0.0042037262870335676,0.43678384428751,0.1621260150930763,0.014064903169008911
0.007382142294912401,0.29462351147207433,0.25161310962810185,0.013860485680360964
0.0095800023627283,0.23426649365208999,-0.008855023178249774,0.016975492869672922
0.0057141810158343066,0.8049387304942102,0.414786404660551,0.014167666009346243
0.006646718029908741,0.2571013775478263,-0.010470260388730555,0.014459605949440743
0.00809280488035529,0.318110005358052,0.1642578676956904,0.01435546715054282
0.008276851028543768,0.24071895005035604,0.15497162588202296,0.012706567407020851
0.008620918641420373,0.34221817840943053,0.18537018226551363,0.014216226502737565
0.005958651940182551,0.39383050171121725,0.24787856528269858,0.014748817837834542
0.006066570792032758,0.4104330180271368,0.2508696417273779,0.014500816509001167
0.007400108487022697,0.5489236157415534,0.14773073418179566,0.01265168778876555
0.006251053268942901,0.3101274776335609,0.19474522953059833,0.013689232340091723
0.00547000980210479,0.6793030972782231,0.22186154268208855,0.013696032410705343
0.0026306687301878603,0.5765698325980276,0.21344282566824332,0.01387677160816683
0.005641679394068074,0.7307994362006199,0.2411074645120661,0.015494541158337614
0.006950249962171231,0.2743676542476944,0.0818862413084355,0.015841046567391714
0.008120153072301699,0.16382234906997445,0.17555696566171272,0.015469979889823786
0.005162049136830255,0.6151987641709484,0.2458756206818572,0.013049868273405065
0.0030534720328636096,0.5834764165626612,0.3019025130106765,0.015116533911124306
0.005553740793446652,0.47391075351796913,0.16012899012912934,0.013164228206222584
0.006661459831529718,0.2592480180322498,0.17699084788818853,0.01373870768722933
0.00900573482627886,0.39325161979293,0.14589583512160742,0.013839550234661477
0.006300398963821828,0.2954198461918249,0.1885100252724278,0.014123757053647433
0.008342797776335144,0.7325463059022058,0.27476361914308467,0.015840399123764445
0.005107473388358635,0.525477787330186,0.24612459057126415,0.015689370249821873
0.00456396375734942,0.7332217110246838,0.2636750427023048,0.013254704683871623
0.007085452119810685,0.26961409999555697,0.1942161150520237,0.014815346480464541
0.011011612477586653,0.27895076375388483,0.1835211989108525,0.014309774312112286
0.0040211635326001995,0.6800392454529564,0.16787117735319085,0.013652255054491148
0.009826801396716107,0.2563840232644031,0.24977820136410736,0.013250167808841824
0.002830335772055474,0.5498317244237468,0.18559993465845265,0.014475555243496618
0.009521282982788795,0.3921651872445876,0.2618584156012599,0.01479320919126206
0.006216885323483968,0.3719007725606069,0.10144727082529666,0.014105870841514498
0.009491161187949114,0.3051031411369466,0.21894634337584523,0.013635358207591552
0.002956777895161235,0.5907422939589716,0.21583616829905664,0.014146764305336455
0.0062151218968707666,0.6538624388135359,0.3514182779352926,0.01263557852344739
0.005190315558252702,0.36228044960251854,0.011970916462785176,0.015396713043765893
0.004721085318421253,0.2591362098527303,-0.0449006525010668,0.015801686851023233
0.008706693117742937,0.482015097426418,0.06365639975178476,0.014291795209205987
0.007489373897701502,0.2864864906454149,0.31031753550841396,0.014196902129226197
0.009376945848792013,0.36805703818993923,0.025098284022779593,0.01697844154805508
0.0059817189941846725,0.4164405809659134,0.31365296811341326,0.011489085673230582
0.009532383818315254,0.4753603957521736,0.14629409104712926,0.014525245326833502
0.0010593747517538183,0.6681742552326997,0.3484978163929686,0.01498478039118369
0.009932200151836067,0.11284116677521637,0.10277319439225048,0.013106080453084092
0.007026251791697279,0.5066771664580656,0.3101174258110639,0.014707494921751905
0.006884188100511936,0.5007086127196814,0.09669598117386335,0.013431350121295595
0.006688280142037394,0.24032977190737628,0.2822021695112624,0.016245161739829067
0.0028173566913809295,0.2581756553744709,0.16481335434793956,0.013946539965546756
0.004162789208399255,0.5779489248590548,0.11395946742437763,0.01490933097900294
0.010551524748904572,0.31438497447337277,0.2607078176377053,0.012472525076613191
0.003996678592769642,0.5050019137038327,0.08404529417768769,0.01570057512696166
0.003995251671577423,0.5499990501148115,0.10202112606500123,0.01631259206856206
0.005089322869313857,0.490221931816831,0.09391652221936152,0.015885219794836754
0.006794371508762339,0.5316658135987511,0.3335765290960429,0.011511875659891991
0.004399833783254877,0.6618485047248891,0.2663849752484969,0.011976905446420022
0.005310103013294328,0.4109448851575177,0.20698577532776422,0.016678369077588056
0.007148433011654425,0.5507669270170439,0.17876488222688278,0.011103356905485454
0.007076527455606608,0.40997530721802977,0.1144883491292372,0.017969553253524777
0.005797489646430594,0.4998460147741417,0.28321518349989466,0.010640960404530424
0.0066974026226733424,0.5495596112632487,0.12667034698994106,0.015873154970348455
0.006869840459309079,0.31987993803561693,0.26835604694210774,0.012073665398271718
0.004714483972895863,0.6629159081269027,0.16507444099707766,0.016021018122379934
0.007872514480780322,0.29030209958968084,0.2178135806234403,0.011731931011499618
0.008057950233045686,0.28161412370534467,0.19506331649817552,0.01182166571143608
0.0075704120304191215,0.43687371229176053,0.21356061309828195,0.015656099769197587
0.008342374170455663,0.3077299495659775,0.25078951594879495,0.012234869589401978
0.003472741291481637,0.47368352273975395,0.18650987772551114,0.015674979155558662
0.007043506150286024,0.6563644177610204,0.30301848079444527,0.013417174265001799
0.004943080885725472,0.34549554407777067,0.13422825526374896,0.01357949162058096
0.009446526294059478,0.383956774918519,0.2481151109239107,0.012702756257361301
0.009330537146980619,0.2522645195720398,0.02723969768763895,0.017864102459849082
0.009324201994327461,0.29529548681721773,0.02886515015231302,0.01830237768040356
0.006486491188249199,0.7672515222518674,0.2428823167609323,0.014024149346761841
0.004227100775679105,0.35603806038028446,0.2228967010363615,0.014699010595167537
0.004158351205668396,0.4160290413180272,0.16547203229052435,0.015142746597333934
0.005285974965663571,0.7764851469472578,0.23935852397733973,0.014732767353065878
0.0071604404756363945,0.3156016533905935,0.17163023022239016,0.012553859454324509
0.007501524456017531,0.4283059918238875,0.21480871579762476,0.012875204383505312
0.007378950913489878,0.36648750751845804,0.18408915513524077,0.014543214071249765
0.0050665940147301535,0.5079256116290032,0.22127093965291686,0.012509996531396818
0.007781055527229585,0.40790032903995477,0.24357789748782452,0.014075585671103818
0.006423010990055952,0.6665881062119778,0.1786220264156642,0.01264748888733037
0.007527813379196344,0.19096240166134093,0.21282954358186065,0.013534236173905461
0.00443655218703229,0.386054499584735,0.21836888003518523,0.014196597363522294
0.007506355182320913,0.5110837798139161,0.15823460599461844,0.01379511655437564
0.006741458225844231,0.2529302973028517,0.18029294381238892,0.012678979105772313
0.006502863714705642,0.5826272137866333,0.1660077628467834,0.014307396806236477
0.006772821937263337,0.3719353272723094,0.18516513842429816,0.01510199882397727
0.009778104641032237,0.2724531375490646,0.19492300423867054,0.013817382725099752
0.004502012786168133,0.5676939758740751,0.18789612150491516,0.013329173075039608
0.005364294508195222,0.612554566504177,0.2822781249610338,0.013753971718431474
0.005364294508195222,0.612554566504177,0.2822781249610338,0.013753971718431474
0.005254364721670487,0.537907216927813,0.20340516918289964,0.011542213610700685
0.009090836518532382,0.39113230581461034,0.28663087486131905,0.011835794940521002
0.0075407232991475635,0.2913774230282374,0.07152508515758119,0.013437086410813233
0.007464994370042643,0.5117190595818311,0.2577298392371394,0.015215332449371568
0.008130109275666271,0.2684516784525512,0.21586227533073254,0.012421616474037476
0.0064112662227837494,0.46425424112817804,0.19106798757691934,0.013549505245251399
0.004490335329302731,0.522881799157792,0.08770782021581205,0.01565080810785552
0.008260611119106405,0.1810963088853421,0.18839525262088005,0.011948724047485143
0.008134386760322894,0.3321157592181856,0.10526050241234809,0.017346422124777692
0.010679536580956673,0.25155562090596223,0.19099866491563167,0.013160375885262907
0.004720087882063844,0.5106458366639645,0.1391479843760926,0.016224782835976934
0.007107928569883611,0.4382509545004365,0.2870218842118458,0.01260547664194292
0.007292666303429335,0.5287334811094284,0.12002407513751255,0.015092000075477813
0.006091475654219155,0.32189234931659283,0.17257430143486396,0.01378086072442017
0.009403416797994855,0.33343515596254064,0.2701053600975893,0.01593806229570894
0.009240342292630491,0.2856392104689134,0.27572278704466535,0.01853375398496532
0.004015167957398014,0.46060556844441725,0.22812431070755995,0.012266348174528758
0.00709442930565463,0.30501465909327,0.1958148223966837,0.015537195576152145
0.00467730984796741,0.3246665682927515,0.21400907032599872,0.012752789604519347
0.01179281307614651,0.48026197357409645,0.18929782227121117,0.012948154756765525
0.003609945555018345,0.6647596501758598,0.1955120374945501,0.015302425371959187
0.010817626992516403,0.21655447813628112,0.19092301731560848,0.01302778410752451
0.005155232543432363,0.6084666765891416,0.1696111653275769,0.01573467259337514
0.005218524568956494,0.47688753227479774,0.2516989604757414,0.011312604086707628
0.009761209191224725,0.3439299269835924,0.1007537539471086,0.016635290775576496
0.004860966552501638,0.3988442696344145,0.10993082859965458,0.013403161005368891
0.008878365076748525,0.4297381411938099,0.17787668375440283,0.013578302841164193
0.007181236959557959,0.4252567683542031,0.1812988395465399,0.01252172994066442
0.008519811285108425,0.3545124075323692,0.18293361458548427,0.012873478846043776
0.004592049055880134,0.5744071176211675,0.21102107110755114,0.015413734197705531
0.009708540712345979,0.34635879941686265,0.19581204768860874,0.012572922540587346
0.006670455317294239,0.43079194673458154,0.23669469126569548,0.015363380027581483
0.005028469763552818,0.48822349680768745,0.2300613869047464,0.014114746885009145
0.006846012811066698,0.5363515173744623,0.195142179485949,0.013088148956250819
0.0065732521586531496,0.3917437856268552,0.18367914051605677,0.014909878977628304
0.006420531654353782,0.5324640849933093,0.18037886062867944,0.014241396679986772
0.0048490912542568,0.5512959290291903,0.23542649903408894,0.013517543098068819
0.0067597910916723835,0.31405889271278503,0.18866936325939576,0.013601325858131
0.006746267132856331,0.4571993521829737,0.2365429701583496,0.013460709817702888
0.0071662010041044,0.3846125570565907,0.18480581677813573,0.013864044128249294
0.007455498645481018,0.48096352147114935,0.1734337440616081,0.014475878863405385
0.004726410930070482,0.5568881458443486,0.2754903019640619,0.013474062479795065
0.0048435892845219205,0.57160978932248,0.2381131265721442,0.012425279079837995
0.006650306341497243,0.4656968420955338,0.17399056569688484,0.014998863270486324
0.007051913697821962,0.45892404394298464,0.17464186034912602,0.015701642525348256
0.007869601226509903,0.516688360405135,0.1980449106711892,0.01322101904272186
0.0024399504634664607,0.6384363572915442,0.2835041233130372,0.013323811117528702
0.007618154611307851,0.46784318217384185,0.11313574349521922,0.013634607210833776
0.006822376371539851,0.3327855350643214,0.24455661340412826,0.015754329972468815
0.00447374820215629,0.5307082000457948,0.18968375720933028,0.014278188836336065
0.0019813892633281874,0.7371187101769595,0.13901041971887468,0.014174240313489486
0.0029493312484552246,0.64819174877404,0.14580506608475394,0.014707303217456594
0.008744122888253743,0.3547801699116271,0.24371999628496033,0.01335881822951098
0.0014908035826279849,0.7685596740550793,0.1576025789666672,0.01754921658391577
0.002374612124337076,0.7113507825742267,0.2990315191862947,0.01357312871625183
0.002820510639384725,0.7461016651987284,0.24533978873983123,0.017666780528298117
0.007604287219571469,0.19350742651124958,0.17748703755151246,0.013929844708636691
0.009843144573172332,0.22935246699359446,0.1396212140130663,0.012963879519396837
0.006919320653450165,0.724142392095539,0.23931500005755998,0.015678845249350842
0.010005754743769933,0.6028775984923176,0.2979616305406542,0.01483217146613371
0.004450578346193149,0.2848774113294975,0.15983428573786435,0.01451535777337747
0.007897862421367684,0.42963584521987214,0.31681343798635886,0.014498696063234088
0.007312845440950478,0.4225713474452864,0.3234398089959905,0.01386294425333219
0.005576699429239001,0.5278929910517199,0.14592545888005773,0.01313191981874594
0.004880210028584814,0.5370823817009744,0.1324375306757054,0.012368008698250738
0.007627758458000722,0.5428724534373118,0.3270504850748302,0.014166650522337598
0.004518988643797945,0.41918213781395736,0.11169483557425353,0.012557656118167886
0.011656854379740665,0.3607132263267907,0.293118263537114,0.012125252359373654
0.00795603067186726,0.21812222491755628,0.07700370102560905,0.018189194119847898
0.009334295082243376,0.2592896958665391,0.05981497768260922,0.017562404613424197
0.008672368606899702,0.27428550010356156,0.2099584380341542,0.011595547507372503
0.01123141048164638,0.22009462727791262,0.28464650812637576,0.013366413742514589
0.009094233910733426,0.2782674008932452,0.07345403201323113,0.01606405618711032
0.0019504107935613636,0.3759517744261715,0.15947969933835884,0.017928485931699843
0.010583837804719715,0.47680263262788375,0.2410706939865259,0.013566189697748183
0.006861606933749372,0.3996419531108775,0.1360364195317648,0.014778531530096123
0.005312022423726438,0.4156067676112029,0.10905665018525157,0.012965163936017295
0.005789865525519495,0.4696269668989518,0.2449552833601812,0.016354804654722225
0.007254259099872523,0.3588009373080068,0.2590306269707301,0.012744825013645864
0.004778677430887041,0.6569562751963002,0.13030285206215408,0.012621641629276608
0.003999534152294945,0.39641869615570446,0.19684933956233294,0.012510505748524789
0.010194397305131683,0.5712771598000754,0.21843141834542815,0.014821605061343723
0.005815578724130284,0.23081791019829898,0.19843483386259847,0.013803663536537898
0.004354192674686974,0.6964147354293002,0.2732136542425961,0.014221858801509137
0.00556642080393902,0.3055297912907141,0.1805970449769003,0.014022727813958247
0.008264012478371021,0.7308616679960291,0.22497823444885562,0.01324962675444879
0.0045401322061662695,0.26382380752318896,0.21059433532097888,0.013403526959431856
0.010014915435599778,0.5354704270759838,0.1811307361450512,0.015182188833200072
0.00979024297110915,0.3839286552260867,0.0717960992797883,0.01427979001528789
0.005373373839316101,0.45484629140499855,0.22551636659811441,0.015193822940057515
0.005768136838192916,0.3831004237409966,0.19593430818126975,0.012389536544293298
0.0025766686257167283,0.7123093860346461,0.2798117657927856,0.015437743376151667
0.007253361479685938,0.3823755544512697,0.12312459029337929,0.012089463598655753
0.0002229624003860776,0.8875232195458189,0.2322704397282572,0.015329153847159372
0.011666320584930794,0.16721462681419139,0.18708920887873712,0.012063412489926395
0.007749073103734856,0.3836426031945238,0.16829863332472667,0.010969446167136413
0.007267144304507067,0.5790926061544277,0.20484398605147436,0.018693259712502693
0.005414923985472312,0.44396564350950574,0.20515277043471344,0.011009021235193353
0.004276789667217551,0.811139743855626,0.3330086593612436,0.018034692753122646
0.004847911830088482,0.8773294932136566,0.19130785525091112,0.015971932397106755
0.008074450844084797,0.3813850233496098,0.20977332437193402,0.020036394743548017
0.0065593498354267815,0.4295869598432885,0.14881474286220897,0.017947485695393547
0.005094474915276873,0.33968181381000806,0.24560280634166376,0.017983906582220772
0.006826078181641995,0.3542279861064301,0.18095651028959084,0.017401554189291773
0.007912049930318773,0.5509143123820489,0.21012298231122883,0.010399643969921815
0.0046856511877940875,0.5427423334235792,0.21504641023711848,0.01910153097105358
0.00821387307675405,0.43402407343545074,0.25388717214298345,0.012716008046173217
0.003441255078225887,0.47193763729492944,0.19556165643802484,0.015492026721166731
0.0032452834045710406,0.8473144280572263,0.3380586806843898,0.015170167212922598
0.009266501904800313,0.13946191175717676,0.11482531250759304,0.012624480287074854
0.008513738081954991,0.3883946149488446,0.04458595646215962,0.014636390713506475
0.003123037619407733,0.5967061870441034,0.3022969995473998,0.013402538664539948
0.008256117234965424,0.46272911974630104,0.16264247717852262,0.0155175804213166
0.002034457653967041,0.627468970602785,0.2612126170273564,0.013039414100867092
0.0014866410520859767,0.4691010668503325,0.21367566703876142,0.01595659938528869
0.006017646228186346,0.5977763099524962,0.1011584818311704,0.017709500874964722
0.002235614326311195,0.7601655425746324,0.11274013580557607,0.016055094044826728
0.011069859042551993,0.32146501187328874,0.2566327958854527,0.012202289629230787
0.006603444398126904,0.4648572559213903,0.16086252161226078,0.013590748878040338
0.0065859349664323845,0.4407689518880245,0.12249966628162007,0.013169433828476764
0.006022971423457547,0.4693728504984271,0.29398963007743906,0.013387708242905862
0.006580469119978578,0.32269802050057017,0.1993668054110856,0.015709424100321428
0.007096036285571679,0.5241610857187932,0.12691339854925507,0.013237807198597086
0.007032485286222707,0.28973088846205564,0.24635746488779806,0.014570761430970611
0.006000190611679668,0.36395802312634756,0.22256856950802037,0.014285607438804008
0.0063798183846870546,0.6063613746646175,0.13399991668797248,0.013898111122849478
0.00509496442046585,0.4583804542322274,0.3442253967233952,0.014043213356333814
0.007315304324633553,0.3979439754432658,0.08691858227019286,0.01333082560815276
0.006825177558894151,0.4512796441255389,0.2843205300486849,0.015804571165931026
0.007296589643745424,0.4490081470279972,0.14915380810058276,0.013756207331116307
0.0071718974469981754,0.3523525355649025,0.21881071017704537,0.014156201606387883
0.008018080486733326,0.4254413237360962,0.18006763787773222,0.013286696994966785
0.006642662722423737,0.37093718249374985,0.24194819023104874,0.015781251492744036
0.009478077819486497,0.5016823623660887,0.33755824632307113,0.0180235681707586
0.003777781813371176,0.4802934152769769,0.1180393650719251,0.01195612601689522
0.00949305490593057,0.3727209199952201,0.24413645071797907,0.017277099024010825
0.007537896817671571,0.27847331916710105,0.14380844720834945,0.011775125242399443
0.007510709014235384,0.268465992028769,0.1341645272260814,0.011833434690854258
0.008043965359890241,0.4324682487143617,0.23679632466760123,0.015025429711034214
0.005624049924962488,0.5542603071712741,0.2837659263056925,0.01378111908706649
0.007312641668149409,0.6447816951310735,0.283900590773711,0.017823283148265857
0.006131150356390786,0.21562189081083807,0.13418102277652924,0.013653588785367366
0.012143858853642251,0.4763755575546092,0.21901582160325578,0.014045330700402371
0.0024286349789434496,0.3388669785098236,0.22092045256877257,0.015125524308710604
0.008944755465505973,0.7670528974149106,0.2511408275150762,0.013533461517576163
0.006591933782674908,0.7763282461705602,0.24555502694929568,0.013401409950071658
0.0016323016552245335,0.41523728055284315,0.2975127781371374,0.015289537063980658
0.003509139159090566,0.8156427131821128,0.1814811450879106,0.01327632248428422
0.00510431054937689,0.6497658511390736,0.19395754043334004,0.014552370672098325
0.004635012562059683,0.6502106918740618,0.20784820008126928,0.01472252542148023
0.010217014744064197,0.3956896688664153,0.22122874953803853,0.013079182870927564
0.006384614413330724,0.39282571244075265,0.21141201041600333,0.012948198285801177
