alpha_0,alpha_1,beta_0,beta_1,sigma
0.0053311669124058315,0.5185690819179498,0.19145293181231762,0.2066024649485964,0.013378695127282866
0.004327671553725303,0.6083723202493707,0.19622478926462483,0.19416864916778462,0.013608053518852964
0.0035677775194176186,0.5743201808283648,0.18702658337042197,0.1514303450792385,0.013387186271707456
0.0024714480194813044,0.7222216314336029,0.2077969823221358,0.1803748891995217,0.013327463190106222
0.005818110074653594,0.4895219242468399,0.11418578956264928,0.18485866222235667,0.01302058996510987
0.004364005087079256,0.5716154263978881,0.13605402742974754,0.17744621833762658,0.013997479509512228
0.006250517214385559,0.4297305618509847,0.1146151866000412,0.14258655410074023,0.014031568320227271
0.00405087889751516,0.5328352563129894,0.15790891698928347,0.09771106477314814,0.01579029413030524
0.0026075051241389344,0.5293515472689319,0.12865916258925944,0.08529020118254818,0.015947382162012552
0.0007933058845143064,0.46294873246982154,0.11309704037488638,0.08074337143372591,0.015512230632265565
-0.0003973077670614142,0.43994163145978166,0.15353430844447213,0.12329800073396155,0.01649681535634582
0.0008656119708024012,0.27945550357140453,0.13100325414921474,0.15818483016860996,0.016287342223204312
0.0010749343768641448,0.31607991709271727,0.08857449878962975,0.14766066695968946,0.015113752591724493
-0.00010030039583450852,0.3605410955318584,0.11611822961552802,0.22944988632157268,0.015190154064054082
0.00044938648438088737,0.3264130092226231,0.07687580316677183,0.25956638022157563,0.014587984723500012
0.00045972167064830887,0.39137515040407933,0.12485754056967671,0.2274869023043639,0.014791372640506176
0.0013610236895518256,0.3903307056084573,0.15288214539954603,0.16363297641218003,0.014710143912852634
0.0009406482403773261,0.407118227417424,0.14091765818950852,0.1642462097641266,0.014578797414687072
0.0015799516623553763,0.44873193014657903,0.1959301637197297,0.1512886438001997,0.014782017911978262
4.836907655767967e-05,0.3333671529546216,0.11743723839372036,0.23363981246388765,0.013804111595946142
8.295616263335657e-05,0.41175501143717946,0.10726952924283097,0.19929409844797935,0.014008916386999505
0.0011364616060277266,0.34908914164403093,0.08717280458214363,0.21469525272505033,0.01363748090692603
0.0006446451890776245,0.26156332402140364,0.11941934949925828,0.20348095639120495,0.014248229754295495
0.0024963297334138624,0.3107756139211285,0.040256361454319066,0.21572555576979371,0.014570408662407667
0.002908922688378206,0.29169647957031625,0.05157877500756453,0.24018876871102973,0.014723038197661496
0.002069588347707505,0.33999916287527526,0.033087320033814226,0.24149948365773036,0.015164423950486047
0.0040402943408772585,0.4746313061949462,-0.018446416776246703,0.22649114003350893,0.015617856046547826
0.0057900660620789045,0.21668199355744383,-0.04657733273294854,0.4324744644682159,0.014674907809188476
0.00473342526801785,0.32018092233163525,-0.04724089925532835,0.46268694083962597,0.014340871889243
0.004238764361585812,0.2605836984680534,-0.04216437039437284,0.4849358498097407,0.014417962800662468
0.0032384942745422142,0.23389754498715182,-0.11214743280515937,0.5180967002423401,0.015136871177354636
0.002496147627894279,0.2526686623149211,-0.11593547628848426,0.5316461273086844,0.015094898581217632
0.0013024554117948793,0.27117365032166724,-0.11133082615574535,0.4254277071205744,0.01586711747571762
0.0006321768525692866,0.3808940644032601,-0.07310792556182512,0.40070227262336855,0.015962799289562794
0.0019474093603723223,0.3143419766317306,-0.06476202312015664,0.38156837969437685,0.0154993855922346
0.0006733918026002719,0.3025064167852487,-0.06630131666091739,0.4636358725003922,0.014904734517311256
0.002450805442562952,0.19854406828382867,-0.15475241072452114,0.5551608618695908,0.014793865498249454
0.002043215857627933,0.2205972679762487,-0.14176827212609222,0.5394824333533382,0.01558529022403649
0.0027518018398534788,0.21103784960794086,-0.12667801657022174,0.5355986098870946,0.015710730065753947
0.0006042198095704301,0.3863731186953924,-0.051325654034072285,0.4354410269853764,0.015869994184082713
0.0007807954735630677,0.4231954210545781,-0.07199249268314058,0.47196069338453517,0.015995540144270896
0.0009851999914525496,0.5126273712229168,-0.09015939104194412,0.4899832032484927,0.0159877763786692
0.001101598577128641,0.5585173572841039,-0.12207062317954534,0.5532253615491125,0.015647753199595483
3.63081543137693e-05,0.6362247924973811,-0.09453292909763263,0.5494472110776333,0.01689412669785535
0.0010685867585468614,0.5706654352630538,-0.13081260590281074,0.5555418519744774,0.016086235953276448
-0.0003909118578370725,0.7351342217268875,-0.06459787297373915,0.5486038175127395,0.015895102528959846
0.002563819884306969,0.5572438771992313,-0.010852417743351819,0.5069551398788827,0.01647676573499834
