alpha_0,alpha_1,beta_0,beta_1,$\sigma$
0.005805554613737373,0.3371375293381211,0.13952856073726047,0.10392413132449886,0.013646103881362875
0.008565102382706377,0.20660948277443394,0.05357574747779348,0.282419687358028,0.014752190632357998
0.0041688973847449975,0.20672856604959677,0.05820237411474374,0.2201027318609233,0.014121906029172829
0.0037395356476953314,0.20437046933793865,0.08877598556904581,0.1612696529222279,0.013445758043423666
0.010494866363742346,0.2025018021063196,0.0666298497523251,0.2429897224984436,0.015526605746472166
0.008188597094576082,0.2636734172920301,0.09461998250903472,0.2132390497560255,0.011791732554385386
0.009870666801976673,0.2788940214988784,0.12187094874911439,0.17210304571258228,0.012859619785059187
0.008740442517183403,0.18445357971414972,0.07623569227635674,0.1022799472796062,0.013236986997749719
0.011266700741567883,0.19045305654776534,0.10086257402456067,0.24949638795683807,0.01302280704467739
0.00404539887798879,0.21930252593635058,-0.004589119408264175,0.15015573923270117,0.014015999318319896
0.01037248918673323,0.2467634059163453,0.09560712805522263,0.23698556931120313,0.01578843049303987
0.006081558111098422,0.3105208992957661,0.03850078132493819,0.28960167417477095,0.011313440602402523
0.006012232245542384,0.31145724421523097,0.05092149348197413,0.282798035346674,0.01162148732103148
0.0020679065498251355,0.3982391233955599,0.08615660260314334,0.3137075423110839,0.01608234736783767
0.004828555702101826,0.2729431779623648,0.06974347159695309,0.28413735562589676,0.013945349863644731
0.00565263501004083,0.3030631182408973,0.09229842779043804,0.23424654188929378,0.013392415447614898
0.0060042565074225306,0.09918825584115931,-0.03548259269571247,0.3063954878302756,0.015915363833818856
0.006351759231002578,0.022444460270010413,0.08464681834118566,0.2843034484162164,0.013050552995944195
0.0068933547409922745,0.05311391423956688,0.07602932637984122,0.3304163460545537,0.013412959567169973
0.0065395826651766025,0.14728163406915967,0.04712349305321477,0.297144438165265,0.011020665696182666
0.007169921105656541,0.27660792860442174,0.03779822486142677,0.3162034373467516,0.013770433775119892
0.008105292527648562,0.2954392470794869,0.0006288512523629894,0.273446478417497,0.014416637069748987
0.005103773184339789,0.2919626100467037,0.10566609389864233,0.347275677459716,0.01163662541605498
0.005785532977164988,0.17445990768581648,0.04987704199384519,0.302741396308057,0.014907526373424821
0.00506994814458871,0.3932642000588373,0.11096536614635029,0.1634359640454821,0.013724144660730507
0.006841920842454035,0.3807620675423941,0.1751454870074547,0.20430588090174787,0.013804423708113824
0.007495558532125374,0.022371907737725457,0.017422510632192592,0.10819021343186125,0.016759491795004345
0.012230092713592476,0.3244069625346471,0.07813839917391914,0.10609289998897867,0.01216876440980102
0.010323029206385,0.19150095592686053,0.00926850571651602,0.04434515320591955,0.014707280015491668
0.007620351627435463,0.4082629296843757,0.15474094479049474,0.05637870438158072,0.01317427126059111
0.006463275463036802,0.41726791811828523,0.1107523215843287,0.10959116046854385,0.013058502203467864
0.0065130001612773766,0.2880699675080029,0.09591115078642012,0.16163832190766164,0.012536764850507115
0.007078836930444996,0.15534496040322066,0.12292957626736463,0.20801087608991425,0.01576255754187649
0.008577850185725325,0.11808010925287563,0.083592989475823,0.20719240947899958,0.014578809447544439
0.008613281252242602,0.1680858374751457,0.15495194657856995,0.08947265046969957,0.014258205017704646
0.011422099429226165,0.134697594383998,0.1482065844783782,0.17789767660914071,0.013559008368633264
0.006131190083898838,0.2016173759599824,0.24021430456536663,-0.0044980153703580526,0.016233354998618853
0.007135892060803575,0.3389682823615024,0.24501179656498998,0.06188793953867862,0.012532427285111586
0.00828764771617574,0.12593948556357856,0.10709354619972436,0.17081728976781826,0.01460610527823962
0.005897534724957363,0.27669200550104406,0.005268990706141339,0.3335696058672205,0.014220980225142824
0.007207787935384247,0.20329488251897873,0.07829504251635908,0.22057387038255258,0.012837330068078669
0.008839307224941154,0.2868093166228428,0.12154293616497885,0.130513232128934,0.012733021872804224
0.01036956509402485,0.2541141139923258,0.07765450212234212,0.14726184634609568,0.013833175620384155
0.0052104627823903295,0.33957833518301567,0.1504076451407526,0.06172704137438642,0.01413946519915411
0.005457742863141379,0.35974686245596477,0.1680815516329469,0.1495950676987717,0.015556186727688768
0.009788836079075037,0.2890641751813125,0.12987870617261796,0.014772987704699217,0.01233054343397412
0.011325365768766577,0.016745775833652946,0.04878415987620945,0.1338384484760556,0.016751271067189048
0.004570689413066203,0.2801775457679482,-0.004207665499126549,0.3245869859463978,0.011187454364515138
0.0029774277804991344,0.4647035864611394,-0.004449746582463283,0.2835829081509669,0.011223854102638505
0.00885548268108217,0.15718203278907328,0.11767392799554716,0.23165182825811942,0.011709296745469762
0.006575989944840923,0.06417130473230957,0.15980673454152108,0.21621999052869215,0.013225225591326231
0.008874661281439253,0.12293459224865129,0.15620162901110327,0.22852245236032953,0.013040943760504353
0.005341599147518729,0.12679404483753046,0.1507218909197844,0.18546272628649346,0.014143351934636044
0.005980583452906657,0.2611983554581045,-0.018802872849215866,0.39905692205352317,0.01598747206282916
0.005383942758732378,0.24672776713383138,0.02212230232951895,0.2809340054998666,0.014746657002854041
0.005915286936531581,0.29943536118426084,0.11125597601697063,0.26861288989657667,0.01138112338653861
0.0038749838088995413,0.24698663372239688,0.10472183779024372,0.18025132650645423,0.013389013475280365
0.011910470446810971,-0.01733580457836427,0.022132991394362925,0.31906156777426314,0.013952644183089941
0.010647787053226233,-0.07133457146481768,0.02257537642361483,0.21366275893677664,0.014320128699731326
0.010169724832065637,0.05264163256116064,0.0674224570135682,0.18387228687081147,0.015396949352707126
0.0103881095321255,0.08530080844699899,0.09026901961303851,0.15976562176910591,0.013696205122993202
0.010556920703622638,0.11839375104532886,0.10713170270020349,0.1152182171114546,0.015476540515720874
0.006449408043257704,0.28488233748789155,0.017806674269554432,0.25573831840650396,0.011908791311893444
0.010892581795250494,0.2619993782350141,-0.025906865042410968,0.25503187143682665,0.012046369429487029
0.005829263850801446,0.39192258475116376,0.17293429330829224,0.16219573974837007,0.01275539509359863
0.007996908801722798,0.06127201160309827,-0.011934802449205879,0.29504395782623594,0.014974126645448773
0.005854056855754879,0.28970951867399075,0.06955062611049276,0.1530200057693406,0.012744109316203286
0.006083170307951328,0.24894207553395584,0.13232552829083652,0.3909235588703461,0.013973757977711233
0.005614888348106164,0.2500316114781337,-0.02692243970380346,0.276677711334789,0.01203820690805725
0.003797092593779958,0.13474022221298415,0.1331687827361916,0.2507138779755409,0.013015171551717615
0.006714777220209625,0.13282575339775665,-0.05383477900167691,0.3722673700446558,0.013235738710607108
0.004637049909011436,0.24087128734556254,0.021084793819070177,0.32036975503567683,0.013141469644194338
0.005476581816910925,0.22504804808498718,-0.06853811579205596,0.32920693677023444,0.013933761605057226
0.006893731869651831,0.3623230757028048,0.11324931402204488,0.3161576675972017,0.013700675753963686
0.007401054863695223,0.1693116343632341,0.022811710680705862,0.10646017794668772,0.01326308058250309
0.006182886680955448,0.20883580551259046,-0.012989116602971229,0.3468109927407031,0.012531527356077049
0.0069093447638529345,0.2106742064568235,0.03497497252357608,0.28997623108996784,0.013856315646845401
0.00401410834104917,0.3889549100598244,0.10612039450588265,0.23591056758903378,0.011114280521904354
0.0027167313322308583,0.4935407754802446,0.055135467538158775,0.2809096642700827,0.011547796269765563
0.004768874975087071,0.6590927107873995,0.059539737563953844,0.25790664676401587,0.010940446764592873
0.009786356093858698,0.2119714199185747,0.15360612040401952,0.109703847522554,0.011826929841421592
0.004820674538611513,0.4065310158931511,-0.008605109960121388,0.2789652122206361,0.011627627683139985
0.010200287392621812,0.1252819576380785,0.21200104390056404,-0.017617439704554528,0.015382917815453163
0.009784023841178111,0.09258835585596023,0.013870818463284675,0.05747559488736658,0.015434439525778687
0.009400450154560548,0.3337925323715069,0.12219054108463194,0.10732996790596629,0.016832030745620206
0.011691714399823257,0.43695181916637466,0.1503837742355014,0.11487226273078645,0.018403329304112422
0.009969776245028442,0.24343924262560795,0.10681388284767525,0.0606971511225474,0.014084427173835857
0.00775546455301918,0.17140662504569384,0.06916572281768542,0.10198857969824773,0.014864423588411908
0.010333009288928404,0.24274987372426626,0.16291610815408006,0.08213348335279615,0.014800297689864338
0.00634043322445319,0.3329660874168215,0.05711743249126747,0.2073076367938893,0.01495926035960309
0.005121415879619652,0.37449435334928244,0.09261316309660439,0.16187655085026756,0.013161619138414477
0.008325550610619691,0.38769070081314005,0.03397010744678772,0.14095968543165058,0.019516229308476112
0.007543125891951387,0.5388862444604083,0.21424995105922398,0.03246489329280557,0.019294772435505682
0.009490870948635611,0.3510086855585348,0.11783498466108956,0.08741356262934176,0.020406402170151407
0.0079979800590961,0.1999368238263409,0.33702304237549835,-0.07229207371997949,0.019068624983961977
0.008477846246833296,0.42243920657643147,0.17380526040983904,-0.060445157534406574,0.014692738531143622
0.008205577319032887,0.5592458960641309,0.26485916831052997,0.024830632152856594,0.014712114586584644
0.007031463243040128,0.6123358314887025,0.2612216565034086,0.027821241194095146,0.014690110496209798
0.007957893253350997,0.3406614215083527,0.3254512309443967,-0.03967173884241944,0.015510172425149108
0.007525103387019737,0.24011525096440123,0.16635850304497718,0.0435254450949049,0.01314270844416481
0.008500513276544462,0.23780322654637606,0.15150626382218235,-0.0019261887780028543,0.016631339959156444
0.005412013998017634,0.2613478449020481,0.007575667692612477,0.2037794782065708,0.012561709067204635
0.006724533387938491,0.274767565421115,0.12632749748173028,0.2374305270116287,0.013686496656211373
0.0023652852636616806,0.4216651269630484,0.15417767913379507,0.14479786046349827,0.012355725151674055
0.0034908615930300405,0.5588688601290006,0.17416496097969295,0.23863894690904577,0.013111504247874382
0.00443543668239271,0.41598254095141207,0.09740249872990625,0.10634670280863705,0.013398008162911814
0.006076904139741602,0.11648694342444453,0.08241626169424153,0.20194790378983432,0.012373311761113255
0.007969860202114664,0.20918027482598545,-0.004942676039474706,0.436464160743712,0.011911436960292112
0.003967839789608721,0.20737350666390147,-0.06802961007803895,0.3250035945544849,0.011865231730664217
0.005193762150715869,0.28327996321427124,-0.07313300367594902,0.3232548842493211,0.013758369819974003
0.005380842524537061,0.2015778169543153,-0.017949418347297262,0.22536973768463334,0.012781854117746036
0.0071335097744947805,0.18270908051205148,0.003920948219492182,0.3005505872921942,0.013268480406974557
0.007357648050681885,0.19513183111897398,-0.045102149641861905,0.24636112119035616,0.014171057724582244
0.006590797188205416,0.17063017473869974,0.0991043967822499,0.22010683750248572,0.011547447017037298
0.006387137767396329,0.17158636905268976,-0.06581739894828298,0.41151616072022934,0.012631463040307465
0.005653835503724952,0.22724399341462048,-0.09094616895373014,0.42887605031969267,0.014555871730026784
0.005259683483037388,0.2764558201634046,-0.045005420979314745,0.583703610783752,0.014028703553269154
0.006776061196345347,0.30780932451764464,0.13763196326095223,0.07644715561877638,0.012458202137946222
0.005943362097133577,0.3035979958976279,0.10688672089625616,0.2868575827418386,0.012129505884528515
0.007377543882009771,0.30433566818770535,-0.008621123264130667,0.2765059349666453,0.011273314990255074
0.00815181030085636,0.17031381655026806,0.024302814950406558,0.24392777857970097,0.011739516090570572
0.005946656451267811,0.32901935118091225,0.034211342213337576,0.18701176938989658,0.014354825653869748
0.005668433226544563,0.4339882412177586,0.014975983982942323,0.17986567437099452,0.015104433872019282
0.009344182788937292,0.29729308901352625,-0.003481261609773704,0.29715182121422307,0.011670650358327839
0.005239034683062552,0.3390134252788211,0.04434271297659495,0.18316617785293526,0.013138450585221277
0.007261707650053459,0.16668573610654944,-0.009922860495030763,0.41219149649149384,0.013717028735751481
0.011478554720952643,0.16805262597080184,0.0024400912432244962,0.2861081673846819,0.0154506093149553
0.005308655276866755,0.03320621165652687,-0.05552915748103073,0.2567349802796047,0.013153301307782502
0.008344041569466639,0.21172701384922335,-0.11922687892505164,0.5699249700581892,0.013540733118556221
0.004561296385647328,0.21593312643858678,-0.012679036243786494,0.3641884065739653,0.010983287659710714
0.01141562114430185,0.12355454225237572,0.03004790254356014,0.3556045904917716,0.013119211678359461
0.0035936759275601434,0.3520246860841367,-0.02253461537589968,0.16993405185530205,0.013152987375783338
0.009079510293854301,0.250304373811781,0.016497131137563407,0.41317626110315614,0.014180061685823978
0.005874999644566765,0.12635122576867056,-0.1719231041373069,0.37388621984022075,0.012071708323737473
0.010743445893995856,0.05208139472985155,0.040211292041704275,0.3654863868438324,0.014491424527922334
0.005634432690212726,0.23243273492797725,0.018390759995016298,0.26355306756888974,0.013680686433027143
0.005860905110502815,0.2996418776644865,0.0038851522644769362,0.22915150741898613,0.013188443178185873
0.008092917336266133,0.23376255258580422,0.14449584167036286,0.2708380036800142,0.013651466806243344
0.004427261997172149,0.20619442256212495,0.08247897977218382,0.22231490404485404,0.013381857258583683
0.009461082325231105,0.3524123976386733,0.022764332649329647,0.32403541536764496,0.011454903858922515
0.0019199899892865687,0.3616986616129411,0.024913586776704237,0.287010934041806,0.012139795949575366
0.005753847000816629,0.2770264972148357,0.060075534974654524,0.23417852253691243,0.012390988805518217
0.004058336011232609,0.2803459810769422,-0.012213923879695486,0.31009831774954016,0.013207678661136346
0.008032936419939246,0.28539641217127687,0.06990587005704003,0.2540746553637474,0.011974376211778279
0.005028449262089026,0.09931867477098733,-0.08496475260940427,0.5281420820381797,0.01339563407377081
0.003708988994807463,0.16830392821265527,-0.053032802153953174,0.37793774236361666,0.014002509555787343
0.006525495070928958,0.30559047453186,0.05492517496121332,0.3972144341430678,0.012937348499088883
0.003282700468831506,0.09638677239685586,0.05616473564318575,0.315247806490931,0.013871551592018524
0.008169373283745427,0.03987102477902535,0.07474391728643488,0.3897611402173971,0.01691758351278934
0.007831006234895306,0.29731153010874256,0.11047964966591185,0.16789462241485234,0.016859081835451463
0.00611056259981712,0.2722145779229355,0.08529453788144147,0.3037918440801129,0.012880648559829415
0.006792908254327284,0.2603770346352241,0.07822832176284328,0.30913241571408095,0.01308393525212268
0.007080353539603991,0.10666303508914758,0.009814203621796344,0.34567332567391346,0.015113761826670458
0.005801672112605705,0.06921295901525139,-0.058801903203475836,0.3009698054806935,0.016213068368606514
0.0084879356896069,0.12974934632581803,0.05831434289469789,0.16691675501487732,0.013225273177504748
