alpha_0,alpha_1,beta_0,beta_1,sigma
-0.0037154022832609586,0.06042533926830489,0.10834276092305381,0.39776707694542407,0.01033162503089573
-0.004369512775072972,0.2139705806102121,0.13002209011144095,0.43915654564904083,0.010477475324389777
-0.0061962258812170426,0.2873687598767181,0.12247685287027833,0.3243172546344483,0.01115896142348666
-0.0008813045912681386,0.06006269827679565,0.03138693258051699,0.4791228428886932,0.010587368950282443
-0.004471713012661338,0.2125533374051459,0.09703512032321154,0.5003244861097403,0.010764291786114301
-0.003106748501857657,0.08177752900568866,0.13774652267733425,0.3536909588087949,0.009924537763177184
-0.0012953992348133355,0.12905905165541662,0.03323382739066983,0.4717782629736838,0.010746341643844356
-0.005056530806935251,0.14307615562590753,0.2399129259972861,0.31622757513981004,0.010048146713724752
-0.006512675754880112,0.12423506394185284,0.043443005492119546,0.4534481917052967,0.011959029467298038
-0.00323011453490735,0.17402342045773156,0.1489245276269593,0.4174049159809032,0.01023814949454372
-0.005206664133918404,0.1369771852371383,0.18643802268675644,0.4310577221246214,0.010094264929935088
-0.004348541766018389,0.16339174853443972,0.19337498904318304,0.3933764947971239,0.009791587143618915
-0.002190051527074041,0.059856649882041736,0.060815347832899935,0.36488040835813323,0.010526273695326294
-0.004494301069353815,0.25063035483080853,0.17320826530085554,0.33474936996649224,0.0108887062813
-0.003240407051885512,-0.05939945494018948,0.16768132948538847,0.26435541768799914,0.01225173367744307
-0.0036663002184533994,0.3340747493728874,0.09822531574431587,0.47740948957086843,0.009030695720312277
-0.0034896309618775182,0.122822957842086,0.21657390106732233,0.2816394003053497,0.013595738275739214
-0.004526655587360504,0.21249904241489442,0.06065470542061813,0.4907164701176496,0.008380516563717197
-0.0032133255624882543,0.08691812597599564,0.15121753245540395,0.43418675840985826,0.0131350768846389
-0.0034193382318203204,0.1644898041107476,0.20878875168628855,0.3837188269673152,0.008828147061363142
-0.003953819293265518,0.13789026784695776,0.17491549372531068,0.40309340466232363,0.010271838099138677
-0.005518136533040935,0.22910262733880296,0.06139880891588685,0.4377244011471264,0.010925613781680268
-0.0027596165692425523,0.1517829083592202,0.18190092617105266,0.431006756113303,0.011079676668736781
-0.003286151218477203,0.08994546351342504,0.22883028626134225,0.13443533506924915,0.01179244779349928
