alpha_0,alpha_1,beta_0,sigma
-0.004579424931752204,0.027688837934118395,0.25874498151366526,0.014294001474783217
-0.003256896987217623,0.15405109549000867,0.272360524956727,0.012384054987877393
-0.0008435533356066161,-0.04162080515593785,0.2656714068498332,0.013712265825283104
-0.004184779193946358,0.06897476775148573,0.3449515835650204,0.013287626961772925
-0.0014313447230457819,0.1005812814088672,0.26156763016710277,0.012127140228878654
-0.0014861350507819103,-0.0023206314853958625,0.27732256277843875,0.012521565396205471
-0.0020729662185547037,-0.07392079925954488,0.33462877978806194,0.01369388934092731
-0.0024739086623761287,-0.045078955473380415,0.36065373448089655,0.013248886770259727
-0.0023192159845254142,-0.23366273186652842,0.2829474321216118,0.012393687542826232
-0.0030408857607869206,-0.22950949252670838,0.2885080165346681,0.012259368186396646
-0.00317286293344082,0.3236789622685557,0.29277843756811955,0.014656502699387612
-0.0017022989366063809,-0.01750337398273525,0.2861814951813489,0.013034842930948951
-0.002571664875105233,0.13862723397713214,0.27690096064241,0.012578384259851479
-0.00208010188885279,-0.015831127969984208,0.26881685168035974,0.012666295523174045
-0.002873389931732533,0.08668743219525818,0.24852476220423067,0.011064187862258261
-0.001887351180725882,0.15815219539630768,0.3233726177864025,0.014555217046929818
-0.0027174167578398055,0.10512215952258669,0.19621714291902936,0.011263620379750552
-0.001921063688363012,0.02424178134877124,0.38176841805086653,0.014554022233998426
-0.002533359193813318,0.09853703664137076,0.43216285084390754,0.013097641661452475
-0.0035812288772320575,0.041200307357593405,0.19563939598987515,0.013365922807624228
-0.0020317058888447525,0.07889501361798232,0.31348431254159626,0.01082419658083765
-0.0036206175593617254,0.14199461964127275,0.2136161045989926,0.015926479874149947
-0.001094616324380474,0.024725610083399623,0.3230742952405078,0.010256055552091907
-0.0032915189361576356,0.08405257929976562,0.2179875031053696,0.013707308079221563
-0.0051977090249612865,0.08098205203369722,0.2533276204245373,0.011256072723482356
-0.0017119284858834638,0.054558393154340905,0.4230430491669451,0.013995094435240033
-0.0034544457768897197,-0.11265557051735553,0.2110883218108041,0.012470804028299483
-0.0031179648783491785,0.23409302106804203,0.42480773802765426,0.014090785692487728
-0.002402101834284312,-0.05923619092775375,0.16557918605466662,0.012084741018463227
-0.001866518165937141,0.24481063492226537,0.4090750042132194,0.013807493719189587
-0.0035578760663733133,-0.13187796663670495,0.2054116889080979,0.012090491892484873
-0.000689851046642263,0.17602553422916084,0.40973136426210127,0.013747320474746588
-0.003425666101967103,-0.013786256389384353,0.20039689983054687,0.012343308032437435
-0.0022261420047948047,0.22417863549199107,0.3786802154332582,0.012477114469862216
-0.0031211498809659683,-0.09130345287875156,0.20781735564569714,0.013697144898821787
-0.004605739921285592,0.03849198995750608,0.40818190711707514,0.011030835605762101
-0.0018861725155049794,0.04516604365463164,0.20326349352097894,0.015647611351923867
0.0012110265714211585,0.10716536876506869,0.2134798440596248,0.014946743832687997
0.0041103379812323605,0.2765497412491076,0.2076913215788424,0.014836373892887826
-0.008944172511767576,-0.1329347680499664,0.406680515364109,0.012246306343153513
0.0023644926966215328,0.2039426982504151,0.20149508869469754,0.01341532972416673
-0.0026754564293832673,0.17110952956285824,0.26171014359358025,0.016229628999159303
-0.0019099724774903333,0.11054830533079552,0.38247712775785203,0.012268952204504718
-0.002810371641702102,0.05694057803534673,0.23214117590570277,0.012863503361804517
0.0004817749425535941,0.059577511837066575,0.2545233370374934,0.01423774911139407
-0.007233727883838854,-0.05832555186130366,0.27276271660561824,0.012549241622252875
0.0015119271204292717,0.10024806795136615,0.3039993282451498,0.01465744694488919
-0.004217940019814571,0.037941630290699385,0.29309721583022535,0.012283499377317297
-0.0033653949889635992,0.11461223354843343,0.3150882001438133,0.0113730574257456
-0.002276146395527605,0.21609283953466374,0.3162541217733607,0.012690516237131948
-0.0031303696799406533,-0.1661851467101121,0.29119836105749186,0.01363826353597083
-0.000892390557166787,0.19964194339241112,0.32854811573532183,0.012098906534461282
0.0005143986018011408,0.26403349409669585,0.3011985495022994,0.011851937143107645
-0.0019462897968678223,0.11334540612732721,0.2928863293687579,0.012498562204197561
-0.001970242782654094,-0.031488106384966054,0.3533066643668242,0.013344392858864712
-1.0181362302188941e-05,-0.030870630666609146,0.28965660284944156,0.01415218379215637
-0.005781907913681918,0.06325258921481332,0.3231337082091259,0.01276381575570478
0.0008138734844285703,0.11291138936376185,0.2974167011336872,0.01342239306081741
-0.0036375080190897413,0.1490622219816067,0.30807746606291303,0.012667554491850887
-0.0018820674214614491,-0.016673179889253906,0.30643973014805537,0.01256352464996085
-3.712676688432862e-05,0.05652107077753415,0.35535477880263916,0.01724632723741323
-0.0032528252645195044,0.048800890598401814,0.21819225215024216,0.012465017949700492
-0.001975110315455349,0.07927601561615133,0.3479431889275509,0.012880616443199985
-0.0023040661793222944,0.10437390584955118,0.21980313659237333,0.014408550346066699
-0.0018260243964509744,0.13291482207375505,0.23147744951125035,0.014259723634643381
-0.001816041740557507,-0.010647654516306448,0.28565963298916164,0.013566585363273553
9.804077928205862e-05,0.14638949877454902,0.381720949127381,0.013898727691750152
-0.0046746262957352335,-0.07805248122691287,0.23226619278903088,0.01192114663241087
-0.004588552051987748,0.1998644115410256,0.45370798132533363,0.014802656537259047
-0.0017240333133416263,-0.10640141303564705,0.12889996183921523,0.01205495012613329
