alpha_0,alpha_1,beta_0,$\sigma$
-0.004129340186809604,0.08838690352973975,0.2430764598839932,0.014061521400566938
0.0005965704497753248,-0.04181228979395243,0.2721913250667588,0.0121435180007684
-0.0011408460364774116,0.2042312296930352,0.39305969924665507,0.013245069041826157
-0.001057008209752906,-0.10620577881461395,0.22724846654092623,0.012694966722005945
-0.0022967519277073863,0.2853115064507388,0.2408552762699034,0.015219638565041518
-0.003215683122736822,-0.1065822469958571,0.31761187063676233,0.013179022387942808
-0.002414771551183387,0.0369101451398494,0.3041105892895327,0.012419411606909693
-0.0020854186789985513,-0.0012105673755991111,0.31179824864376604,0.012281267682515465
-0.0017430929788631124,0.15249194524708534,0.2681420142731563,0.011637678551625018
-0.0021194906194316643,0.011312382012733591,0.297054407353012,0.012513989937316559
-0.0054636661808437756,0.17609612708176317,0.3033796161647963,0.012854680097589557
-0.002366844221406329,-0.029676053746745323,0.1663423665294931,0.012801801719088346
-3.011118541171335e-05,0.13386265441581358,0.29671991465789055,0.015842372055658187
-0.0004923811694691877,0.0368464137661978,0.2271281775884326,0.013934349506488159
-0.0006343915633692031,0.18237673908112711,0.19538815736540255,0.01367985472767643
-6.603364532644775e-05,-0.04033534805794294,0.19675929168616924,0.016216134424671902
-0.0013672186763172866,0.27561354797993987,0.37705266686063516,0.012753978834359699
-0.00361409804152349,-0.11329825554710075,0.1666923055744649,0.011703855596468233
-0.002132964404346781,0.11582102797395774,0.2626824959435142,0.015119516613075158
-0.0035795736722339924,0.09373660295246107,0.2610535433926449,0.013875787602044
-0.001546912504246261,-0.01295225686570179,0.2269185351295058,0.012710459179908455
-0.0022302502199986387,0.13392617326155035,0.29494513978602543,0.012799758255570427
-0.0035972811264207423,0.02710722569225258,0.24395384315176372,0.013329839475704857
-0.002708845640924752,0.15413415896675856,0.3244582277060783,0.015497269578109206
-0.0017271399070686612,0.06822494692983502,0.2777635473700676,0.012181183981456269
-0.003872257391744654,0.14957263638989673,0.2178506902168298,0.014607235204117178
-0.000387622729735668,-0.08027164618276207,0.23929388742957214,0.01607021444265601
-0.0059083859544139805,0.14388432436679718,0.24814905678097615,0.014112856031498765
-0.006808765829299021,0.06278727209778633,0.21690613045772175,0.014961048623708617
0.0015250814362894223,0.07619497734792254,0.2875607513744019,0.012600491195175575
-0.0043550363331167335,0.15249516455312914,0.22049746940791423,0.012586467567209733
0.0006503016810508284,0.08291757773746075,0.2863303516694621,0.01971158614501258
-0.004952001409469637,0.02767166065344054,0.2555816920402053,0.010543713219160054
0.002507744649617686,0.04185406160132773,0.2772422071862746,0.01508414691259285
-0.0077265447201190825,0.08001576773998645,0.26384967790321456,0.013027553508708068
-0.0052117137902803826,0.056383408106311005,0.27733652335109454,0.01259964814315173
-0.0034716105236910046,0.07608109205911427,0.20873324998084478,0.016040901218192773
0.0032479382373950547,0.06641693944082261,0.28647762235083024,0.014354236536256471
-0.00466552132625886,0.08771954837123994,0.28397308390810433,0.012543308474162065
-0.002060411141200738,-0.007322006671896208,0.35869775297011847,0.013076301002834358
-0.0016883811333829675,-0.0861440028158923,0.3307375427563443,0.012113999943640968
-0.006257390219738779,0.08320684033841333,0.2800350083474622,0.01403201297991683
-0.0006610773538574077,-0.06751134407914725,0.26597578590755167,0.011806452577481223
-0.004873103812775673,0.09928563541689311,0.2901900024320411,0.012825154653094428
-0.004533856117603419,0.08814112477109334,0.3367281105236854,0.011911004040189624
-0.0004244960320591965,0.10842926422053663,0.2521064646237344,0.01109807246669838
-0.001984445412994748,-0.04470528233895181,0.2636223620798252,0.013001587625534649
-0.0027141512720006778,0.11458971785160342,0.219450049418672,0.012538840320449303
-0.0009220748356016733,0.008448314592980007,0.26495677438081494,0.013011673214348558
-0.000980176156283487,0.1356528768924135,0.18792877496273067,0.012621349732078064
-0.004567395439321761,0.19365145257382052,0.35915981124997826,0.014759759987646646
0.0010833974985020476,0.1159917749729913,0.12168192949682932,0.01285099579517736
0.0014520501573831225,0.11050213976718982,0.1384601296824846,0.013155327352057778
-0.007417631603674524,0.019903850319654748,0.3523534577782011,0.013789069777913304
0.0018070496104270078,0.17599025285833902,0.21105453922327902,0.011829889546364061
-0.003952783276958321,0.08406804201324704,0.2902969613980845,0.012909834385583983
-0.003913029374655782,0.07584000299355366,0.3450446592166742,0.011971153199522673
-0.0024889047413207462,0.01633090309868725,0.19067326146738264,0.014010340597284074
-0.001594668371393645,0.067519728251572,0.3239669579078646,0.0117123188063723
-0.0071151727864137366,-0.011685480898462816,0.29462072617434437,0.013301093807624093
-0.003494153870945922,0.08803518867522413,0.3189919941838572,0.015007086249329981
-0.003491092885225815,-0.012018091076273357,0.30596312810024767,0.012272917971242175
-0.003514165893266909,0.10755594609271797,0.3201391513009329,0.012477730165292515
-0.0011139959702965796,-0.10265944744165272,0.24064029880042476,0.013858835367778266
-0.004978839603068026,0.03680494292009069,0.3049904009387413,0.012750038122458835
-0.0030394363451654344,0.08208937730955186,0.24919027249937903,0.015256719574128658
-0.001854435567792222,-0.15127239105175697,0.23474939541647352,0.013121194367703507
-0.0031457090369672066,0.11578753241270756,0.29775037451316916,0.012887106792273884
-0.0008166358548812622,0.04889804661319601,0.20121957813653335,0.011723369198590699
-0.003427417839769169,-0.010770898397909734,0.13498868056162358,0.01283185652476788
0.0009250452741528042,0.06159624873173561,0.2560258837351746,0.01813751162689059
-0.0036446583896773957,-0.09891832815968872,0.34985519492358114,0.011043001066882593
-0.00475666581870763,0.20392072846326204,0.20921678198468047,0.01735166547298968
-0.008936795276694252,-0.008676730765744635,0.3159475601378552,0.014607103890813464
-0.00811174250072612,-0.08690240133074165,0.30628899944767884,0.014402160490442106
0.0007343166835686063,0.07520610423897145,0.3270079207033716,0.011707455400004807
-0.004791297151684384,0.07100391812313595,0.11882803402278848,0.013219407367174878
0.0008461042582739453,0.10312374454802,0.40531659904876455,0.011455586626869166
-0.006793391476666509,0.005698092020995357,0.2741650994097828,0.012375728446119954
-0.0031957150854290822,-0.06849689821207959,0.3447039121754044,0.013686900704690015
-0.00029454068524307933,0.17537476275480407,0.35906898506513624,0.012960206332502684
-0.002262392216576043,-0.021391584517332442,0.22051924404938927,0.012058231400025375
0.0002466164575339687,-0.10966242051806227,0.1988560048158736,0.015267224769160634
-0.006234909783689309,0.11420607272358797,0.28471384990609994,0.01453876533138739
-0.0017949810466289502,0.03369231645000084,0.3379412059086798,0.013172951723980442
-0.003623433539846558,0.036464709911391724,0.25410020327423744,0.012060330361833594
-0.0055838533131939184,0.11271361939850913,0.36336004753453216,0.012811174122421849
0.0005875704483072235,0.10299413502301,0.3125598359045494,0.015195076355086587
-0.004760488094653277,-0.0006021315214463606,0.2486392315907839,0.014148644953929666
-0.0005877515244285322,0.10197740190112635,0.18642360692993346,0.013220523201063513
-0.002024279251192568,-0.002381737120175929,0.2744964100339229,0.012087454757414644
-0.005598831072882661,0.005257423532449476,0.3136082314547825,0.016785912102281426
-0.005210844273300126,0.1541370261236528,0.3030192165589299,0.01549572729767934
-0.006543566439122816,-0.11116319671098208,0.2266554113883874,0.01283389278475453
-0.0012864150765168289,0.0977667073703932,0.4090562372687331,0.012570263940374261
-0.004029030572476954,0.05583064551178008,0.20565311019391172,0.013410876300819325
-0.0010297109753300714,0.05443874477855797,0.3599696395861678,0.012492464757025444
-0.002476228289231494,0.09100130364015972,0.327890036261213,0.012346275822751319
-0.0014403508437479046,0.10759685284462907,0.25812156359772265,0.013726596653625533
-0.004343604205451494,0.003728229434681818,0.33076450231924837,0.013168205021566947
-0.0008585237459369534,0.0919892030089371,0.30708068014450157,0.014954622930818725
-0.002901836227871271,-0.027572081284116135,0.2173684839916752,0.01175184602230246
-0.0032031707905315204,0.04293753277741287,0.2460155349826059,0.015363858589282941
-0.0027907274908612312,0.028361809671178045,0.3048183055673163,0.011709340066883709
-0.0034441006691919795,0.03675830860270691,0.3180924426771692,0.01123936736685451
-0.00438985258259534,0.0200227565055245,0.23243578504607293,0.013822080430164136
-0.0007103710234382861,0.05902610417136792,0.2704428653274301,0.012662182976220331
-0.005028335357047635,-0.01422181023774419,0.2910226560389691,0.013752004548509934
-0.0040379943681233,-0.02286495808011885,0.30315332036196363,0.013081295572613826
-0.004151015028907311,-0.005996968893276444,0.2972963645990835,0.013160266626914018
-0.001550658657051076,-0.14331624715992344,0.3208323599418635,0.013489298599675752
-0.0032681249215600876,0.1909857651290937,0.20572966050684569,0.01370649197251546
-0.004012014587844022,0.12519467124217346,0.23922630370833553,0.016738124575101113
-0.0008336335867763965,0.12330674280083118,0.20401261318362154,0.012307035127052376
-0.0010469383007269523,0.21254902374222323,0.27672047823686013,0.013231556282989514
-0.006651910175706281,0.14426023690436568,0.31053006680945794,0.014924577838535794
-0.007116098177861872,-0.007201676134553109,0.38356893164088596,0.012705882067219903
-0.0019580868870321547,0.026135441595909224,0.2636397413459327,0.01267138778017541
-0.002765080179858853,0.12421680931531508,0.27933840957218053,0.010798269131998361
-0.004520462798518867,0.08818979143667943,0.33477896090930565,0.013316746384545573
-0.004335350984790297,0.0692878171469826,0.29989419485021235,0.014013321581333116
0.0004885855902442995,0.12336598386988304,0.2546716549071794,0.011722319766113924
-0.0025245602111586846,0.007287284269800646,0.2637764930007899,0.015979313386765833
-0.0028679415292807223,0.10340659088040488,0.2877332249336905,0.01061421274379577
-0.0037332239320926816,0.162234353549336,0.3020944560315735,0.01315595021173333
-0.0014046728976401294,-0.095308835315771,0.21206353329414934,0.011047697676123113
-0.0031437607799006968,-0.06802059194589781,0.24297983556987476,0.010891023026541153
-0.004253313051903251,0.0828035768380186,0.23084053900596588,0.011822233876655857
0.002509820419396147,0.15760123638005244,0.18450702864505378,0.014142636586597259
