alpha_0,alpha_1,beta_0,beta_1,$\sigma$
-0.0029298048651249234,0.050171766653185436,0.1675115387055853,0.2378460006520002,0.009192932500692492
-0.001315218946346495,0.1373326947427438,0.12002596812729022,0.24197228632363252,0.012316082925129215
-0.006440597874701604,0.14497525641567546,0.11445056557563298,0.46490458866806506,0.009996148024718425
-0.006430379805116443,0.1571998060710133,0.09140180935142114,0.39363375904242537,0.010874491768844674
-0.00233406201730726,0.1407392320597322,0.1575723248555297,0.3748368247295616,0.011089398344174108
-0.007451788390646814,0.12782350468401574,0.15752036875760697,0.2375285086029587,0.011841143122618133
-0.0072815735827985095,0.12181893316401136,0.1453800432067524,0.3157433398584938,0.011963333392152973
-0.0054057707950998166,-0.0049220966837931505,0.14612832195342837,0.45409116559828566,0.0107203440676646
-0.008480977982697214,0.12359497925626374,0.09885382503312731,0.4975972975136046,0.01150980423934573
-0.006097232517793957,-0.0020001979038701363,0.16748991414612505,0.49542285997906665,0.012950872062323046
-0.007628536488047792,0.06096871233889507,0.1313066550566823,0.4808616131944202,0.01370062937855669
-0.0037338098872147993,0.006213779570896026,0.15534165808102735,0.32326403775961265,0.011387757183954367
-0.003520127017890307,-0.012507818368034386,0.16540467414280396,0.35582694191814784,0.011557967396572656
-0.003933339222420813,0.05736057631551516,0.19965658152758967,0.3564489112510049,0.010591409655059987
-0.004653349549269829,0.042824591037301483,0.05594071003615233,0.39361513112950014,0.010490955094795697
-0.004294706153529461,0.23613232590414354,0.1550058121915634,0.3881746011451608,0.011229969955876946
-0.003622100331689139,0.0640224601648821,0.10918338600793998,0.3467436134694421,0.00912072691253541
-0.0014029168662030697,0.19590622140675537,0.13185195699565141,0.39202606186328587,0.010072596594053124
-0.001304501272227335,0.17262680010669085,0.11578202954385718,0.3868899997231859,0.01072167800295313
0.00044061228610121396,0.19611985283884936,0.20240964970592015,0.32835630238115276,0.010469657224511156
-0.0036880247230911462,0.23699751219576423,0.10767964354871536,0.24306031322712388,0.011830201092455327
-0.002777207036349431,0.18073836037419205,0.11134582036238737,0.2824998316004331,0.01121320387768172
-0.002674581535237183,0.0756625628622878,0.13869171241060274,0.29498290873912064,0.010220772246324816
-0.0048025173844667085,0.18758813277688247,0.07919703918316018,0.48292579232030025,0.009922503301313465
-0.004027602210437791,0.2859584833073531,0.13672033860909552,0.3686299360141583,0.010788927994419268
-0.0035102386467270423,0.19367464159174644,0.15186127269755567,0.42918942776406144,0.01116674319096816
-0.002368073966061489,0.14279180915244283,0.12873106142827828,0.3254374517145247,0.010458586962188786
-0.004224849370056234,0.19797500224367204,0.14212704721400318,0.3231280032781189,0.013493144750949503
-0.00334010223702467,0.29012241045161496,0.22574821399312234,0.35482794221940317,0.011124342852621562
-0.0014419040978339195,0.2328127478654202,0.15933124137367227,0.23928058046472966,0.009907752072385949
-0.0033950755113102277,0.2399661703570892,0.07827281962315089,0.3266610429776997,0.011671968241562393
-0.004452645633174864,0.15388053864221385,0.10099955144360405,0.4000745229018777,0.011166516519641973
-0.002515453700537744,0.2396894336123788,0.16334382500581368,0.4217734792104698,0.00989225913207707
-0.0053997818516248386,0.07986032244179023,0.19497513027883617,0.315791907636297,0.01168054954166761
-0.002223123042369942,0.04057430475951349,0.21194056464072072,0.3208787127965172,0.013401160459650757
-0.0032687652113529216,-0.03741745098849547,0.2040523170249923,0.2778943381317051,0.010687030297919533
-0.006953817919988703,0.019057811675922284,0.15106584405170226,0.32560979029385084,0.01081256407764369
-0.006228954824841998,0.05964335111917997,0.1702496644907512,0.2909373987187765,0.011985450097717166
-0.004758568279996444,0.07187657226465546,0.20255531164433235,0.31670627016398456,0.008867984853899792
-0.002442549898535415,0.13632592964454107,0.05883286164274595,0.45482117910543496,0.011320825938916793
-0.004262040574187155,0.2556793177146906,0.10882467690441877,0.3697728110820422,0.00910954617158956
-0.0019450738864574973,0.21524923374340213,0.19568450222837724,0.3106943379625633,0.010205215056074645
-0.00372581153901198,0.1360570312210627,0.17158300910732324,0.33650393608539175,0.009191362876142159
-0.0029114243809622675,0.035898941450291946,0.1425434210976306,0.38179426193154203,0.009070971414907805
-0.003237456747525331,0.01490321766055813,0.15784726148681216,0.39771148990684363,0.0076541943077259094
-0.004024288046183664,0.039542163467661366,0.17981972389832693,0.33031640521374256,0.009629027725567034
-0.0030019158983374747,0.20157371043541508,0.06105924109674432,0.460069717182616,0.010042330187653171
-0.0040257504134165924,0.29006881345970814,0.13514599721200027,0.3510327858523863,0.011168402653952083
-0.001485443551355942,0.3507263368969566,0.1719424531714766,0.348635869033607,0.011997387940488127
-0.0034969127207786443,0.1720002151947976,0.09809914363882156,0.2463513863252852,0.009824598143211597
