alpha_0,alpha_1,beta_0,sigma
0.006565839247736174,-0.13896390588769159,0.1737957234916342,0.010645871517316179
0.0008664350040126171,0.12165513936465136,0.15229187831153018,0.012900614985921833
0.0031193093963607036,-0.07302661922220427,0.2626712341339696,0.011283887712409157
0.00503577526134183,-0.2264163667273884,0.09587428624562312,0.012584496662624595
-0.00017919692346748102,-0.02694035112626764,0.23630817535087462,0.011241739954177123
0.004701430036175402,-0.0562003110560072,0.1875451297791716,0.012224903922125678
0.0060936913046118505,-0.08755625549235968,0.11753042200218515,0.011539893655304466
0.006068512966902201,-0.1341798288761332,0.1067979851632289,0.012557879227457122
0.0027558128094073695,-0.05264983816486128,0.14434991829083862,0.014162969991287088
0.002912514819638929,-0.047916127894192674,0.16492538638315196,0.013747596678417035
0.004448164482478703,-0.08340335687021894,0.16720226461770465,0.009930707175819052
0.0019907305613763825,0.02424596510369798,0.21910357722859053,0.014866456893608597
0.0061702625177791365,-0.26520801787033094,0.1365481592207376,0.010352577577891027
0.003897875155905171,-0.004078499675169628,0.1388035880993213,0.011114100658537133
0.0037227923955481467,-0.09566577603078634,0.18462839710576034,0.010268864784255942
0.005068535523967486,-0.031035860190452277,0.14167704251309604,0.010670384406471459
0.003273229980788418,-0.22316554711367195,0.18568783679360093,0.011114931841517336
0.002809863905267911,0.06433467961745154,0.14419684768889374,0.012277237622670932
0.007194128512648246,0.12886275065822253,0.09834148744278151,0.012652428769340175
0.0037666624095819426,-0.000328143868960924,0.2884669027338808,0.011491238357513865
0.0024490027501329194,-0.1559058982542787,0.23520450928003864,0.011599307306408943
0.0009194145087765674,0.2849300788678555,0.20204863962491515,0.011861330455323709
0.005530880690906212,-0.13931616555029797,0.1582931325170227,0.011909870266701775
0.00188685971178643,-0.10731306862010312,0.20960805474646282,0.010748582392453002
0.0027274805347008804,0.031303861704902375,0.14666204213582404,0.011588819552123533
0.0028188665611670184,0.037719813724189324,0.17119897413745602,0.012640976993937679
0.001854425603191523,-0.021851662816558627,0.19206462566383672,0.011562710522956213
0.005245631791456266,-0.12518990403268856,0.14894519763327768,0.011583625929039757
0.002650640077963071,0.01041378161776589,0.1608489645577781,0.012524299568487628
0.0028044768994091554,-0.07964749952544366,0.1999717871534374,0.011152479640712705
0.004792855306442684,-0.0865245103069574,0.0867447488811086,0.01342352805704883
0.0022278887471557838,0.04441259545176202,0.16204065388926656,0.011778775372136695
0.00508902925254593,-0.1678649021019266,0.15694468481159707,0.012058126850449366
0.003952396939868671,-0.015015219133088193,0.12677790038395884,0.011596485467316158
0.002719913805512877,0.11812880685816307,0.1986279119416251,0.013910696719760553
0.0008761338112676925,-0.1732389938318812,0.09939249201261381,0.012565961914633331
0.0077708687383467034,0.00641400278605582,0.2071597646565968,0.013112557783766354
0.009873643961154376,-0.10083710095727327,0.21570374832059608,0.013065496262994318
0.004237183075700345,0.03628835631961689,0.14479947533629273,0.011034239753839433
0.004542040850012458,-0.1551078526125169,0.22596715158242278,0.014259949583852582
0.0021174170608233285,0.050737777195063144,0.08858194032766968,0.01152202725943312
0.0019892348249102377,-0.08613444204586687,0.28041029158949726,0.01230550010703688
0.004095195930758295,-0.08257936993578625,0.12837274739072996,0.013942758105108933
0.004293110017332962,-0.12760022981775587,0.21998751300150451,0.010508349188253505
0.0024179431369650253,-0.03612078998920719,0.1184359318871513,0.0130510316038714
0.005723265117429905,-0.15584267486408068,0.22744004799404868,0.010986089389978504
-0.0013433228868953786,0.0019008978974255943,0.10496034029739218,0.013254548970161317
0.004231439480329567,-0.03568656385887609,0.2063953331177603,0.012782309038592407
0.005917716837640271,-0.1720969038209978,0.12626279408130725,0.010110000478015227
0.0039683424535285694,-0.06869590356259754,0.18924712997414808,0.01125273403460178
0.001548677480149556,0.053924341714687324,0.17603048476764202,0.012241728112997747
0.008571747170618553,-0.35272924598873356,0.10729198551602984,0.014013869203919484
0.0087295558186444,-0.297413307972831,0.09659502158618534,0.014282781102689972
0.006047385141241298,-0.4619965012786384,0.12890646448008936,0.012389349506093425
0.0033257980462577646,0.2803450116386168,0.15258326372086037,0.013687520861019764
0.002319111864680488,-0.2621081578245396,0.19376719928200228,0.012184849349338528
0.004661305191502718,0.007628062691725029,0.11171226241253632,0.012511763492011404
0.002366986661210756,-0.03148398117051262,0.2178241198953381,0.010770146441103481
0.0048628904155417615,-0.011567583835194638,0.10587210591198667,0.014111233073894761
0.0009457453173523437,-0.16519859210353235,0.21959978128427343,0.010085512409048175
0.005319818428282211,0.06371119937145103,0.18625099566698342,0.012098348940144495
0.002666745606887377,-0.13372351001143118,0.1705971150186705,0.010773829072463603
0.004869003015669904,-0.051674638657280704,0.1792060851539349,0.012570569251337213
0.0042659150463459205,-0.23467987907357613,0.157681511967713,0.01184971690064637
0.004047772610547488,-0.21234294069531176,0.13958981761164016,0.011927518434239306
0.002040859520546185,0.11785818313927933,0.1828422767206412,0.010909805603739662
0.002151581500060389,0.08398127177986485,0.1317998657626108,0.010527262472550173
0.003337841029550139,-0.2737199525275445,0.20346771458183302,0.013277629791573776
0.0030565527958321204,0.10282646914236122,0.15825897773518863,0.010434407330266276
0.0021397707058565868,-0.11171349398774787,0.22663874932774372,0.015674581494856888
0.000985188207995472,0.011023339215446964,0.24836511704793565,0.013296453432061532
0.004465869997813941,-0.04953026672004499,0.09808722816850665,0.01077029203619713
0.005553050204970464,-0.04563084625359263,0.10447732961627355,0.011418675637074783
0.0027983335513577733,-0.027416265256473355,0.2596552384531157,0.012031565042084106
0.0038032635388518046,-0.11466953207009221,0.15952570186632417,0.012284971564664663
0.0015289342783224799,-0.05668136158297122,0.24659970276649137,0.012398851530760285
0.007645295163162352,-0.28557403202606324,0.14131766076033245,0.0123246315322542
0.0009434584634890998,0.14226782397024723,0.19735885984966747,0.010817113195867631
0.00421453023165142,-0.0780094981610281,0.20481367624284244,0.01184380002565261
0.005538104744651306,0.06775587749903565,0.1551809295988688,0.011873310947334676
0.0027342871922497237,-0.1890455545082384,0.18536066741746593,0.011752950458725132
0.004502036761382691,-0.0706415694636391,0.19621035021438651,0.011490710497512949
0.0043374334290309105,0.06132799229946645,0.1148623591662712,0.012550077064539582
0.004024178445558341,-0.2653850730120725,0.18347802834968252,0.011222470750214122
0.0027388876646955084,0.06222958539721656,0.14163182609209077,0.011457035877204307
0.0009513610672823398,0.0072300424004810085,0.2056964823636285,0.011975115621477801
0.004496579463905786,-0.08431912544043252,0.20395878557681085,0.011076419884189248
0.004390443506900549,-0.19002047061786237,0.09661662555317208,0.014091901524050576
0.005307204848561277,0.179804303760564,0.11479160337109602,0.01322351515730123
0.001936311562737335,-0.14200396308243124,0.20732411950392954,0.01269639080463534
0.0027182829807249334,-0.1822573365217283,0.16974330732015078,0.011536058407961078
0.003269582165474887,0.12296883891084756,0.17445482903058956,0.012330427830655799
