alpha_0,alpha_1,beta_0,beta_1,$\sigma$
0.004403835330486844,-0.026344826409531327,0.10395998235884964,0.2729554213092016,0.014490062009823551
0.001390666202677496,-0.02032569620860002,0.05327055886781277,0.16568515971976153,0.012604534814546866
0.005892546229600691,-0.02854712827220002,0.1528466392221251,0.12062640536681349,0.012172067767513697
0.006372055445141493,-0.05291301873173049,0.1397857793270196,0.1369956437166001,0.012261736083790662
0.0023680022872260213,-0.15096981707528997,0.15478833665111189,-0.03211895884743521,0.01128399659106453
0.0038814665007461985,-0.0605178679273724,0.20265413701939503,0.0835465249098293,0.011924009823144583
0.0032761115091888703,0.04889065410860326,0.17428103728114053,0.07629068972363713,0.01282420144213028
0.0018530743551117407,-0.06871085083262779,0.12992206516442711,0.11731614619067879,0.013094174168512353
0.0012353703358061686,0.1430229440693207,0.05695534675900514,0.2272638466262614,0.0122037114278017
0.003324940841442345,-0.18003729308048347,0.08566447528094016,0.2900339896533452,0.012236833434298114
0.004042409627785678,-0.09794714963565251,0.018466862797776856,0.26812106024105886,0.011326694571993734
0.003855550426400784,0.009913596767678527,0.19719437299447695,-0.013518158963667006,0.01101017776484369
0.004077464287954952,0.003137534017912039,0.21819154072046604,-0.010499174185743532,0.010857707747460033
0.0022129556194336805,-0.044997417516416095,0.0761973046079705,0.19883995356286668,0.011634538606668646
0.0031619338787701196,-0.016506271518691384,0.01792834994601087,0.20391244274989304,0.00976470738091174
0.0020977317796602086,0.06008574708429227,0.019195836395480823,0.2650144032233661,0.011511671234072198
0.0022627233114071326,0.1118636265465631,0.06630953994862494,0.25359568129503623,0.010891964481838491
0.0038991628569566036,-0.24730627860037632,0.04379162543256624,0.19545901814929326,0.011889411584294081
0.003927859507660832,-0.24728648821471408,0.026392693072520693,0.1099072902665917,0.01242832614840295
0.005458456040912168,-0.2836451553368944,0.06644665449756194,0.32553464907900703,0.012363213677048557
0.002374357482626615,-0.0045791688533089,0.02466576269189774,0.3387464512117943,0.011336708167062346
0.003459519118401007,0.10849838695449963,0.02245780392334487,0.10363870941468643,0.010704073217577494
0.0039870998942984365,0.053144997356042556,0.0834430795120398,0.2373559951400046,0.014126864495193917
0.006150056033201678,-0.26814705293362756,0.07809386878464313,0.051364003204870036,0.010652892143213608
0.004383805868825228,0.06943388895682699,0.08767221661388083,0.10483911119970814,0.012624575327915987
0.004107571956655659,0.017393769660295964,0.07638230765032117,0.2771978082471864,0.010815835482644129
0.0012607424286402728,-0.004665665946895436,0.04774148040170838,0.17807798254727494,0.012216357550609656
0.0023803369441874065,0.0898548098920956,0.11161517808402872,0.1728723450911908,0.012320479354830247
-2.5236255115996562e-05,-0.08043541033926284,0.10573619700977849,0.16869629285481333,0.010912423978006378
0.004983868324923448,-0.261475325380897,0.17982248281089805,0.10052623667576549,0.011310657197853987
0.0017297468364760996,-0.0861433443664047,0.10768325010915959,0.02865899712681945,0.01016617976220162
0.004288148772061561,0.09645601263814478,0.1572200459104603,0.1955034331473142,0.010916197258380805
0.002506470303342578,0.18488135280322301,0.014878041666503847,0.16027819131966123,0.011666701985259598
0.006118637513046538,0.1193487571416726,0.124965765498612,0.08912792829984079,0.012222684224129494
-9.314345993941157e-05,-0.10267760739635133,0.18645475505322995,0.07773110079563508,0.012071413801339088
-8.937080730126198e-05,-0.01421474322303688,0.17301455596448326,0.08073588924306868,0.012278901037256004
0.0008648774924468406,-0.16652109952726526,0.13526317829964857,0.2002913579500061,0.011123533658657701
0.003067861828299036,-0.278201268010833,0.124952597539439,0.14373554792422516,0.011944453883651576
0.004157307616554564,-0.17757110879062088,0.13375053601530232,0.014898515694525237,0.01041867804606618
0.005145319438145704,0.07775120247258337,0.1251662503125867,0.23530460959089536,0.01235847668385563
0.0026515334126483783,-0.10008128461025101,0.1409201850276659,0.03870515692199747,0.011277000436727838
0.0045225297276511745,-0.03445325171061534,0.09244616159300749,0.24342231162433015,0.012055463292497534
0.002388524744130914,0.12126909411565809,0.0759815033053531,0.18408565171573757,0.012637303580245705
0.0029675467096585595,-0.19451550976999335,0.11431083836296345,0.12732175287407488,0.013060182341179331
0.0025498415397415355,-0.22151227370006007,0.11937490805656144,0.1210025467351877,0.012438819800368399
0.002687793277102567,0.03270288113997557,0.07508836152820957,0.24680591649986725,0.013205678303345911
0.004874037868180481,-0.0688051996854268,0.18308482380082705,0.08614922290034435,0.012039327491261543
0.00210604938690176,0.023721468688223075,0.05340452205344819,0.13454526179810603,0.01184101551479211
0.0031850041014119456,0.03952458663333605,0.08867380836382115,0.13443507512957018,0.011866960972265415
0.002045753411089183,0.02398543906998861,0.10031089080228839,0.2021088644491238,0.009797433425851135
0.0034915996166535045,-0.014135959115460447,0.10845496753065531,0.10585443749424168,0.009342056206274773
0.004295637589319102,-0.0879284776542493,-0.003031571781989574,0.19286396993138916,0.011629571611271166
0.0026785917500705505,-0.12294404366813101,0.055325137164910734,0.2775125481448155,0.011804245049643735
0.001657254811634791,0.018884336792174137,0.13949517989787016,0.08744422762746734,0.011954406539382876
0.0005249328910295458,0.10881739259819462,0.17523194077649457,0.08003974859648601,0.010958490756705224
0.003267006393011771,-0.17950463729351696,0.14838875395801507,0.06019168470194,0.012107773949963289
0.0030121173023889727,-0.07047750210095644,0.13786342843093483,0.24160415418027378,0.011960394778093927
0.003692431952539557,-0.24287486409420372,0.1561424428928468,0.07760828206761654,0.011933534484548208
0.00621761895205485,-0.07521185821652063,0.1232665008333477,0.1276170408997679,0.010551387493594319
0.0009635475897788518,-0.08146957788382105,0.13358155517050876,0.039948053052949004,0.011482180689782693
0.0029938686557165048,-0.09217144883309189,0.1652677069776843,0.06776459755831203,0.010394783793893476
0.0033702527324349857,-0.14649553370560559,0.17934328499415242,0.0905236058806863,0.010211834959250304
0.001537637248687421,-0.04372064882760413,0.06330130738844161,0.217568724604025,0.010828061279434748
0.001785199596060768,0.1350296446275093,-0.005495836658712457,0.3389291392390727,0.012632944165162087
0.0034255728389646894,-0.08590511126471036,0.12168244486635503,0.07831933814184787,0.010350520011395834
0.004261152346058247,0.04809863582664698,0.10272034252868481,0.12054293050400004,0.013802155400506392
0.0017255548640311448,-0.060577344906828465,0.11923079906875361,0.006850107898587746,0.011944894506895341
0.005181467876507084,0.14572860177099686,0.0696731379477868,0.17961809153586208,0.01077686506755575
0.0011925850823350358,-0.05616248404195754,0.17400286037093732,-0.02654679140054051,0.011082714817247728
0.002321896454079024,0.13169866630658378,0.17761457284358217,0.07280497971680579,0.011645822199725714
0.0028037253313719594,0.0036508202074259644,0.050918847593179224,0.061336218929742774,0.01173438875238298
