alpha_0,alpha_1,beta_0,$\sigma$
0.006188432510896206,0.20846624281543868,0.21844341047465352,0.013184293735304891
0.004468081301385973,0.08138786113830929,0.18879418707896836,0.013786346093900418
0.00793047553149856,0.15929875407655694,0.24440379028529832,0.013597709862294173
0.007433539826522844,-0.16873818937847043,0.2105408955665765,0.01331440516836677
0.003466983533242691,0.35068962005321713,0.2679651182010382,0.014964514747999503
0.006706755746236846,0.030343955933646145,0.14650634488927491,0.014936715604953209
0.006824099290170044,0.15030507308383756,0.2528225812009257,0.013876197716595652
0.007154491210586617,0.15905242921420687,0.08448112473826261,0.013818083132188422
0.005255401511799975,0.2692665588680537,0.2483022575972512,0.013104736577065932
0.00745136581769649,0.08799950759319694,0.269147209695988,0.012804943669036454
0.0043785216007417235,0.18210515971544017,0.21134102295363358,0.01305729272053615
0.002068796723438733,0.09863165351205012,0.19818847749500712,0.016599510588940655
0.0064470690604736865,0.2570112154214698,0.24363469002665825,0.01606479632028795
0.004384166711833886,0.29410470590851084,0.17019433439819195,0.014693624453514924
0.005048777927991558,0.13629158004551167,0.13792948491663834,0.017842263969081413
0.008449478413031711,0.14020438705498753,0.24367548717108997,0.013329938139748383
0.004330711072306193,0.11545880626338612,0.17431480952939307,0.012673601758611564
0.009645266294669538,0.2266238099285458,0.11843609542671926,0.015203249830525423
0.007278632461923159,0.1728828616979068,0.16959799666110875,0.012843132091397737
0.007736742803469259,0.2719777289728671,0.16688790230684086,0.014283833964675174
0.004883199264338596,0.13948405237868275,0.09861248426039694,0.013833905575136925
0.007680841886616698,0.0911559873675458,0.29418841329853457,0.012658268211673587
0.0027301973423693067,0.08751117191958364,0.1365463049716928,0.013109891155038137
0.008687838124144656,0.08692047322758133,0.3026425630387418,0.0128984522297423
0.005196083117364337,0.2111635841091553,0.047470541481190925,0.01362078587567927
0.00911805239972044,-0.011429775060124376,0.23584414446555274,0.013423427930604465
0.0031517064912368695,0.21686089052017032,0.17347040183966167,0.01563198166386676
0.007708637908989509,0.11905373044579359,0.2057378163188448,0.011818342574638277
0.006541045228276496,0.14135451027488707,0.25580784017645913,0.012879216423817369
0.002295901326986917,0.15160999123267485,0.1854180413878339,0.011831928010059686
0.009115890769572326,-0.024695250207533714,0.2822899425763569,0.016526787918594583
0.0029468286602433672,0.3026385920880587,0.09810057130671831,0.01523207511097049
0.0074451455329132546,-0.0046168351606428164,0.24492395598091277,0.0144860096181589
0.0017517964368825804,0.12029750995949454,0.17372789563752428,0.014129190562465003
0.007699235108987615,-0.046215480848391645,0.275562547520397,0.014234423382810227
0.00415178916688996,0.1621318199674979,0.16339863713277447,0.015216419344906017
0.004433488679037376,0.23366290323569183,0.2511785595010322,0.013222067430290394
0.008248494812681171,0.10934942316319941,0.1713253346343392,0.01470597171418394
0.006204470825695655,0.03904105229619215,0.20349388562083912,0.013751341485103602
0.006189215071292901,0.23762713993648535,0.19281118527256405,0.0145026993165722
0.004373872278685129,0.1266449775786765,0.22244635076287517,0.012817508318502938
0.0047072719623140824,0.060648951928256645,0.17247623059921943,0.01225611184477426
0.00820632311754599,0.15039827733954933,0.1999391033806028,0.015341970762815836
0.005917837343199192,0.14044968542211544,0.24411844944767744,0.012591675348539043
0.0032969253250964385,0.2799259329050139,0.19995823765593032,0.012530381982538209
0.00845750310069568,-0.10112514073671265,0.24641692110165356,0.01345112712522239
0.003817900894012966,0.17152348026472355,0.23816014633436525,0.015913418276098316
0.008718771980235688,0.16547048051464358,0.28565474361757615,0.01517027135028416
0.0055380723281226625,0.20393050396328932,0.19359136042232455,0.014902455233170318
0.003000258919572004,0.25774362571545456,0.21065243614737625,0.013995212268728586
0.0073832637511247025,0.09155099517022398,0.2055883445446802,0.01052978603140449
0.001472495696039204,0.23681785068327388,0.18397640334183218,0.0144302599581404
0.0015779197080533084,0.19036166744755467,0.19759226052230702,0.01426760290801831
0.005053788999385734,0.19519671475541595,0.20840782183358703,0.013359958616731648
0.005301123985925745,0.05911446776117611,0.20492915146680107,0.012577700062307814
0.004748680544277904,0.18885279346950973,0.34379625887914667,0.013293407738510772
-0.0006235812014850988,0.4338036143946432,0.25838251653946187,0.01531161909539637
0.01130455066317408,-0.019244214671990702,0.17927570722965888,0.013200448643761362
0.0030862129430644257,0.4142726051158259,0.2779134129441195,0.014587770978046383
0.01003249822638767,0.008787426446225394,0.26706975137805505,0.013752510105428937
0.006608438773641988,0.23671050092283902,0.2559622652474715,0.013148568516095636
0.006251786128825748,0.2843945839986583,0.18879901324911846,0.01473542115625276
0.006367335225096492,0.11681821067078388,0.18613462239368123,0.012576782397985037
0.0034218959778535047,0.0413639058930378,0.2500272177890413,0.014030616637423686
0.007276769746559547,0.051117545613233076,0.2310477563657479,0.012939913657105529
0.0056155567867066354,0.09140244295448084,0.20613070349248447,0.011347404323842528
0.0023631867958742005,0.09912303408961227,0.15890931906553768,0.015548635488027231
0.013225320445276518,0.004263506910852727,0.2584687402795159,0.013152834881307938
0.0037881036925455067,0.12067044999140997,0.15363707523685038,0.0167342982662023
0.006989852062103935,0.22718225314684976,0.23975982696159037,0.01476590677944439
0.006244183549972624,0.19702678005055155,0.23248977732364765,0.012808532792692633
0.01114040676630844,0.013862755357604837,0.18783166298576207,0.016312897258452915
0.0018335083400046013,0.18518312227260822,0.23327533172815107,0.012202915490095854
0.005324881169255717,0.23464320590010423,0.16145890793361412,0.013280711819580215
0.005017387759876333,0.25931712062730267,0.21284406963997643,0.013146877478698154
0.009001335205841596,0.018218722157442892,0.3302266991640713,0.013411569565162013
0.0023256503643561454,0.26747637398857443,0.1381270974591866,0.01290704154685973
0.008634829130894589,0.014957886490415967,0.26200309772582975,0.012928747757252178
0.005458446260415986,0.045156566087361016,0.20829858180039462,0.013492390478551622
0.005449014546749459,0.10146824683716427,0.1465299711882921,0.014696326199845369
0.004145986321355463,0.13636656316073248,0.15463101415176753,0.014708205997699396
0.00418914375440046,0.16363638455890184,0.13986220748058534,0.011150869537328386
0.006317277704678359,0.2207406361278058,0.2058246355946511,0.013924366842386118
0.004174751119490927,0.02482594606095144,0.22985208908038124,0.013649780425163762
0.004578016547229183,0.15500505102838266,0.12330192666347256,0.01410777047483784
0.006002525680932287,0.03412213484503364,0.1406907826992027,0.012825809488209796
0.005773259839847006,0.0032395304052446018,0.16531447122213147,0.012566572143628057
0.005581305030662299,0.21830828381766598,0.29066393297627025,0.012802561776283292
0.004002966793426719,0.20586833617059203,0.17447075423592256,0.014900954712883654
0.006592099639096358,0.14095799936653486,0.2827739115463616,0.012919427921351121
0.006440428443767666,-0.02305943983255463,0.17072434763432753,0.015140963256120908
0.0075383794167293156,0.38982260425870785,0.21100127300501764,0.013818559417058562
0.0020384394124639185,0.27490493236054064,0.14818893687426318,0.012774736723317323
0.00708005022503693,0.08442836117312945,0.13784040110791038,0.014029981697377738
0.005894035180169861,0.20543376329381532,0.2643772558295011,0.01344045058219366
0.007127189041142527,0.33459162308429535,0.19366511217863133,0.015131115903410824
0.007551031187384101,0.13851808753362158,0.17188313188707033,0.011943044689039247
0.0020276361329772106,0.31342236813074015,0.1932624436182019,0.01282419211124226
0.0060765272734956775,0.04530057193815384,0.21652935433825168,0.013976326366733563
0.00766972578001936,0.20735041941359073,0.30424487161748737,0.013095860827930138
0.006932587232876904,0.09349645607347004,0.13010877641934065,0.014883735308483316
0.005442777461458978,0.09930238709449685,0.20920686120580992,0.011853688073000966
0.0038790506600330913,0.17261700371621222,0.2191768379501776,0.015121481217460485
0.005129612593028987,0.17797640774764253,0.21984687284013726,0.014468466657021969
0.004746688897993037,0.18776017541635354,0.19272297251662443,0.012683086443812839
0.008196019346260826,0.0946149365780459,0.2482924343208431,0.01312843110891884
0.0064259315075426695,0.09732284732142024,0.16068002891551506,0.014151781243160069
0.005678323424315479,0.04231039063293545,0.18568549279248112,0.012772533378722464
0.008218515532506503,0.10895693956108429,0.19631197571893963,0.012459458505502402
0.008156233409441776,0.08428179290837998,0.19290537290968932,0.012535939578166419
0.0026044515358470137,0.12486164641210458,0.060700649461515266,0.0146404686399936
0.00803468318049086,0.19063608372628466,0.2636098120082791,0.015264115897614772
0.009338732706682512,0.1393342089059828,0.1432724088032218,0.014640357418552644
0.0018240191501589413,0.18579380368665235,0.18494215459583524,0.012280765814076826
0.005354622123069441,0.23881785930826413,0.15840591650828686,0.014144021730070303
0.0072486808074106734,-0.12206153060329118,0.2001973303083928,0.01442214241283043
0.012632324983539155,0.11908315023391663,0.25872241298488535,0.020983428355535304
0.002330687275565063,0.3746603830887044,0.13584450297940645,0.012968977764439133
0.008760543132783122,0.039617949367979036,0.3076389439261334,0.014918953786271453
0.003690937435203572,0.2285503582405826,0.20412355632523876,0.015647630788739538
0.007615153239402618,-0.025426438328208213,0.2213843567830699,0.012064466507285791
0.0058327727081038915,0.16211661914027917,0.2465788667864115,0.013869018906402788
0.006044395189177172,0.15903747419176348,0.15169185609219132,0.013699803430169343
0.006396464417102864,0.1445777679631243,0.24219521373337516,0.01374441247741105
0.004850459071708894,0.16815101901403096,0.19938304569533716,0.018757199119667774
0.006467979157456312,0.136956103916928,0.2571970525169295,0.011276474759825477
0.006902185126063284,0.148296013000599,0.24398725443693367,0.011492446824122994
0.0066989455956812435,0.15659624046431403,0.14826666685419934,0.012847217039953014
0.0035658980029881163,0.3959266802596176,0.2373065550920204,0.014324757969633421
0.00951144818929369,0.02143845155040987,0.28024136214994694,0.01179674019632966
0.004101317855454202,0.09626567643488297,0.14432318491627327,0.01500046618076429
0.007354561221260006,0.12735162996446983,0.20515267082254576,0.014508783041617172
0.004511713165063367,-0.002411679299274914,0.17837508014859163,0.016605963406399832
0.007678115291836837,0.14186308096449982,0.2940488016678951,0.015553323938497822
0.004609146830082721,0.09166793579182196,0.15818928833653256,0.014749458959568851
0.008383547082319497,0.04796735692174778,0.2729141757151876,0.012532030108745462
0.004557568844565504,0.1837483374057995,0.16453468083163866,0.01398826239515453
0.008703653215597412,0.1842064764282344,0.21592819180474052,0.013634409402781057
0.005614869815371754,0.24532174626142186,0.0767528215664534,0.01566107129526993
0.007482004583431186,0.14504287722334047,0.28144027832443824,0.012359877870127592
0.003337699018719686,0.14647165665668965,0.21501549282128804,0.014378917603927458
0.004805425842668526,0.12616489363147157,0.14733398818560337,0.014188220503043506
0.008950577942948876,-0.04703779622771357,0.2435747594957244,0.012834690181991053
0.005367114936466978,0.21089538013356232,0.20405397094155878,0.014847974544395903
0.006961493253470769,0.0012862813985216493,0.26306543549133937,0.013630043015289257
0.007234068062684006,0.13736163589005623,0.09568010797332871,0.014998818238834031
0.003353468305425559,0.07045720207489228,0.09421362419825968,0.014510836817142573
0.004692349980475796,0.2018896050505235,0.2570429951242044,0.014942538445016263
0.005422963376574841,0.20228852835651256,0.2544778954801321,0.014201074949558443
0.005422963376574841,0.20228852835651256,0.2544778954801321,0.014201074949558443
0.0033352620067268004,0.14670200010833748,0.2674214258211809,0.011449103351575845
0.0056069818293595685,0.01163662096334688,0.13068413333904075,0.015633320174554412
0.0038780975596898345,0.28561228461774874,0.24958593800402856,0.011452515713163795
0.006561087009892179,-0.009491228411744643,0.3119544499392619,0.013785473184303225
0.004844179244720289,0.21813186970448745,0.1447082965967056,0.0131432454609401
0.011347479094393818,0.07517665416054592,0.09176641782621449,0.014489968255423627
0.004126024018875103,0.2051755558983361,0.2662564434526921,0.013964817562033667
0.00415688089203402,0.29472333124469113,0.2286041388397244,0.014895515559058051
0.0030064915143043977,0.23671481664261662,0.26775291843565785,0.014571764928098436
0.004718556151664918,0.15097094559520602,0.2363885992755143,0.011715596379148662
0.00510679337327578,0.04085971171973943,0.16326872542402127,0.017062415962270556
0.008102727634841846,0.21723032069830256,0.3319497058097158,0.011943510346390247
0.004073876432284788,0.07870773735978608,0.08712283256496339,0.014414113878974063
0.006486970224101498,0.044927596927661045,0.12449364828960525,0.013992148707316467
0.0015086118652533843,-0.01093535063248623,0.1288233723560226,0.013783285864241004
0.00794467384307985,0.15280264771207205,0.3595295421787814,0.014010060093898552
0.0027676155872830874,0.08782114682500679,0.1772755917754032,0.01246957710804182
0.00760085921007724,0.2583168362012363,0.24602895316359583,0.01376591028625116
0.002531606398755252,-0.008894421450707528,0.05913921793672427,0.015606626813646579
0.006313488067903364,0.42874827494466444,0.2908671418457026,0.014553319888347323
0.005276213724616496,0.07186614626105466,0.16938166208675284,0.013363391222995472
0.004545592602692494,0.23621954210402815,0.22786640038404227,0.013898370225827331
0.005317057671015573,0.18128216115817242,0.20683748387082623,0.012470746585988112
0.004011154427876696,0.28588746011809835,0.144836805850492,0.01645391182469403
0.005123229474566589,0.030933692048438634,0.22992031993313258,0.01095749800616056
0.0040894983854015445,0.04533289280285599,0.20840345940240212,0.011296723522257702
0.00013605540385054542,0.05794593240600447,0.09149074787590013,0.015271447122566065
0.010984899273616294,0.1593166046987851,0.25291593745669055,0.014165910083892968
0.004903090564796813,0.017278261831328395,0.2646019611529624,0.014469862482383961
0.004903090564796813,0.017278261831328395,0.2646019611529624,0.014469862482383961
0.004903090564796813,0.017278261831328395,0.2646019611529624,0.014469862482383961
0.005176414475393357,0.012872287734556056,0.26794943473191735,0.014445706997936425
0.005176414475393357,0.012872287734556056,0.26794943473191735,0.014445706997936425
0.005176414475393357,0.012872287734556056,0.26794943473191735,0.014445706997936425
0.005176414475393357,0.012872287734556056,0.26794943473191735,0.014445706997936425
0.005176414475393357,0.012872287734556056,0.26794943473191735,0.014445706997936425
0.005176414475393357,0.012872287734556056,0.26794943473191735,0.014445706997936425
0.005176414475393357,0.012872287734556056,0.26794943473191735,0.014445706997936425
0.005176414475393357,0.012872287734556056,0.26794943473191735,0.014445706997936425
0.005176414475393357,0.012872287734556056,0.26794943473191735,0.014445706997936425
0.005176414475393357,0.012872287734556056,0.26794943473191735,0.014445706997936425
0.005176414475393357,0.012872287734556056,0.26794943473191735,0.014445706997936425
0.005176414475393357,0.012872287734556056,0.26794943473191735,0.014445706997936425
0.005176414475393357,0.012872287734556056,0.26794943473191735,0.014445706997936425
0.005176414475393357,0.012872287734556056,0.26794943473191735,0.014445706997936425
