alpha_0,alpha_1,beta_0,beta_1,sigma
0.006134285618063524,-0.003102185424377781,0.16777001088156845,0.1624172034517007,0.015932111222077952
0.007290939970604367,-0.09433591746172267,0.20680599316256132,0.10033532448819547,0.01564659260815333
0.004890309351674402,-0.049149177758291245,0.1384475309012152,0.15810762171261133,0.016716683243708053
0.00682503166513133,-0.11915088422776182,0.22198468832715074,0.05329082148132869,0.01685531866134716
0.006254745645653602,-0.09889075145077383,0.20694093127538973,0.0752979457348665,0.017202534242625248
0.005419480028181401,-0.07087852203986274,0.2153827078249207,0.07196083204749432,0.016604892612652234
0.00453457377588863,-0.05296390020454582,0.17649502296492312,0.13968398309821992,0.016757037052471373
0.005524233549993574,0.11335679067320371,0.17719976316241606,0.07092083135704434,0.016990035506070495
0.005894213735603282,0.11217804034385931,0.24776811157500828,0.03783843316381185,0.018054990921532777
0.0061107987871118815,0.1048358639682604,0.26798766985911326,0.012956050717486905,0.018752921868561947
0.0056920867713352915,0.27076880905082606,0.3070677793621111,0.054491952599526154,0.01963110150880474
0.005489319754602407,0.25056968076061964,0.21007815561500892,0.13508669289644762,0.016743605570671276
0.005883839179649371,0.278660390303577,0.2403651641992635,0.08486219651864006,0.01825937881439177
0.00973252622364861,0.1703623267148517,0.17208387118581692,0.06854197237687415,0.01788205097955002
0.007425271032261337,0.2251339600818445,0.13351119892401794,0.133046088135414,0.017294273920452883
0.010200213488146266,0.2036399688586552,0.23411945291782255,-0.0006402776925187436,0.016545273681579348
0.007920927289919378,0.21095096547607586,0.12617420933886217,0.13996886319867938,0.017076256662633373
0.007514675363995758,0.25053003443905125,0.11749262751931444,0.17406246601568853,0.017086674392289142
0.005391949810687201,0.24069968248742477,0.130536109846943,0.19212184345855265,0.015229675570657722
0.006942614456941332,0.013326584042316285,0.10722927088911278,0.18964304172507696,0.016147145635095308
0.006259698555128704,0.07828473968139245,0.11179259218079919,0.1975518381999927,0.0156926288518983
0.006173456590525054,0.21545748953859348,0.14832318169827324,0.16393168628511248,0.016199651744859225
0.006465326099211821,0.061478234715428244,0.09177422291291579,0.26374962481683156,0.016169711924097153
0.0061199912748601815,0.03879272142450926,0.13607909335144114,0.17567113183828545,0.015816837272682457
0.006279187508658965,0.08756928164992034,0.10830003882502479,0.15990998246636925,0.015138975551618063
0.003775167111817711,0.17687275700640048,0.13581231359004492,0.12070709817523738,0.016575801562488383
0.0038361911732899944,0.12384997140285493,0.12685189711849543,0.226395907507542,0.015960966855794935
0.0029972366216824064,0.19622211336944154,0.0803407219730799,0.34503666177899667,0.01506040989643785
0.003108341866234844,0.1512823345076353,0.00664449921560452,0.3868623855196695,0.01553629998134878
0.0022378127771023977,0.23006016066509563,0.010356275940401794,0.37164771517300516,0.014686483398168585
0.0009700899360091845,0.4163458740639718,0.006358853313063576,0.39784871850373066,0.01384355350428367
0.00120804540294735,0.3546820240096729,0.051501683614522724,0.3216612561709834,0.014035351039181231
0.0016394839337256681,0.21781441509801727,0.04545923652079544,0.3440686424302322,0.01491762444597536
0.0013761346781117445,0.26637197808922713,0.05906024809553661,0.34460236426567614,0.013726241480597857
0.0008939183164149908,0.3501885805981022,0.05952097292592786,0.25412773516457104,0.01327292706312917
0.002112053136065409,0.26073335957743526,0.17222191685579574,0.21987974399205631,0.012462425173972303
0.0026900949535531033,0.2164389122212821,0.17619012353745445,0.21875440329927567,0.012575202593439139
0.0014291041752383543,0.242448912986758,0.10940182054521262,0.2638130223760993,0.012289175649055245
-0.000658584164060231,0.3040025189382016,0.12224196670477536,0.30499007068860157,0.01358371419812543
-0.0006205844862283661,0.14947301210636493,0.12289732524901376,0.32374667551175634,0.014149538958469664
0.0008355667974730137,0.07887873893976123,0.15558828230552163,0.2641291536243502,0.013168146899310987
0.0010788189305489717,0.11572739841747132,0.1417255036433411,0.30881753762371067,0.013909288385315707
0.0008322340249403644,0.24868995963384483,0.1796594062843137,0.21629129659428012,0.013845420477984031
0.0027546513089385734,-0.0034459296479772265,0.10910447156660993,0.24110304482486192,0.014078421728304568
0.0035911544275086574,0.08800861669714298,0.12033039738620961,0.22466664635397557,0.013482496998426161
0.0015880120854090097,0.19351332255024542,0.03776573465862839,0.33139677739598755,0.01327842692088099
0.0023103723956623937,0.42459354476337097,0.0599942395437563,0.2004750676184012,0.013967920017546865
0.0029760041835571326,0.3832109903938471,0.06325143094463652,0.2101111439835528,0.013320142625112651
0.003198347808042161,0.33023158784312295,0.029679385134335635,0.26298246424830435,0.013873170548890739
0.0015333412284857853,0.3623804683147872,0.04056039977619904,0.27349453176466126,0.014248126309611791
0.001746667486104374,0.33153217602843,0.05907489519575235,0.30504790689176714,0.014195393031966288
0.0022646770540058385,0.23884680667518735,0.08851432685331247,0.30028716862481764,0.014453758177418863
0.003598053987955763,0.13053085243022286,0.11769477606494301,0.2915859584279514,0.015037316350405124
0.0034770689566333253,0.05473403610539605,0.18453834329415567,0.2097227401199525,0.01579745329427558
0.0022061199224859625,0.17348643842554473,0.155504732635515,0.25393121944554803,0.016275284860159212
0.002538156516209913,0.14360262636174742,0.21777000057331014,0.1539237097891113,0.016297792341758623
0.003576408836664537,0.16027846343015847,0.20832273268184734,0.1118963599566952,0.01615542840811741
0.0024309545615581315,0.26622836862988475,0.1475942617989066,0.1594599313516599,0.016662189196146992
0.002516414859868473,0.43057262948729547,0.13902452229972115,0.10669157717861354,0.017043298321539394
0.001798455991959338,0.3933433627845764,0.18907888143229334,0.08115126091337069,0.01640907884674889
0.0015704312404171657,0.4645559760378443,0.21916808294112458,0.033127445189290575,0.01701059138500448
0.0011992267492399531,0.38368434335645446,0.18140247850725522,0.07801858105445199,0.016729099363368635
0.002762669959269541,0.46915308261800964,0.13048754358354828,0.01328244703504414,0.016516261730692438
0.0025210169141670086,0.49717191039611675,0.13983892280851803,0.017138392068180016,0.016625487104001833
0.001103113597037932,0.6754495802390915,0.12337659494963386,0.05457432683677414,0.016883892149986302
0.0002827504803017523,0.6357470283700258,0.13661103719981935,-0.027972654146144065,0.017522192338391557
0.0005823068920055791,0.6254180906127054,0.18991988280360622,-0.08103597031183275,0.016121237276441103
0.0012327242051403764,0.7997152734267563,0.16275601447215146,-0.08609317120930032,0.015947077789344677
0.002284228710646316,0.7018851188334738,0.17310027585392926,-0.016772207508413347,0.015550108851586449
0.0019760070302428487,0.6936406242034701,0.1328388830583946,0.0053141451275273265,0.015667056361478204
0.0023939495356461644,0.7901988677066272,0.12841138315840972,-0.055598258109880394,0.0152586498759631
0.0029120337571356433,0.5969581850847803,0.06574332605123874,-0.0812164789449463,0.01581085327668283
0.00399626464210933,0.3813850631532108,0.1542408383071495,-0.05964105317545252,0.014845466417959292
0.0034753262877768422,0.3366239031691278,0.15032230773876776,-0.05150344572398992,0.014498972220486558
0.0047904424561100445,0.32176726467038663,0.09692934179688538,0.015045023629191304,0.014844806387040041
0.004244153539755354,0.304077910043422,0.07348772550911341,0.054375107966881414,0.015086216362045378
0.005289674575015001,0.32167389136733493,0.07084479275350063,0.006870910576599481,0.014946735071727696
0.004102735386309757,0.5652123593851135,0.07797090479636742,-0.018397489250731956,0.015289897872240037
0.005020731614803779,0.6765403659288189,0.05929056353091565,-0.008794172487267334,0.01611505528810839
0.0036006440857917713,0.6416233504783929,0.05360437601145302,-0.009224065209995233,0.015255625340071508
0.004000577996496909,0.6890529962143999,0.07998876921950009,-0.041677324001536425,0.015421413207793727
0.0015122786236527143,0.5814656007253903,0.027066113915871725,0.025786924458642703,0.014890234874027141
0.00012473564545355037,0.5824679568929503,0.034642804268432865,0.06719711761020611,0.014758369599718796
0.0004037251525863692,0.530332437598068,0.023673438425951997,0.055804154779448376,0.014003508071578368
0.0010307283474994672,0.5258005767639374,-0.0006243429175706479,0.07940681425347314,0.012737338635837883
0.002128107448151312,0.44944651106104905,0.06750102389492275,0.10026050254917634,0.014517399471088654
0.002195733020847657,0.4177453819203747,0.04926872932567776,0.13025193982961608,0.014555622733656485
0.0026509267548288826,0.5014522856208073,0.02208639208088034,0.309034149230426,0.014037754459591628
0.0033918287084112484,0.522185135645451,0.004840905863101112,0.3195159389671397,0.013817333967651653
0.005548998865281272,0.4475945727452391,0.04178501631361811,0.31490001818698604,0.013591106842369442
0.002888611046872957,0.2955215134217007,-0.003289487885681753,0.2982994831004084,0.013475542816155088
0.0020455673899780345,0.22705750973420755,-0.011266889173374704,0.321840472985991,0.01353444829345946
0.0027081482299456156,0.22339538449317572,-0.00833626092898032,0.3130749768700501,0.01362987893284091
0.0024612735155933744,0.23713103903383864,-0.020321953942385125,0.3220029663950651,0.013529795206854071
0.002806756310413329,0.19749944193315716,-0.07646924431275152,0.3783041990916988,0.013963681316669786
0.0017445458203320312,0.30623697710264863,-0.012904012677297504,0.3266763286787317,0.014072602367043833
0.002844414696544696,0.2202658155082934,0.0006354101687722734,0.32683047227760487,0.013589283191023704
0.002664600798490197,0.1710979507371827,-0.0760609341917576,0.37207095697700976,0.013992398317798147
0.0032597448492292015,0.16043460329738424,-0.048047307962135286,0.39052552208770647,0.013783316459759148
0.005209333432120505,0.11301701157149176,0.10117504077823677,0.3227253837886868,0.01281095809000333
0.0057088431242465106,0.2043815817794846,0.10450444630428263,0.28004581205362894,0.012718593019576674
0.005248664183469118,0.25647608646832726,0.13384925311139773,0.22317060704395994,0.012874721319244949
0.005785812576871446,0.1585595958829375,0.14872668051439722,0.25237711796622453,0.012364722959342503
0.0045302847922694695,0.17444408555208243,0.14213563001778073,0.23340894046231644,0.013342510115536003
0.004431715485131566,0.16115659904076937,0.11260384628058083,0.298660260278197,0.013306894375861853
0.004579100398452561,0.25250037161475575,0.11880215917945262,0.2861293750717501,0.013469959874295032
0.0030885816440011657,0.18622081187996586,0.10499134073561568,0.2848365613994669,0.013011616334493556
0.003625546675328022,0.1786082606336727,0.10554402537462881,0.326178004173348,0.013442459529926228
0.0030649778093921973,0.1656655085268402,0.08626107095180645,0.3673339706745558,0.013315196074080243
0.003204521021264754,0.20614880276340794,0.07516586048206854,0.3784379447677113,0.01334823364582588
0.0047598880930331,0.1435977936001502,0.09872924721407628,0.3439211434609108,0.013327656884368346
0.005940031314171586,0.24030837304787925,0.13793108725240463,0.1911676994888522,0.012959917732177386
0.00661477863799115,0.24892010302245243,0.152990252475814,0.15754624525965588,0.012986830209567021
0.004491328849545645,0.30772949639352826,0.10235499170430473,0.23767704487678223,0.011631803542539612
0.00631511300115908,0.4191632309776556,0.2100628871725751,0.16010521374016404,0.011599056857768542
0.007071343732568211,0.4689042825981381,0.20638352583453232,0.15468780281421207,0.011511197450768708
0.0054806361771367945,0.45794508343891854,0.11373855425443759,0.2847383792315712,0.011936948310433257
0.005227548693616506,0.4783206209694103,0.09112446798342837,0.3024344083717327,0.011702321542890979
0.005062713586943612,0.456579746465219,0.09845983946201695,0.2898146440528409,0.011771411245308906
0.006792941880598355,0.42435813374848835,0.02880381110910537,0.3890147065992761,0.011858945862022843
0.006571589572233125,0.41456626906953953,0.05178478760267679,0.36710344542383355,0.012395859751939171
0.005521397240684336,0.31395033077365403,0.06999789070479659,0.41021785005167793,0.012449534784666776
0.005319507361889239,0.3994447699446212,0.10566488140976371,0.36130978885845544,0.012907179441173238
0.005997409842237034,0.3416584191272519,0.07048338440638503,0.4829910584152218,0.0127855726088987
