alpha_0,alpha_1,beta_0,beta_1,$\sigma$
0.01191315037798695,0.20459985222034205,0.30703684584024216,-0.11143667340271117,0.014943065347354468
0.003257767510128287,0.0953600209105411,0.09743678784436487,0.14739576403463342,0.014550106432348466
0.005560171492030317,0.2538005603958378,0.12047791736060512,0.16414609810741385,0.014345061170363526
0.005546357248555767,0.2517766848421113,0.130351769697313,0.1205889993311478,0.013922886610975087
0.0026101770814718076,-0.11392418709108554,0.052210427537817176,0.2882498107599248,0.015510360694798098
0.0016829611826699564,0.18674123382990052,0.11056638522400467,0.19831578391879565,0.014041807070279449
0.002025990554302027,0.2049886818159309,0.10537111239715935,0.20038786625455418,0.013780172935883659
0.002253512636771881,-0.1490194023956879,0.15417907767780406,0.1915594737848323,0.014758329998191573
0.0015318138492314644,0.10901578447272386,0.03414428634806959,0.33444802018416453,0.0127733294103959
0.0022727726587648844,0.012905250194160493,0.1620114718030368,0.2616693305520051,0.012765535331122662
0.0025444782222716826,0.1940949182206012,0.12292939662650122,0.13331982187067415,0.01259434742555999
0.005830769983762323,-0.024592945693493507,0.11523276867462466,0.2164151846598039,0.011613139459775485
0.00683926416685755,-0.0036972697837363306,0.112447304808758,0.21384498234329272,0.011190846921395159
0.0028228645641825917,0.15272798132696241,0.05429957353051084,0.1817942015423931,0.01265078268499879
0.0006561671409277153,0.10329410552635043,0.11491256704371573,0.11594501877933407,0.01223593778733296
0.008704406987591371,-0.03880644925928498,0.16577193583338137,0.2030243157969705,0.013387739817343968
-0.0006425912741720122,0.21619548823292126,-0.04062268764176921,0.18294177283498803,0.015101155984204284
0.0027967561738661967,0.4231971932649986,0.07839966988462148,0.3085485371182685,0.014099176860077367
0.0024071473469030645,0.40350875144112514,0.06544106242902405,0.3422745271723626,0.013814132951129843
0.00021025408073274012,0.15647193690187028,0.08971717903761982,0.18125087686828048,0.012686126151549862
0.00515099944696903,0.27248475402943223,0.1480066346661506,0.25876117954421685,0.012194957878040136
0.0034909218967942714,0.1266007701159455,0.13011212986724144,0.14632045410871186,0.011724449939786125
0.006980572206180295,0.15798308806989672,0.12036433995972788,0.1705769754256264,0.013046160862657589
0.0011803408497283226,0.020521046600138638,-0.006903485102263215,0.2783105028925747,0.014364113661619613
0.00040143975234586385,0.23195694516049445,-0.057401299532365765,0.33105606807978627,0.012946659743766447
0.0018263043562256331,0.21842627002848855,-0.011368872527752117,0.42636951640666026,0.015094774957822205
0.005471284783674174,0.34560910055910793,0.10864916432919512,0.08428560973307422,0.011898402433400315
0.006515240641778125,0.2927213241860327,0.03266483640932116,0.1260331573645327,0.01470696879311182
0.0025107499614651107,0.4098247764317619,0.1429961988035488,0.09261921431788815,0.013984637183060396
0.0035967241185558383,0.3874796311904553,0.10081117870786624,0.1996935292558226,0.014020517066316211
0.006091613720099419,0.27171288560749507,0.1633133756435904,0.12852641346293828,0.015600300063730307
0.004973672247539968,0.2348103968172622,0.13725378162908664,0.06232988230589402,0.01559677197037684
0.003210275315302695,0.344513848739868,0.1414960330915506,0.16515674168096753,0.01087246209430538
0.002464419583156175,0.027986688370363673,0.009486895576004092,0.2655508496204692,0.016256626758262872
0.0057177980854612774,0.1343728688605452,0.13504197945635157,0.2747388501551822,0.0119624913980817
0.004189842361064691,0.07762205746217647,0.20195482702937756,0.14575896857520848,0.012322312600756533
0.002970557947252338,0.03564610127954101,0.16587452663289295,0.039570135491455265,0.011045912175315399
0.006317774631504337,0.08171792410951877,0.12528337984418078,0.2191882816096962,0.011471358393710981
0.0015238372222454613,0.044959310433502764,0.03338357482479628,0.1435895336030464,0.011737752186242323
0.005096002692812338,0.21246899034155775,0.018644959960028268,0.27898801540811985,0.01473883680313978
0.002142536061013262,0.22649183907025985,0.03885485472708636,0.12996546329745987,0.011457813977149749
0.007605445803768912,0.20326309118680155,0.1437375309924666,0.12599662952069043,0.011612482247697151
3.408617547329639e-05,0.18624971142400132,0.11394383573699987,0.03659329547730525,0.01317790814058413
0.004437849948855326,0.33636850674361396,0.044955752341125456,0.38870982716810104,0.013107412979135551
0.0037786670960805644,0.26703715396710714,0.034094716383969326,0.4450489729599708,0.013723824983645319
0.0019924498609191826,0.1230340450048086,0.07238991766013161,0.17260669534898337,0.013134446917574967
0.00461749548660429,0.03202656415175081,0.07982536348856743,0.0655448446852443,0.01594140039063514
0.005973146649197815,0.15408845366472773,0.16135799944842616,0.23527834491471317,0.015233874778927016
0.002312835303655745,0.20753158125866347,0.10565490057726382,-0.0600758728837472,0.015923419982026905
0.000136965787299381,0.248577379511215,0.07351608877267514,0.3044970248239325,0.014160166422310917
0.0009472765741426659,0.19885236855017255,0.0440433934210176,0.21681713493680663,0.011329592384109492
0.004340062735188089,0.13421061885254468,0.07632838254162702,0.2875898370531932,0.012504722043678466
0.006060765404327969,0.12138285619596716,0.03535846940479433,0.29718342299106076,0.012517129895775296
0.003877638297733557,0.12858692991770992,0.22706925035772574,-0.059881997007224776,0.014127514739689949
0.010059024767661174,0.010932688170400195,0.16520563753947345,0.05797173650338391,0.012465377756088155
0.003950243709506136,0.10406460405810503,0.061574332443489435,0.2167801865113968,0.014256804204577323
0.004065840447349734,0.036583043721051624,-0.024876941883130464,0.1710159931424205,0.013280914264844231
0.0067095075026352225,0.17099190709523693,0.0787268244640842,0.2506371464996557,0.01553170645855626
0.0019674830432521153,-0.17634704254281758,0.08861298506790148,0.10685646993611186,0.014122326714254433
0.005639154757854253,0.11628310138661715,0.2116696781846733,0.2872432685456011,0.013023222219183811
0.0029121189948254542,0.09557765886241198,0.09938509643888264,0.2060435019485617,0.014435228061308973
0.003010182714508618,0.04739430986693362,0.08365236594536295,0.15597005904837963,0.015089316819290021
0.0025733602563232844,-0.002716491623657655,0.10519864957261951,0.25238477166609435,0.01547931668945894
0.0008642299924459316,0.012779039673695375,0.12343152365486892,0.09100640636523773,0.01484904331070588
0.008333666442886148,0.14840320375194982,0.1764929619228923,0.1285708120873027,0.013018959264360266
0.00031620484413866635,0.13169546852577202,0.08149165352689296,0.15411229429550577,0.014958143644760618
0.005371325180873475,0.11642489599983825,0.18642495090078137,0.23187898458185768,0.012865500856222963
0.0015421226692880503,0.18484913415180954,-0.028319647058240662,0.2919017331036475,0.01217841152514297
0.001749873578822525,0.2651995135265529,0.1555775746262234,0.26173401298169524,0.012837488343089723
0.0004916563541171987,0.18485120535736746,0.1192335309146358,0.11080469157578625,0.015279743006373928
0.004199038436233115,0.03390992573842714,0.28200393268700896,0.07361854502769331,0.012266010516333234
0.006071421010907149,0.13019594530254372,0.14810604056069263,0.10700019106512616,0.013678476918248013
0.0034798559324471655,0.27263481011446944,0.24138286135831966,0.15049346145734155,0.01405152421144154
0.005572712765864352,0.1334602553788261,0.10993692524378931,0.2268014352837805,0.01285725689385692
0.0042600938691258715,-0.05829870757016557,0.10425748475283765,0.18969624909934726,0.01521752741915597
0.004611223891595371,0.10560912101523723,0.1928269065421604,0.11962639789479992,0.014043913785378464
0.005516163586843948,-0.037349950550758536,0.17481337636510225,0.12432870175335366,0.011996393477693709
0.0015952394075489115,0.2005427408669364,0.13071716238123182,0.11792175991891839,0.014172335717797012
0.003154702264514369,0.2239271681551896,0.14038852880659525,0.19465546839511635,0.014678819864743892
0.004933299636570304,0.09644802886272384,0.07002939543865777,0.2282735987080438,0.012620962052595643
-0.0027268866454683,0.06281312084468248,0.022837783542958914,0.3188723598577548,0.014891828489219638
0.006248760833528385,-0.0045357539962414106,0.04770804691758563,0.32639599171530925,0.013842180081341462
0.0036177545818578513,0.2204541718727397,0.19930015792613098,-0.0016479430647041732,0.013857455421106224
0.003403477195252152,0.2462326237176109,0.11047126730160392,0.15327882611061705,0.013290964058786561
0.0031501830569968916,0.18758758065414183,0.07341037749420985,0.08918936439631667,0.013215817680946327
0.005097567697062949,0.1855163698290003,0.08759267945974195,0.15037567449940642,0.012365531290098085
0.007800825155160205,0.3197997724728868,0.1269161074169695,0.142461226611733,0.013552721290077386
0.00789238584267447,0.4118650507553311,0.21460002449535476,0.06320933442766294,0.01448818908470886
0.010473470225377268,0.29453414884167206,0.23555809279817894,-0.015824455319077283,0.01444453187427278
