alpha_0,alpha_1,beta_0,sigma
0.005095006531764516,-0.39148389931765226,0.3604188199370748,0.008636837014632947
0.004392067318070877,0.03336752267956618,0.18533931214063662,0.007924312636020867
0.0038787851396675033,-0.2784594333273795,0.3119809625645631,0.008122206656812847
0.004744610341411209,-0.12018572992615047,0.2212063100748822,0.008950505252581925
0.004995961888657,-0.13938208676361116,0.3022345594191752,0.0077289070362284865
0.004545437786225711,-0.4487445573882714,0.3193489159600699,0.009179338139124924
0.00426285952556649,-0.22963719706062155,0.2052372199632017,0.009459745828644731
0.0036274060530949244,-0.22665711393696217,0.19364101633826494,0.00953977271596569
0.0046533908628771485,-0.1154239467893927,0.24616082905585682,0.008984429847829711
0.004461482598023995,-0.13541736753588818,0.25594987064592506,0.00932788525459497
0.005239959977924285,-0.16378191835747744,0.2714796707071342,0.007342406309610397
0.004711434570079805,-0.3549526101418201,0.3249336272027334,0.00923352618155728
0.0053484714025483545,-0.17369667947206657,0.26515171849106045,0.0076502489254610985
0.004369702324002039,-0.29274692995232143,0.2990513541997747,0.007754756875947939
0.005158115482245898,-0.1569663673424932,0.24787230907107397,0.008134975827916967
0.004969248689304798,-0.1963717482057676,0.20784683150309363,0.008445353166478247
0.004801936413329856,-0.13281256146387793,0.2365301055902189,0.008071378503928972
0.0045577182901114476,-0.21674419617914437,0.2893132244782816,0.008352910411850052
0.005047885611244392,-0.0633311494928156,0.2893435764260648,0.008383446254292064
0.005050168834943247,-0.0327465560972118,0.26263701966282565,0.008591108536956472
0.005198565434603659,-0.35808207322506574,0.2868881081943475,0.010093864380774815
0.004142793605039833,0.15440562256343177,0.11402601889410925,0.008649820514225822
0.005001211910950428,-0.2227445558076675,0.38480270147633605,0.008224772569468094
0.0021352134815975777,-0.17833819659215502,0.2442167308701868,0.010500244938383977
0.002827884729959531,-0.09380399969227168,0.2900452890860792,0.010152298752558369
0.004633238170746907,-0.14247312800356499,0.2273396334512516,0.007015827865659851
0.005437490345429114,-0.1451073350085132,0.21568211571100945,0.008477171920961911
0.004078165112208473,-0.18476718503329165,0.31242194994514894,0.008123968688221277
0.0034450963755489677,-0.306445487758435,0.18268475580563034,0.009106404766718711
0.008216877085317487,-0.07000636519023944,0.2720753616693902,0.009100443110863618
0.0035616605196588072,0.10417775512687794,0.3044574651568236,0.008301225253674513
0.006506989757501145,-0.1698250998668255,0.31227220931210603,0.010127381104847418
0.004034010221302615,-0.11760749786918907,0.23467583679012705,0.007359543148582959
0.0029072321432775643,-0.11838292983009144,0.29996585703338424,0.009019777373552924
0.0063173911356653005,-0.372797084092392,0.2568594177724304,0.007799788591197108
0.003926492867963748,0.05911187159480437,0.1970520643873607,0.007970110109976157
0.006399784194654922,-0.40273807390418015,0.2788780018247126,0.00922221548435714
0.006667434410396588,-0.3004090817603137,0.2892493400465895,0.008815492221899299
0.006308516264346999,-0.30538996286473363,0.315362816907883,0.008787758737099026
0.002901094151885845,0.014022982249300604,0.22105133675274413,0.007804224995091638
0.005331749648471631,-0.36188994622304443,0.2549988793112874,0.008234784739645505
0.003688862386853773,-0.15169854872695196,0.27809686094101677,0.007670568705498892
0.006699680582389983,-0.30839153920889223,0.28038110535402455,0.008221533300918637
0.002240128371793819,-0.025766913348335183,0.2301457746020441,0.007936701168790002
0.006300809553546215,-0.46994203427120723,0.26461495070913227,0.008787576687896263
0.0027473363487042373,0.03537030264879795,0.28494219395967313,0.008142787330387813
0.0060291570459315505,-0.26729731666986895,0.2368703891192041,0.008830622333028062
0.004048819273712962,-0.12211162936518524,0.3045754755877688,0.007799224698949651
0.003216949169469609,-0.1355631177906322,0.26180286957344,0.006537740926130426
0.00551131898448308,-0.2943436962637067,0.32554960189285964,0.008402463718223598
0.0037797557664256973,-0.09524767111035787,0.2684800076637194,0.008226448018333424
0.004666954037811405,-0.35466476513305506,0.19192815378781752,0.008545665044089504
0.005256037218035907,-0.36696985018324707,0.2186478841756122,0.0089652429053316
0.005952895308406627,-0.11197293468889713,0.30261276762640293,0.00841206079162422
0.0032722828126145135,-0.31987865879162597,0.21322889319423452,0.00864421159282731
0.005842541394169133,0.09235000603946783,0.26588673865698487,0.00721010936888447
0.004963406310573066,-0.29736905115528134,0.2820951770086824,0.010617090085998607
0.0030121521129314595,-0.1730152919772856,0.3821704468386943,0.00837211181082723
0.006170509038017269,-0.21961857906125978,0.19431224954425355,0.008929627072805193
0.001954249816627077,-0.14550458475654857,0.27922094075377774,0.007876246066542778
0.006179718120903283,0.011648470335669247,0.1526873330997014,0.007715677519874313
0.0039348312221413875,-0.4354941918564944,0.3558658802141142,0.009261312336581024
