alpha_0,alpha_1,beta_0,$\sigma$
0.0030087520410063055,-0.10419504818402045,0.26160326609696194,0.008076101782340805
0.004325043332692808,-0.09164341381832743,0.2304613404879602,0.006925084694390152
0.0036041306582994723,-0.11271900406886554,0.30534074718377685,0.008257196537860487
0.0037814746147408758,-0.011651204094077704,0.28718892730536794,0.008555940232382929
0.004370499781386471,-0.08936339844464,0.2163547859734431,0.007263358990369044
0.0035295680159203925,0.07203395382342066,0.3132856031268377,0.008374438077891174
0.005744729872811333,-0.3113418619264579,0.24365699294874146,0.008328670228268416
0.0011155498642266707,0.2868650647837622,0.26379214684614527,0.009254353066356732
0.008137104633508025,-0.31175485381257423,0.1842659591461112,0.009352820264170138
0.0007908300852529661,0.16381566491017527,0.2601863453133446,0.007806706389499151
0.006511086219752089,-0.25016137127001276,0.2338754848901563,0.009068046379356244
0.0015085821975446391,0.1636205113694093,0.2723211860644229,0.008210861599963462
0.0017838753768114543,0.04575669295141922,0.2237723957460527,0.009422313469586411
0.004144067272445884,0.03291845137571848,0.2709469467463909,0.007964738411296579
0.0034603217971854714,0.23465433851696646,0.19230550964564586,0.011138912713815625
0.007172671323785134,-0.11129753678615323,0.1715938306844466,0.009932313047447123
0.003720180209582207,0.09343407012618662,0.169864607058631,0.00842862504384047
0.003953571445236809,-0.14560964100661225,0.29194714329319826,0.007613354127486027
0.003741418388927307,-0.1644195654346338,0.31071383500387373,0.007700915544551091
0.0034758780971994746,-0.046649184443655775,0.26320974285260706,0.008967376412869429
0.004103495099242171,0.025507238666195198,0.24012086759323215,0.009225590640596623
0.004387639529174363,0.05929695698736054,0.19954369535791633,0.008946749681880476
0.004053557846068115,0.06293777305745736,0.15245609975800395,0.010556351726563468
0.004044385408630013,-0.008961717565667047,0.2670923803012081,0.009272729051821868
0.0036059909502352445,-0.011370920922606779,0.20536191683135918,0.007420360520562547
0.005104321712826784,-0.1322756061490241,0.30846717306033916,0.01025629813690947
0.004129526983430733,-0.18889966007903597,0.17129376480417885,0.007516038424524989
0.0037900885609831176,-0.07603585627404061,0.32867719605664414,0.00978358829534203
0.00337461593344119,-0.08347630953149368,0.35851508576132596,0.00979164890840987
0.005572874012303776,-0.09899027518225492,0.18698978487614817,0.008240265361544442
0.002554193205393142,-0.05431654826595679,0.3037550662081868,0.008596177477743425
0.00819650909027426,-0.18483351438814244,0.25057124829702626,0.008453692813510908
0.000676967115981476,0.006818302086348666,0.2118706613099677,0.008425430881257044
0.006000189874832919,-0.21303437650582147,0.36613280316419616,0.008763539558636766
0.002652374054092821,0.12602276111316685,0.18984351452490553,0.010486729203718013
0.0035116313502945805,0.045892027374929326,0.13982883781823469,0.009595893822482611
0.004333110938253337,-0.013620251167896395,0.15951044254977922,0.008044244223816086
0.005753372240126276,0.06359193432598767,0.18515886971118858,0.00836741121083372
0.007586807170150573,-0.3059959298616266,0.24608784273735188,0.010555891613222143
0.006946856517652602,-0.25515809299964953,0.3478972648650063,0.009312626809547874
0.007473023472512351,-0.6021604703035004,0.3039861351079638,0.00867483246142046
0.0022933422156702927,-0.06861840771806775,0.257979698673224,0.00838072671994542
0.004998535941782339,-0.09385805510791824,0.11566398198962644,0.008848218500484107
0.003524856120571741,-0.12091669138410702,0.35230618545402465,0.009417434813412296
0.004624497088692583,0.061577985117888374,0.23932568444874702,0.00906339973318677
0.0034605065981954575,-0.14763811696243412,0.205305202155833,0.009485608191933647
0.0037114402262166516,0.0704855527860258,0.2945883678117062,0.010517677651939747
0.003942074138129727,-0.06460668805881395,0.23814867945460802,0.008287876503605435
0.0030548888192734624,-0.021878859218006922,0.26956517556898957,0.008352895215158923
0.003088595991794032,-0.06069199518387714,0.26811919885679575,0.008223460392250238
0.0031075816970087726,0.14249902777811096,0.19729729330705706,0.007443807656274831
0.003389943115525698,0.051093552190659655,0.15567724171983763,0.009930558926843606
0.0036129545698025864,0.023116204932670224,0.15596040647063114,0.010045338620090957
0.0049286679972397884,0.10466131509695596,0.16513354492100382,0.009708298324350391
0.0038784804460080383,-0.02665866381858205,0.19224414986537533,0.009828841898657452
0.0041343865625761015,0.17777074726228462,0.16039616880492236,0.009671116284644926
0.0016779904459306419,0.046658821484229854,0.18880958090237443,0.009534678965290434
0.004089475976580397,0.08554447891779114,0.19040290646397398,0.011876445527356685
0.005388178564605489,0.06808398906940098,0.18902655586481684,0.008841895495332522
0.004054756785360088,0.17773756280948144,0.15242882862415227,0.010414839213754797
0.004047040723237346,-0.11153948185608739,0.269224679722888,0.007745581944703066
0.0030887624239667733,0.12899566631505416,0.20504373340366447,0.009510828222205572
0.005628285244372015,-0.002355719930559854,0.23083922653573222,0.008238715300472743
0.0038894797773217984,-0.17083883052527102,0.18292438935511277,0.008592038274055762
0.006702381177424684,-0.2100381789778546,0.2454946802869823,0.009754971624220406
0.005861938971734551,0.04399948466660482,0.26713683823233275,0.010314553137224647
0.005926667194000099,-0.09448729819584355,0.17022740033180148,0.008485940474492639
0.004044382707923501,-0.04993430722846915,0.30975141284004615,0.00910331507622708
0.002658023439226449,-0.05048257388688358,0.267510304915153,0.007965309488604237
0.003249841719331728,-0.01425963492791495,0.2914758841107852,0.00840437315753373
0.0027756762426449665,0.09725856017237405,0.23616262578039623,0.00912765864649373
0.002233374954829485,0.12330476430138314,0.24458097256650907,0.00947693175335958
0.003946849415632645,-0.24357146469258023,0.30884040648254535,0.006434062273211833
0.003883200164647935,-0.17052954293391231,0.26199159101245656,0.009264456347922717
0.004079535946357018,-0.1633766818145967,0.20152444954852608,0.008925487632404448
0.0045766722100041395,-0.08691185642058405,0.3480751694822544,0.008977043492794965
0.002028493391255519,-0.03432439248371467,0.1631299034426433,0.008369560273136447
0.003888905800007525,-0.09538415776634626,0.32660466579126013,0.007497494480821215
0.004805578717487898,-0.4363773473461113,0.27003021223222634,0.008582975749473667
0.0029524542488612395,0.05839053619323377,0.17167694772663605,0.008139504893001352
0.0028114368062798463,0.028460695265399228,0.31417816526459497,0.007417630843399576
0.0038748291448749855,-0.22678982922391483,0.19984440878319326,0.009866829623841066
0.0038331355047559966,-0.2564023826533034,0.28755163849984194,0.007653248991518898
0.004129573659955251,-0.155903196778464,0.20698247591076718,0.008417365801907375
0.00428761700620683,-0.08919013825181432,0.19063049479718897,0.006984123945387686
0.0054352077731425145,0.10250737442236249,0.22322400390418845,0.010165720090692535
0.004620508790388843,-0.0225330700911101,0.33718802393926,0.008949963684680044
0.0052937595792805206,-0.1459750300105035,0.30964259159743157,0.007018885308524179
0.004881312807840867,0.1438244648846743,0.3419852306746045,0.00835856785375975
0.005070412958346859,-0.4695257840674206,0.38395297255205435,0.009602969555385553
0.0058601352701832575,-0.2591831637911414,0.18204650803275907,0.009225265989540493
0.002838155534444871,0.0811923039097889,0.25882790720322346,0.007907234242684998
0.004378037893584085,-0.1628833780235218,0.20672704755500287,0.010493532342808106
0.007383344953391723,-0.17833543695740828,0.23438206902732242,0.0077414446859504745
0.001846173446853784,0.20014527079298172,0.19847395264853074,0.010268172318717064
