alpha_0,alpha_1,beta_0,beta_1,sigma
0.008162162874514557,-0.3879600755746444,0.2782520265603428,0.05389098564324953,0.010013338553229027
0.007621074206474983,-0.407728678516834,0.22104614707379633,0.0809803183249358,0.010883271135353128
0.007500942124762938,-0.29277676405878833,0.2840270392287372,0.02642874670278419,0.01020704694064618
0.007547608821553159,-0.24138867592417174,0.29285082241121624,0.014769192895238207,0.010239259856785744
0.004490984682212548,-0.18146903085530375,0.31390908182853927,0.004333702957108367,0.009613953999072507
0.004247342233383728,-0.2254671723413957,0.33497528296725365,-0.016193731736573177,0.01034016990863572
0.004205312540592989,-0.23443386168876942,0.23813975614357386,0.07869154269807058,0.009997665859293351
0.00362194716552713,-0.14189364766954538,0.3292700573401303,0.018106681457573853,0.010324718717328504
0.0037415616523736824,-0.08430961548930127,0.29776226726432786,0.004726869458770555,0.010348874733003643
0.0034976337065431313,-0.1152165111794888,0.3494801436277216,-0.042519408064719315,0.01020168058995177
0.004626172004836896,-0.30507369911278054,0.42521616595316786,-0.07031940974321348,0.009465929709645604
0.004171419824654023,-0.18016993406586745,0.2966424922277848,0.04233679494109119,0.009449944536618207
0.0044920370889228395,-0.12190253943770359,0.35220764048809433,-0.017605414314363327,0.00963458611367062
0.0062359627434589275,-0.19069843789057783,0.23866103843435704,0.09958662133547413,0.009554856675617857
0.0058612460715744465,-0.15354476727071187,0.2419675861763168,0.11755294875215432,0.00933888076768709
0.006251432147283906,-0.08816903109573185,0.32293806642149053,0.008880579157033008,0.008886123696620259
0.005382775677432188,-0.038379797799006334,0.3385871807566727,0.004973383700717878,0.00910951069504679
0.004916426357716735,0.03299068216193489,0.2868604924636727,0.07208934185998292,0.009184635097536165
0.004239023659610396,-0.07877513006441891,0.35665240248062147,-0.0038019782861101054,0.008834095034376226
0.0040156904955113756,-0.18514071499200352,0.112967806287362,0.26841860536345785,0.008916017856061168
0.004534084833564649,-0.17868686157860278,0.2423510224409272,0.14511359567206097,0.009000942442336016
0.00492803605663258,-0.1758205294058302,0.24607656886558432,0.11459143347269411,0.009195843521459662
0.00462399191104989,-0.13071513258221426,0.26715743481117804,0.09682795706062881,0.009071662040570704
0.005811323730099914,-0.2284167475223521,0.2351486744699117,0.07584877511158364,0.00945422863506375
0.006165536727860006,-0.20498145435827594,0.26574696276878,0.0454638175517973,0.009486543597769407
0.005728627897625115,-0.3220051944734179,0.26615132805873604,0.08472975466377514,0.009850172758595904
0.004890574134270555,-0.31235163117645554,0.2840904054206985,0.07723354172109156,0.009398460074819813
0.005423593923918283,-0.2554939691297386,0.3276743083568994,-0.016699835885334708,0.00941212266689276
0.005181302870214089,-0.29347114765868415,0.21457721490990023,0.18853311188653218,0.009480582602070443
0.004625735560862523,-0.13718669629671346,0.23183114307093886,0.12930175560380558,0.009466276225883698
0.004913744384956451,-0.299953898720503,0.25977340114713304,0.1191650109408891,0.009282795982113845
0.004474358793010094,-0.47887406221861933,0.23531535939397538,0.15195495455733488,0.009266447754091032
0.0028329480422866955,-0.4485004781466068,0.3447291105163982,0.04587330054900618,0.009857818924863303
0.0026025943268316015,-0.3995774734782434,0.29503940070332335,0.07657195159631297,0.010197436327308443
0.003170664707962599,-0.4454922680789536,0.3599837068711299,0.007800437542913495,0.009865479405370263
0.0036652443410322235,-0.443583435817986,0.25805178657939254,0.12446443656633087,0.009847105504229185
0.003658327777323643,-0.45453276615907995,0.27117704147856797,0.12109829515748641,0.009494093966358346
0.00356128830934283,-0.43635267838525166,0.38450779761409776,0.011201487190213695,0.009458127963029696
0.003298104930337943,-0.4442809320629064,0.35083757951230315,0.03985604232207733,0.008862754854344198
0.004898071030513892,-0.5332273422269179,0.36185807386069657,0.050420707049135635,0.009312993470293091
0.0053947097753763995,-0.43461518460265824,0.211758661721872,0.1561574533869649,0.010011074889849772
0.005143673491543328,-0.4636451400539279,0.29712238398597574,0.024818450939209362,0.008740520386979636
0.006408371145555367,-0.514430979483941,0.5002691908831965,-0.20379997098943803,0.009188552125149529
0.005103523305191724,-0.24868224608806538,0.5516685522144503,-0.21754068234523663,0.00938585041854362
0.005785934786000037,-0.34614667585419523,0.5200192926222338,-0.1950619527482229,0.009007770940872033
0.0066895167179413005,-0.3809754042099359,0.3538591936402478,-0.05768778318646124,0.009057102984732885
0.00696531262036416,-0.4593716794982359,0.44802617540517026,-0.15393088864845167,0.008487199973277603
0.006755344290240813,-0.48135859968088224,0.4109485117986493,-0.10993686962529242,0.008694443921981375
0.007815475222119736,-0.521176448099812,0.4671428336762372,-0.20032766646289774,0.008843821856468129
0.007784034194644324,-0.450691087633593,0.5001689470380473,-0.23372356225778326,0.00904388855098581
0.008894162059330706,-0.5078517715299626,0.5208785794360938,-0.21416835314278437,0.009253385656564304
0.009789543214927919,-0.6708182398746917,0.39663611611148814,-0.06804212848131594,0.008905384244617095
0.008821132243046448,-0.6665225824038434,0.42935344331561653,-0.07889520902249464,0.008974541999978047
0.008569199266377253,-0.6240224890375319,0.44047775230065,-0.08200656287242199,0.00944942675095183
0.008595958549341481,-0.6609320148513029,0.45468616289119984,-0.0639348540241623,0.008911436155933697
0.008402889194020931,-0.43533361953069927,0.4740117702539771,-0.10906533415356111,0.008789928140916394
0.007448071031031713,-0.44488930668197174,0.4553451616980126,-0.11144225968116746,0.008771871068361874
0.005980238629945259,-0.3885058664210367,0.3488532358028876,0.019885932280463564,0.009195578048498413
0.005221800634512432,-0.3439022442933198,0.3501897614368628,0.010965561291311432,0.009155315216961944
0.005681986753923333,-0.3884020101129584,0.4034180670071594,-0.06570078445323549,0.00910651280433393
0.00578222440294927,-0.38312270671239057,0.38483544527245994,-0.06439712007624712,0.008578291078692709
0.005627226479977303,-0.40244987323847253,0.3202352774469173,-0.011227091497427462,0.00907082889527951
0.00629262618387904,-0.3792171970332344,0.3305964705562122,0.012120520777695758,0.010219147941903583
0.006322982487690064,-0.3865199203465722,0.31099840121421374,0.01774452317245143,0.010219069311468407
0.007320676280250834,-0.2365206469809399,0.34756567430786195,-0.046706086898009445,0.009949913801824953
0.008146724491592223,-0.3094464412907712,0.3273589771348686,-0.03928905824048257,0.009220143806163527
0.007188953264262215,-0.39952526262429094,0.38471314881087604,-0.0701578985983064,0.008845570278063623
0.006868041209987357,-0.32741199493308726,0.339408639851717,-0.019082240063958953,0.008384664861402387
0.00678559668027734,-0.3921970930079259,0.25270034174586686,0.05783404827496956,0.007905848484862229
0.005635324467059181,-0.34785333208164304,0.2039415462260005,0.08645351816244476,0.00825606578597341
0.005996302063706425,-0.2894167330349782,0.16601461116372082,0.11916181684316533,0.008462040000417479
0.005188289276029146,-0.2606839093713044,0.24504982880707815,0.08454056251940263,0.008420185757476299
0.005617774146496127,-0.3893207767173548,0.21187345252000606,0.1042684401649296,0.00851155438751449
0.0054657778894049505,-0.36363285028785924,0.1883773262239725,0.09789608662737269,0.008035947228108178
0.006803610247296084,-0.3534638349124247,0.14534823859084425,0.12698948557272588,0.0077659354082441285
0.005859476137841645,-0.3349317346172734,0.12092840831203515,0.14975641423456562,0.007854300033014324
0.006424508525042961,-0.36981921135484114,-0.05687961493966978,0.34109067175488833,0.0072411792737083
0.004871851037217081,-0.29152748899193354,0.0539675075789169,0.23951827479265098,0.00719708086802493
0.005646971664095752,-0.29940375478660486,-0.08024180320758904,0.37316313776697774,0.007193543989987425
0.0056649134312898395,-0.30783059367566223,-0.051592007437525324,0.35567996953527026,0.0070816678015682135
0.005017593405476738,-0.29468091895120013,0.023658931106957024,0.28643119609659023,0.007053916512171569
0.004457873496318146,-0.39102156373916247,0.09057844815933064,0.24783937609531567,0.007200777684457253
0.005076749354178541,-0.39807247847729976,0.03719196829519556,0.2913131560571424,0.007392708517918457
0.004822680911498035,-0.3759550387087744,0.019835823417283238,0.28668041139509276,0.007440098099085496
0.005379272499654779,-0.37094433406292937,0.017738717339316045,0.33024185081151664,0.007097505540678875
0.004537823896229005,-0.2462431215828445,0.031031303730436506,0.2801764732601215,0.006588766055556199
0.005117910660371462,-0.30168025251004205,0.045677233775999054,0.2619870801881651,0.006732726564979192
0.006352411186409142,-0.3593271722257887,-0.073984450760653,0.4118510984981781,0.0068260885912686834
0.006823196488465751,-0.3096130183898864,0.0159625976591845,0.29354258246696097,0.006962278824199857
0.0064972743108741345,-0.27485987008785406,-0.04444819115592727,0.3710760634378692,0.007190897767641152
0.004862998518427231,0.05865463081018369,0.1424367348637162,0.08399588319061414,0.006854398295716508
0.005492958890366329,0.007086455957260399,0.15342409343569685,0.06883322352340088,0.006930022963183572
0.005511583509187202,0.015338658778668074,0.13834738608456185,0.07549287957959347,0.0068743240401846865
0.0056780510072512325,-0.009035855742519219,0.16001383117419385,0.05013192349354681,0.006854438486426213
0.00598844617120777,-0.06814090871371868,0.20476166712085714,0.03962223617241016,0.006925000850878163
0.0061943859052690994,-0.15082329787274582,0.2612228035526653,-0.048656137198077716,0.006972263399958937
0.005921902336847296,-0.18427760243737643,0.26893336185738304,-0.029950220757903847,0.006955659669152622
0.005454560583093676,-0.12996724902256943,0.3563951004696457,-0.12373995234213975,0.007095840240344793
0.004737534451468383,-0.12713046353301394,0.26208911798929124,0.004311405592098971,0.007419404277172214
0.006513667900867009,-0.15871205835067786,0.014866538903021965,0.2693110164228179,0.007347644637921927
0.005082381155318778,-0.17306879089024674,-0.012593662792937015,0.33734072446197766,0.007304410638771712
0.00566777647711903,-0.3342922377987329,0.149682725309846,0.17850401992330286,0.007248909164109025
0.006157974422185728,-0.2618535256408195,0.3021096695130967,-0.002527233025309385,0.007271086403474122
0.00598921439910685,-0.25065435039589096,0.2933691736119061,-0.006869076624668259,0.007652557417571079
0.006031813686174853,-0.2509549884742759,0.3693697431310068,-0.06588598134287516,0.0081314849131539
0.005891045068509414,-0.3109301093886093,0.4036149243532034,-0.10716913690852094,0.008203607599039564
0.006922003098581171,-0.3982154354791406,0.37974821596330394,-0.05328434956313658,0.008251381945136962
0.005309794410307622,-0.22622730551143042,0.35202933037790135,-0.09649703473161898,0.008240845880171831
0.005715318442118791,-0.2988964211966302,0.3294155863439693,-0.08675382343512086,0.008251420453836183
0.004907542180143769,-0.04617980513792214,0.3225828062952987,-0.06792631090050741,0.00850973553364254
0.004636253558593463,-0.1211332776392344,0.48252880980638346,-0.25334173499885454,0.008590186272806041
0.004726624011730949,-0.21547811098382064,0.41012099789519463,-0.1676822709691709,0.008086227958099641
0.0033088897417021665,-0.1025288772994836,0.428704679596162,-0.18415020063323878,0.007626469329880576
0.003361247825030675,-0.03661005349149565,0.3757508805840335,-0.19005668755335056,0.007879501780146004
0.00252397208276847,-0.05251870274833967,0.2831118547358633,-0.06248218391346939,0.007999865824629904
0.0021582386473187175,0.0513608244002002,0.4541043258739783,-0.2329563557526775,0.008625675737335387
0.0022004422196030314,0.15110143231226805,0.4725692081812548,-0.3196643039100016,0.008548697339590891
0.0027596137497782427,0.14410428005069462,0.3715287763131592,-0.2026504785847617,0.008256890107516329
0.0029858230261040363,0.1659854055609655,0.39641356546516365,-0.23646832784780064,0.00806201683009669
0.0045600614829190665,-0.05524205863665882,0.3004524622706858,-0.05097617272246587,0.008135970277804612
