PIB,Exergy,co2 emissions
312499,"12837402,0674253",664123032
347681,"13756142,5106465",723181839
351303,"14332120,7050446",766638331
368376,"16141448,4361597",896937149
363720,"16117770,8881643",882952734
390624,"17555119,2201033",987989072
435636,"18266525,1958453",1037809221
442362,"20538292,3797103",1206404060
406145,"18798491,8155716",1055658857
455814,"20345448,7339293",1169267069
460470,"21896975,6443903",1276139503
475474,"21754950,9709861",1263458518
497722,"23085003,5603472",1348624553
517383,"24339503,2961258",1448383742
477544,"23083975,7054866",1323621466
490996,"23788714,8266572",1372983330
558773,"25659013,3246673",1524475212
544804,"27782836,903959",1676785935
593955,"28846110,1002644",1751950600
599129,"25547618,5787362",1484187912
593438,"28594332,1802732",1744764634
579986,"24937919,2807264",1430737628
612064,"25815076,9549539",1443529390
692775,"30772521,1775041",1906244682
713988,"29465757,7764273",1708890217
730544,"30007770,9326816",1755017252
778144,"31857433,9189449",1902951801
785904,"31203975,1084655",1859812373
794700,"31799201,8932375",1827936050
843334,"33114232,0149578",1960553316
768313,"31590626,2006426",1742554525
709332,"27746273,5735793",1483058875
615685,"25021797,6329223",1256452837
602751,"25722979,1029702",1347302111
649315,"26888083,6771653",1434582502
698984,"28071062,908483",1490299383
798321,"30662990,779356",1710856570
832469,"32163480,0987171",1789832123
799356,"29103913,9536106",1513492359
862994,"31085443,3806297",1667993206
929737,"33305827,6415712",1871653116
1098921,"36190918,6611243",2039420938
1318809,"37665134,639061",2194073151
1581122,"40443682,3870249",2267574855
1713572,"42216402,3023575",2440436276
1644760,"41661031,2832334",2355413449
1305357,"40077775,2027757",2253294579
1285696,"43032726,3317543",2481044128
1334330,"44193820,3065785",2577396806
1339504,"40459134,7363537",2160380182
1455916,"43393596,1994956",2536095692
1566784,"43909956,8840378",2612719479
1625245,"44002672,3597307",2545379846
1699970,"45876798,7579539",2606057162
1688804,"44941979,0351117",2483296072
1808126,"48654203,0689261",2721022901
1843455,"50260720,9326958",2852384536
1878063,"50510610,6496939",2828311059
1859088,"50536110,0660685",2740357382
1997061,"52078386,031193",2823004663
2046727,"53839010,9029055",2887820432
2094396,"55151308,6764866",2877369848
2220732,"57239250,9082698",2984001744
2316765,"59033282,5130027",3116022372
2450915,"61159618,4254435",3252755162
2607294,"63825506,0716929",3388192678
2778086,"66642774,1676858",3559179160
2847549,"68166852,3753474",3693298171
2983081,"71765260,1603883",3828306054
3076517,"74566651,6287723",4021502617
3081900,"77121315,2168183",4325500825
3178106,"79393138,5003918",4351308688
3346554,"83946887,7621373",4558452642
3536622,"87868011,3054917",4762452212
3526724,"87143530,1783743",4592958261
3516825,"87110150,2348606",4400795008
3701163,"90175527,8332111",4607168187
3868829,"91709606,8069123",4735366318
4089548,"93400448,1703777",4882964014
4228647,"93124667,0902429",4894042875
4230558,"90766144,1429195",4716716355
4336141,"90975930,594743",4530369843
4254870,"89077242,0902879",4301970691
4433129,"89264650,3493948",4335916563
4755958,"90942749,8352136",4468262054
4940383,"91029357,2870357",4484338182
5110480,"93751337,3222512",4487855869
5290129,"95103100,6144839",4680834052
5512845,"97290503,6563658",4885590503
5703521,"99948974,2045959",4948021163
5803200,"100451015,804917",5128300617
5791931,"101129156,287631",5078889576
5985152,"102080374,966919",5182706720
6146210,"104282237,411769",5283437595
6395858,"106654244,167297",5377032708
6558151,"107933941,352093",5438905704
6803769,"110433390,825562",5626911901
7109775,"112916466,814539",5703706968
7406631,"115541273,390588",5751051980
7736163,"117092431,384266",5830297636
8019378,"118686609,788408",5998070434
,,5900436596
,,5942652335
,,5991959633
,,6107618246
,,6131892976
,,6051051022
,,6128429640
,,5930539643
,,5491035727
,,5698055779
,,5565294401
,,5367568555
,,5514029294
,,5561719216
,,5412432194
,,5292267561
,,5253606130
,,5424881502
,,5284696657
