alpha_0,alpha_1,beta_0,$\sigma$
-0.008080465499816806,-0.0773047346288401,0.2813538782162238,0.013147012315227111
-0.004176076990075375,0.054497088227185145,0.18287702883033605,0.01265864637100367
-0.005974312184369755,0.020535691939789213,0.21727358537974953,0.013218343213449125
-0.004946522167930485,0.22415790559698512,0.22982425494022568,0.015296390691486509
0.0016712637122591103,0.09015815973537769,0.14466241436852798,0.008531093664098354
-0.002338380679646043,0.12696262651822565,0.118659567775257,0.012102467474769034
-0.0013134138258857643,0.23286816700842036,0.21098917395379582,0.01069346134292802
-0.0018567238289865225,0.28622923975501374,0.19292617378856705,0.01000817749846355
-0.0003103279270074155,0.036445894143004476,0.15740298444412448,0.009789009581794905
-0.0005517650434271041,0.26761816638424135,0.08606239155807241,0.01148283253204334
0.0006919056899522462,0.047162221375581195,0.1511016183243543,0.010802963928580725
-0.0027376135714089725,0.18682807245055322,0.2241327609403787,0.01180844528303817
0.0016632070847842051,0.18543778936504524,0.14091925773925493,0.009369884527800817
0.0002930605427083604,0.14771119419315365,0.12957411168425254,0.009870687471744634
-0.0031170420839512925,0.15774299564863598,0.16525244693589827,0.009876210691099428
-0.0008598926129082696,0.06070090506374245,0.19735401047431012,0.011764647402700787
-0.0002860855983488736,0.023973665624729124,0.18320075778942344,0.010304565180721688
-0.003943148110877758,0.2082673275455981,0.23296989215551456,0.011398529764107717
0.00022777432368089326,0.12965218704962506,0.17113388086159836,0.011055973147010798
-0.0024327827208128184,0.10623630431283225,0.1326514868989531,0.0115662787346893
0.0007939437329934365,0.23341620085505227,0.14704786525120772,0.01083804315607403
0.0005521048956503897,0.15553202429373694,0.06637726675280509,0.012468295697854898
-0.0011366831653505179,0.11284063906371823,0.07357650871994682,0.012357067209804232
-0.0011366831653505179,0.11284063906371823,0.07357650871994682,0.012357067209804232
-0.0011704880589639896,0.14602809311962414,0.07417104705787582,0.01239487205550074
-0.0011704880589639896,0.14602809311962414,0.07417104705787582,0.01239487205550074
-0.0011704880589639896,0.14602809311962414,0.07417104705787582,0.01239487205550074
-0.0011704880589639896,0.14602809311962414,0.07417104705787582,0.01239487205550074
-0.0011704880589639896,0.14602809311962414,0.07417104705787582,0.01239487205550074
-0.0011704880589639896,0.14602809311962414,0.07417104705787582,0.01239487205550074
-0.0014080283706937229,0.14936293304697412,0.07443764876124372,0.012221177965613575
-0.00035145904435050795,0.15704421889153336,0.0608777865891905,0.01320011321434938
0.00013373951371753912,0.13000180497603775,0.09209295170329082,0.012114738128755322
-0.000836387044594955,0.09335938050188347,0.09777291615624678,0.011979891885065541
-0.000836387044594955,0.09335938050188347,0.09777291615624678,0.011979891885065541
-0.0010535755307114125,0.10389386628397643,0.09636368418408149,0.011873374629160405
-0.0012385918815745914,0.09915772897707563,0.09571452218354719,0.011894494599884916
-0.0010375383191290534,0.10910532319806615,0.09754353312165694,0.011812498433205178
-0.0011875888321111476,0.10314666763580616,0.0995641792294953,0.011772501074743896
-0.0011115005970524113,0.13022854454350058,0.19406718580621543,0.010622853919324994
-0.004098645278276442,0.22924057249538057,0.21831138531058952,0.011510140243173013
-0.003047182607363234,0.20386925630157568,0.18199922260890722,0.01084397591994737
-0.0031735310726377424,0.06540816358167612,0.23525717034885546,0.009507819579405597
-0.003880449025549658,0.12578657214670033,0.18349592370984402,0.011498707088340712
-0.0032818381877018393,0.03616224636842431,0.2584994211893044,0.01083086035167881
-0.003636703716291274,-0.026015402391449994,0.30007229899713694,0.010190108429578107
-0.0032784015308198597,0.05444064037401959,0.2761043108659188,0.009903021665715134
-0.004695081897870171,0.05634199303895703,0.30992836738665186,0.010197356366915163
-0.0027782826892837125,0.033122225102408705,0.2712235143538184,0.010855507571342102
-0.004207121298368232,-0.08247141254290402,0.3171216699556906,0.010545902484914018
-0.00038424434850431634,0.012857560753869554,0.26872385641667645,0.011317626999020235
-0.0024309780641843535,-0.05830426777361296,0.30955154735783674,0.009862187944739611
-0.00384155046505189,0.020459899727724898,0.19188917491745847,0.012395977813921103
-0.003838886935804245,-0.00578351766138676,0.3226252554243134,0.010546704267411935
-0.0035622383030558214,0.02114411312616343,0.29283652611120814,0.010694001042446319
-0.0034179792462279697,-0.07602807829930873,0.28563682618586483,0.011584020133986976
-0.0035315884338549108,0.029162377558452055,0.25884552947563566,0.01209430834311445
-0.0022599637377068073,0.024152650799714386,0.2584890091113952,0.01208911888119492
-0.0035201312441452,0.11344788990419682,0.16449425485622796,0.014030503375455125
-0.004516008803947929,0.05098431126597258,0.15404447734136015,0.009757590004449583
-0.0029947811835884003,0.1640919270133578,0.23549584253098294,0.011964084001583762
-0.005397434578776327,0.13952909053067059,0.26313157300538564,0.013037418276019857
-0.003332988120444986,-0.008904082051884444,0.25842472748427403,0.011201810039681431
-0.005604104168483712,0.12951732049089243,0.27645512079599743,0.011078542478654186
-0.0035919174237609023,-0.049558325677280454,0.24735514925605118,0.012878483549136309
-0.002040576103008467,0.039660770509523866,0.2418968001732002,0.011576388146464386
-0.0020599316102544525,0.10931402836378987,0.2266757994719945,0.01103332436226794
-0.0019757218910260183,0.0919741311627365,0.22524701683462303,0.010349457536854512
-0.0034593427403668453,0.12748328599152292,0.24987289162443807,0.009207382022652887
-0.001730417310408161,0.09025353157902478,0.21969067840453174,0.012146761444300175
-0.0016218007538073846,0.1886723318693293,0.22090573346553768,0.01007274176461417
-0.002602556359639735,0.20005290175215418,0.17953428950975453,0.011802171710218044
-0.0017138562416103998,0.19863757140332727,0.2040779402501056,0.010563033485496484
-0.003805645912313309,0.14626957924002684,0.18053799105687116,0.011049043269171163
0.0003285460785345201,0.24528266213500552,0.1887522042138437,0.011478209597298237
4.729536875992965e-05,0.38309313430803565,0.11468232866711268,0.011629402568277875
-0.0037070440568578228,0.12652747754232466,0.20884401033550415,0.011225143637214746
-0.0011273943914441493,0.19381706087158632,0.169218433649168,0.01023968394646406
-0.0022806014882886957,0.14725867955307995,0.22871043014708628,0.010254169166516662
-0.0035904964361432993,0.15205343663590076,0.29933604095207683,0.01175363387245986
-0.003410883181320149,-0.05283312931043665,0.3087806193104824,0.010812467566904776
-0.0033879738217685424,-0.059618612735145717,0.2871792868805213,0.010657723036879481
-0.0016046809673067124,0.07630549945897579,0.18922925364248028,0.011732661817556049
-0.00422186188410712,0.024044044009513856,0.19608255677393924,0.01030245298219418
-0.003094464609601533,0.23918169274249157,0.2064269164756015,0.011529941568905433
-0.0031654637813509803,0.21470713262597557,0.22645267733203903,0.009619716243394211
-0.002411222055373445,0.23670190359348248,0.20647813501311618,0.009759254317019838
-0.0019718922347881484,0.17082913323821808,0.1852165933465545,0.010045932368413724
-0.0012603068544680426,0.28157232595138376,0.2085275334421803,0.012064472151619461
-0.0009701193859512067,0.08116818318408585,0.23186725982565307,0.009937646051762523
-0.0034549305342789524,0.20412243512926512,0.17545533547186157,0.012737158267168964
0.00042994324717457607,0.16553559233344586,0.19955894699745808,0.011410094413944395
-0.004512735727451932,-0.07509560364027802,0.20406822814935577,0.013065893741404766
-0.0031166120858239807,0.11221072717052566,0.167293815551271,0.008828583111051688
0.0013705931786823972,0.23690991127321387,0.22257239606854543,0.012876098041285266
0.0022054785854561847,0.2359738600531576,0.21450646425437284,0.013494933437979598
0.002053028485852077,0.2606082624400931,0.219555655039206,0.013588121735495602
-0.0005330961986137558,0.03806586971354822,0.19761226888904937,0.012162787083148704
-0.004504617828066374,0.2818787001751718,0.22047037256419916,0.011601352208638933
-0.003964275096220382,0.1815269806437452,0.3331067217518539,0.012662927581903136
-0.005114428570573732,0.03055328509825419,0.27721746977052086,0.011533255226062708
-0.002291508628468286,-0.22913437019062957,0.29338377039072866,0.01101118491675528
-0.003079796450191839,0.2051936454737025,0.22029589243310785,0.011127808251710215
-0.0030626386111836266,0.10850068569074334,0.1895067671591717,0.011082007827203996
-0.0030466732970056043,0.057867208268553474,0.24069703203225334,0.01181934893647661
-0.0008294370975646184,0.17945209043102156,0.21230283656065424,0.00936331522164723
-0.004117436712882994,-0.018788534737247717,0.21116078035372862,0.011032960522935205
-0.004697732749189019,-0.04973855556572809,0.2565884271668316,0.011340311362988515
-0.0014227942253818532,-0.058903235640646395,0.2907159079997831,0.011419031761672348
-0.004649561021349914,-0.018363945803880653,0.25393146441527337,0.010459145691227545
-0.0043631997832412625,0.104065396923696,0.24681538399332748,0.011462987976434415
-0.0010971143239425296,-0.00536850733072032,0.17822140803664435,0.011949821508635545
-0.0005370041865368445,0.0746266971931205,0.17860421883322883,0.012627996662014166
-9.888669132661484e-05,0.2639887978783626,0.22119448320203416,0.012288024191893277
-0.002381878218733447,0.04453294446313379,0.13192961134963938,0.011453933707266375
-0.0019411384244430539,0.1549840336083525,0.19500336095354678,0.009572855777286943
-0.0016625180993632281,0.10986736176514664,0.1614315233483334,0.00951948475484893
-0.001993194422979518,-0.005378864134914021,0.15771611317596404,0.010233037669139392
-0.005754138359761791,0.20543281068480734,0.24496470448060548,0.013809054605675785
-0.000999943920239673,0.1943983346963164,0.1850932056204251,0.010564477465495018
-0.005558487045301466,-0.009058143270178792,0.22157394273929507,0.01160533618477155
-0.004270234708511456,0.3532772034227967,0.2314471981896743,0.011005608608691339
-0.0006344041436051822,-0.008087293218436323,0.2103296661311211,0.01027354927915611
-0.002194082169408928,0.2916682038239882,0.1857547786750079,0.01062266155146154
0.00023310145607042875,0.12025942749190363,0.1122354084537035,0.010697980644474702
-0.00015871700907370685,0.17241297353395438,0.1459129144412061,0.011001348176550265
-0.0006682882223250855,0.2274402410049295,0.09526945349671724,0.01004540272551378
-0.0024688078661223856,0.042231507692293356,0.21789554210907955,0.01007974375188721
-0.001540092108861685,0.12238772281661082,0.1841895582963929,0.0101788942657176
-0.001522887323196358,0.1287438724274424,0.18070242557093857,0.009943004375868543
-0.002851051764722079,0.3475044842833971,0.23715675927723823,0.011955861596392817
-0.000975656319789507,0.03776936121508481,0.33656104168455964,0.010650108712579624
-0.003778567762115356,0.07113343560731723,0.13093302491017964,0.00999804589763492
-0.0030745192305279565,0.03697807991851166,0.19433213405150657,0.010378674165048993
-0.0029502663279484366,0.10753113748823152,0.17891223956330407,0.01016959582266813
-0.002989984211308629,0.16073417124508357,0.22593745091634804,0.010204503246451696
-0.003748940486249854,0.19800966706649287,0.20694898162921893,0.011207376272886706
0.00031688917661013845,0.10559229042288347,0.2036305070591637,0.01078521530973159
-0.00011666186957518877,0.2140273956889624,0.11527670838549285,0.012520584343406754
3.5119742080987114e-05,0.19830299682662983,0.08981488644071879,0.011902061982692235
-0.0019864449958929323,0.22283578109855318,0.1832159999336729,0.01018290708476351
-0.0025130302211401404,0.11605258692799883,0.11475367382722183,0.009737934772124804
-0.0006583432956532427,0.08596635192203057,0.2781957867822488,0.010394770366819614
-0.007186120378301736,0.08012596126104421,0.1664849450029302,0.01285719848936155
0.0007070761548597163,0.406291585117886,0.24990376334969627,0.015826760020920476
-0.002525493113567621,0.14732097003210398,0.1662759855834939,0.011437995856467967
0.0027015825797545596,0.3908706774156769,0.19932485442165548,0.011628145911944637
-0.005297319913884722,0.18417018064476376,0.20069214185876688,0.01408963792804822
-0.0017334998739650684,0.03367267353802741,0.18683514954004798,0.013340047836686419
-0.004176321523505277,0.15806383517107161,0.21713300834349536,0.011319359145582325
-0.001106036423650492,-0.14073239492186065,0.2531509057749204,0.012119509653924823
-0.003145240627975359,0.09078870664330295,0.19992181635189227,0.011876798004536296
-0.0029510869153324785,0.08926852001384933,0.21448407275370188,0.014819145011585308
-0.0021489908157090146,0.10537164289368922,0.20351693571853452,0.010744681761614376
-0.002342314886914314,-0.04723296520483508,0.2028555830885541,0.013194532003777626
-0.0036668288523501002,0.07147722745586149,0.25058774851325355,0.011475725683266706
-0.0022311058994412495,0.12958934205437336,0.27984972364398025,0.01178776998455741
-0.003864851823204176,-0.06670114996527449,0.2114578383203873,0.01145455264101395
-0.004129096125418597,-0.07083230397847194,0.2107103857681353,0.011670959517390757
-0.0056871546151966035,-0.09442538077452609,0.24412094309293492,0.01289863356240727
-0.0027266856291779896,0.0746251139569865,0.33820080663378443,0.011926012137446878
-0.0017173281273343325,-0.026668035199322444,0.24944365627705525,0.011720567809117587
-0.0012606489370894885,0.02335191172134911,0.25214952679947344,0.01019686009867994
-0.006210039338667889,0.12908867080114497,0.2220164680980225,0.011414678136293576
-0.0015296164246986475,0.14736168262569213,0.22955079689575483,0.012810802393356767
0.0003697226843827812,0.02878712604840447,0.22542401736026424,0.01102746546494033
-0.0022554325719629817,0.0821966448620979,0.21498278294588746,0.011903451613177973
-0.003499734586397134,0.17610375636448472,0.25641267914903343,0.012320223856872134
-0.0029101402365774116,0.04356592709727562,0.19055052210673287,0.011018796292421392
-0.0027901766834732378,0.05635631078772507,0.14923529624466264,0.012415520217108358
-0.00021839273083683748,-0.007427083440942601,0.20480237541400906,0.011040266430143192
-0.0006213553108554216,0.042111050723353464,0.11721012329442151,0.01234911265169256
0.00014750653011549316,0.1272545092505931,0.127152775701062,0.012487955413491868
-0.00036413765781751585,0.07058376814287702,0.2053562184136906,0.010067999556368489
0.0006873657382510499,0.11032936822109307,0.11357355942255334,0.009540429512987836
0.0003820082434418528,0.15634634288260113,0.10104585946891824,0.009268072783354234
-0.0019428293677601868,0.02042915550814387,0.23529448157114638,0.010710913673779611
-0.003890755631383089,-0.09584217954186391,0.19795560915584606,0.009956088266425394
-0.0031290304868238574,0.02515863481421509,0.18774629475496885,0.010040282984612863
-0.003948585883421448,0.05283972606834576,0.21101224039601627,0.010744008788989151
-0.0062120803798475285,0.10193340581820995,0.2357245288105775,0.012766197124878849
-0.0028776825683358314,-0.18789743435301398,0.332406129686965,0.009428635404554105
-0.004483651220972203,0.02727639508321606,0.3630995173231195,0.011370644875634942
-0.004619969148500998,-0.02867436713867684,0.3639155714568668,0.011073950182701079
-0.0031997821198674996,-0.05436319406577412,0.365949428926796,0.011418308041430101
-0.0025095994188280273,-0.00781687219487566,0.36908584776008707,0.011413597778205725
-0.008278414531690426,-0.012754187195607072,0.33011001913807864,0.010601332231438736
-0.0009434098857358986,0.09370645019150013,0.2852797601173091,0.012382773279064391
-0.00392049256133352,-0.12509780535321455,0.2019705232073484,0.010660417053172321
-0.003223146722165232,-0.014903552621009022,0.2278492047336719,0.010938912949423037
-0.0016125984014716713,0.08763993194437078,0.24130756056393612,0.010599070075343822
-0.002119913046923027,0.12439411269651976,0.15437738325005632,0.010069082175750785
-7.657195238766967e-05,0.16380889618112665,0.17075603788629698,0.00932246431117113
-0.003978784618644865,0.01645141732111232,0.1968035294182754,0.011331015655789629
-0.003849439484700087,0.08241155502887909,0.21457924171786913,0.011995481787159657
-0.0017982852063005688,-0.004715719156692665,0.21506208830591336,0.009774057907697361
-0.0030482779717339085,0.0007459444440370475,0.2277776462989596,0.011372410834362525
-0.0007267227966092103,0.014211514446900659,0.15843354627248518,0.012507074235540361
-0.004252371470722837,0.08263257973081875,0.22259829153243899,0.011622643598493123
-0.0012015792377524628,0.0638388517232177,0.22873577179885013,0.011192444250446017
-2.012114497570633e-05,0.11835182073393231,0.2501852860770391,0.012277155757210768
-0.004963923717026364,0.09927018542698637,0.21915857143910258,0.01113824045487465
-0.0010600913905551134,0.002069925367265311,0.17826798902490937,0.010903319163936024
0.00031248694802826646,0.12022790573320526,0.19741547378276045,0.009958648116749992
-0.005496380880868065,0.21848712844751453,0.24541124151529167,0.0121101488642448
-0.005113208293547564,0.1569465623688049,0.23874132457672426,0.011811730896946301
-0.004508018174894253,0.11989494379169353,0.2442272742392526,0.01118876336512987
-0.00274115681400742,0.062365618570135686,0.29526505012297266,0.010888643395218013
-0.002099057091694039,-0.0009748319453171356,0.27587126391289307,0.008886286647240007
-0.00606919205380754,0.18314870888623888,0.21741502596240725,0.013874029276405525
-0.0014161619065143085,0.09526620009183794,0.2515108751172986,0.009403928775977777
-0.0023419443458454468,0.09372331416813538,0.19092099594853115,0.010878495985416785
-0.0007078401258173775,0.22766080776326045,0.2702874598482526,0.01025065573023752
-0.0034728396030673315,0.20520887148838188,0.1976569482416374,0.01262810642383045
-0.003485017309899208,0.0654810869638681,0.23281127775960306,0.011828413756359357
-0.004095762791908884,0.06973002164616555,0.20558049204079926,0.01205254889125163
-0.0033861929954267633,0.27090239980266445,0.20965011722810398,0.010774398695127295
-0.0030844599351339125,0.18153393250918054,0.21735275855255107,0.010480018648055416
-0.0009143624802612308,0.25221399318269705,0.25412455687114954,0.009829230475372706
-0.0015798218082507618,0.1449490768867012,0.18456267151192754,0.015477683250751214
-0.00017264999616589785,0.1756320029718947,0.24591442321946608,0.010012004557193832
-0.003670211444517142,0.08645406593824995,0.2182737249761075,0.010817376006029835
-0.003934038674890594,0.15238023417713806,0.21201600758443698,0.01143757954161137
-0.004014424487928504,0.08535331287314404,0.2068684091011154,0.014939798737800415
-0.0016684302912323857,0.08042134973335106,0.1904544166127746,0.012517067012756098
-0.0018077575212564023,0.008788785948039569,0.23248524984778268,0.011992162738339796
-0.004641282270520805,0.11023444438451933,0.26415983397611376,0.011492289684623364
0.0004635229365772852,-0.00625691815498711,0.1965627103818952,0.01167624693612781
-0.0004204024447615575,0.1214871370163264,0.20704989430301668,0.011792636427461443
-0.0008223133703457573,0.11727371279061595,0.209633283547941,0.012316814602161344
-0.0018009321362784016,0.1871656186398734,0.26968257671494034,0.009869394885297736
-0.0035729322320612257,0.16744174301406442,0.16851711306188627,0.012362482719579342
-2.119182500012054e-05,0.10364433575468926,0.20337937609386567,0.012462199802243269
-0.0022285155878215214,0.25085290495459484,0.16094272089265355,0.011806707327839219
-0.0011045466964995326,-0.037239334441988285,0.24572919965963508,0.009903193009892931
-0.001637995046496399,0.31890233702228893,0.14184194666448957,0.012529341729356757
-0.00019153913630281914,0.19704497893653525,0.14540006868560582,0.010154099075536226
-0.001645713597461966,0.22037597010627866,0.14276656469345456,0.012614921224514358
-0.002102321061797308,0.12845054777718207,0.16770051504501832,0.01056564809072364
-0.003312458132313306,0.09841115119411173,0.1643060998918352,0.010243997322154058
-0.0019384275015774301,0.16569995205903656,0.18050636457661906,0.010786395859841856
-0.0022955496439804953,0.20677295428936202,0.18073883544190275,0.009954271017127297
-0.0036192827804978015,0.2085211626387335,0.18342540859659712,0.011268198338347241
0.0015666813244306918,0.056188600918030074,0.12696337576228156,0.011089940733041754
-0.003169181675462406,0.07817917667854976,0.19603854891592185,0.00967001552779735
0.0008417389130864037,0.06674866405711592,0.21314207892514064,0.009902020320698523
0.0007682629254540857,-0.03640752969979456,0.23676113069327331,0.010362603607810604
-0.00605898981274289,0.18882663698091523,0.22011495529691122,0.010393236386886684
-0.0015239720686134844,-0.07591624706096485,0.22451182535991066,0.010931580751769112
-0.0006745531487007006,-0.06910902575692887,0.2574800883931129,0.011472028089237522
-0.005560749407330495,0.26810657849899705,0.20999191784187332,0.010334009046247592
