alpha_0,alpha_1,beta_0,$\sigma$
0.005201563578994762,0.16536096700943603,0.09262457294936899,0.009867322698251439
0.005613991387076947,0.15439451685828393,0.11368962211412324,0.012134877668106026
0.0052575381618389485,0.10280218233168022,0.21002320358862195,0.01173856882407426
0.0026028438012606374,0.10835814830274124,0.1508076165942053,0.011529345801155264
0.007081642440180151,0.03542137658096951,0.19474377055118736,0.01158332789882011
0.00388740800354938,0.08901824467485252,0.23855027221106045,0.012935527026981128
0.003880744937124094,0.19020276712202597,0.22732952228927658,0.012524206759810804
0.003509963124021878,0.0619164769596388,0.19783899821978504,0.014448297854998073
0.0028323613801441295,0.1114997539410658,0.21439215062041034,0.0143474696429162
0.005818841445075109,0.07688604524137109,0.1859004982667788,0.011058667264646396
0.006879638096945723,0.16638919944480132,0.19622846458841178,0.010903206719513787
0.0020598890150146034,0.2624715642144347,0.1977210322643865,0.01087624520484292
0.0037776013149330516,0.16163162847940896,0.1741380007218586,0.011251960404798611
0.0046530586970186995,0.08656198270286898,0.14882716770307053,0.012471848456573032
0.005872466209190176,0.10362632059608375,0.15100002940889712,0.010863719114800798
0.006020279948024275,0.11770679042987385,0.16086353302768164,0.010924459614580393
0.006641391771867945,-0.0908928707733305,0.16981989665687006,0.011525494676524157
0.005281830832767098,0.08030426430550608,0.09550507865939416,0.009977281651795466
0.008365496528780407,0.03339525063595653,0.1503351545870391,0.011739731800493543
0.002542488707841331,0.10296104360607647,0.1477212264465715,0.011080287981844177
0.003342740240544927,0.17580872296903402,0.14416396817513727,0.010525073357291156
0.003677638584309154,0.2745968145867574,0.1439833682505918,0.0137930529873144
0.005718626708378523,0.12530091559866458,0.22370489292529033,0.010489511685463235
0.006047492198009707,0.2073305798313931,0.1779720204261862,0.012164079541381358
0.00413061201200914,0.22108421017577426,0.20309634442277713,0.011319873110034363
0.00413061201200914,0.22108421017577426,0.20309634442277713,0.011319873110034363
0.003114540575640759,0.15592753260016357,0.21639665626706617,0.012198017344628718
0.004535607338709546,0.0919176661783568,0.14814006511252067,0.012805862305709303
0.006763337116429694,0.15711927218705157,0.11704404296047055,0.010449549598818397
0.005236024008167687,0.17415947667969586,0.06324086904366889,0.01145621532682614
0.00640805375136655,0.2542489539570363,0.20464006217411032,0.01262652721061569
0.005727889731470787,0.23705726457720663,0.18256349932261481,0.013262406041512428
0.006329037469357076,0.32182734812214897,0.20256736093287167,0.012667762574283288
0.0036898420131218426,0.2345435707006888,0.13276893824762045,0.010851694530013832
0.004656253421191143,0.2604955518847781,0.11557943263144224,0.011273892872961214
0.008918687061153785,0.15935841413778054,0.18934685116161631,0.01166914487412299
0.007933305033891055,0.00743312157010387,0.10137629997244259,0.010752735328377913
0.009138363492430806,0.026056376761436423,0.15599651565235362,0.010873793028686412
0.006737278288837325,-0.08685584079615163,0.16300990312572666,0.010690154302131081
0.007384430303891408,0.18759525732595161,0.18941434100217128,0.012916372517389113
0.0037859534210005555,0.04540706081479195,0.15952227520677498,0.011758701985288092
0.005172340616561773,-0.01962829528198529,0.20340495986551022,0.011161277076138829
0.0024326570895198602,-0.0856162565205432,0.19820778703517733,0.011284947977149705
0.005524302839069428,0.013313209219085806,0.18516323013981414,0.01292373261634837
0.0025964255800370235,0.0929168131390833,0.18554743726839362,0.010076687149561125
0.005641905546971913,0.08592347801211805,0.17786372904246942,0.01331737817322715
0.0019125179646435296,-0.0944687836547559,0.13273863476823225,0.012801374048281501
0.002448779739317742,0.0292716478321241,0.20108535703369265,0.01146002469475146
0.008352194607606158,0.07568184157441359,0.12604479674037314,0.01108877852367043
0.0040905493480881995,0.3603592099669283,0.16880764323267353,0.012168415948553179
0.004206198772627457,0.0441809633174725,0.1204305436239025,0.013901190911954098
0.006836401979710801,0.0877477365920672,0.14310234904438476,0.012911350326087947
0.004061016476882039,0.19440238985314337,0.21290225366232968,0.013018547565249809
0.0036432748115973962,0.09202466475443527,0.0863278686616569,0.01247728966690926
0.003436745659920481,0.20095118367663753,0.16400475671837028,0.01053730998432981
0.001915619518086926,0.12751817217585185,0.19381998511157636,0.010076078414606488
0.006555251122923683,0.022888058610859255,0.05567053134416046,0.009733765489745241
0.004939070657899241,0.03656958081145763,0.1627916814858213,0.01054082919488204
0.004841281681287308,0.179899663550227,0.1430321109429684,0.011875298911970382
0.005022689565076824,0.023826416237982196,0.17230854040149735,0.011807410973052119
0.0038573749026285333,0.16628161566200755,0.1257650540494695,0.009422568862017052
0.004416821009736264,0.16409560740776877,0.11113539249469333,0.008928167455203589
0.0037128667498446833,0.2891104445080242,0.14633586600062565,0.011825055258095844
0.005672873749975343,0.29783736922796644,0.08555431516882779,0.012503883920431063
0.006772213682674524,0.2723057115857827,0.11761634883424923,0.01054753015048511
0.004907818170653868,-0.013643444850617083,0.2322909827182046,0.011325864947202726
0.0035361689411449898,0.24292638610291653,0.12654207532619743,0.010561521237624027
0.0060798433387327325,-0.00925573352082795,0.13671329963942588,0.012050400605034704
0.005380383449189953,0.006310220651839249,0.13011826054101103,0.011305835743865466
0.003555775058100708,0.051655007026136686,0.169733163123829,0.010582726625977796
0.002279605619446803,0.05876019397667305,0.1132093466898067,0.010975120505880303
0.005490054418977471,0.014008416972985913,0.17930336914014924,0.009617148833595412
0.005407418771794781,0.07130349497962823,0.10130533759875092,0.012236585565718196
0.00800436388632944,0.05794621439145154,0.08682690103168016,0.010386239466949663
0.004847039589750319,0.0507311587750674,0.13510070653653541,0.010596126909431479
0.007358626553588891,0.043446935364787304,0.14443616088165917,0.011421770456286676
0.005500672744650622,-0.017864606190242806,0.1383034030851196,0.009772300558246514
0.004211980103631813,0.1543349558129859,0.15928023774845892,0.011330011362708505
0.0045023642595903735,0.1989748783588724,0.12732902668699872,0.010889793934045199
0.005756781710888591,0.14002008056262666,0.1935175743087212,0.01136121807748951
0.004017425396539591,0.1568795387340494,0.13924876341446504,0.012713723064456502
0.003905152958814944,0.13025285978237305,0.1227465203874211,0.012765973443308118
0.005308882922683221,0.2517684323405886,0.19415330359054872,0.012149794772349086
0.0038571382453534567,0.3534301984914358,0.0986389159575803,0.011836757058988684
0.005667562161594676,0.3628275324778876,0.13756665771548293,0.01133854818493069
0.0019023567626485789,0.29139423098074857,0.11092138760524481,0.012767803740700533
0.0021339815425164893,0.38877168346208507,0.07895566584770906,0.012108903695952333
0.001959969384126357,0.4118714697368281,0.06240405221205931,0.01150776376735153
0.004287988167744741,0.3753941260875141,0.18467057977815693,0.015658093452860174
0.003091918929132584,0.3107760737883756,0.19487748947837752,0.011914735658851556
0.005101105638809303,0.21977627924766382,0.13027734482693176,0.01292576640040587
0.004883686669999671,0.29195912284032843,0.20394166113382517,0.011290976195723855
-0.0015663716893624588,0.22107324282760868,0.23702056088474974,0.01162908998560088
0.0015148388320333683,0.22188929637181307,0.24484922566517625,0.013247988501804937
0.002715557642560156,0.22538190908530245,0.22041309962083774,0.009017549601229689
0.002101361258220062,0.17274067574484867,0.2248058340004851,0.008897710950734466
0.006651562907426189,0.058401999863641765,0.22577622146725035,0.014639414070532123
0.0027021600855236436,0.21989089300791181,0.20425535563230168,0.011654179009399778
0.0027672474626045476,0.18256748507368567,0.19129980363536625,0.011728241770861162
0.004866965300555581,0.23991748251263698,0.15882411857973464,0.010238279389570327
0.005335105298579464,0.02695680859031683,0.20586515734403762,0.010658070756411845
0.004528742982342641,0.2680750083448738,0.17170547014808984,0.011574127524967887
0.005761492106640647,0.037687168053158915,0.17383956529155845,0.010548642721792423
0.00412937239962012,0.38130711367125736,0.18850082267986618,0.011285606876067878
0.0043436513902391305,0.01913705244696679,0.20413996721842917,0.012406853751495249
0.004870417347887937,0.21213006065860468,0.16625001118856075,0.010743016632931025
0.003352580129330701,0.15298418038552586,0.18075411245671155,0.009098286395360936
0.0027209128948186448,0.07854987422309745,0.15597128822246858,0.015241062331750772
0.005363969140818458,0.07101178356459441,0.1603177605840258,0.012199913334931391
0.006346931394171357,0.10721745273108661,0.13290109872342004,0.01276604661938915
0.004968306088229006,0.1534412935796055,0.23459232831513546,0.012090040995596655
0.002839249511239805,0.10589430239722195,0.2213983547402606,0.011414219245388948
0.0029636348206336554,0.08922308875921882,0.15915866267679962,0.012234469520005441
0.0029969063998509147,0.08540108678337958,0.15922659060855676,0.011612642773908293
0.004259514876486463,0.07028806383248017,0.17017956827302805,0.010960509111869713
0.0032629007152636448,0.07886074204706016,0.18813835814520327,0.011357616950316408
0.006420740574270995,-0.011918407911530362,0.2222204134402467,0.010453199252696143
0.006080569954768499,-0.0059067897279180956,0.2104386759855535,0.010658043821116818
0.007115438578284759,0.03461914875378324,0.21022415422222315,0.010553625004919442
0.006525823820920232,0.10003015164693098,0.15434950522430302,0.010180800005348333
0.003247492867927542,-0.011137083620651921,0.13260289492528984,0.009819035172912329
0.0035080650570056197,0.29832076986361905,0.17520910053593042,0.010790180689462432
0.0014173215015918553,0.17657809068327215,0.13504745106581548,0.01232813907534402
0.005353818527674752,0.3250452990871604,0.16309924683022037,0.0104762794719539
0.00479023570161785,0.11499497447660408,0.08826719597424665,0.010339760762254983
0.0054708898093467125,0.186656165997035,0.08899793825229484,0.010068868068027214
0.007296436698315902,-0.022823603697292045,0.17784420062979306,0.01146406307172449
0.004649396682493173,-0.04126280990083306,0.18003225394897526,0.013164588473722854
0.0042762476311894865,0.1605837168955607,0.1613560485638386,0.011024651854086761
0.0056692322825012175,0.27797156574609,0.15414438321232238,0.012070273828714046
0.003885509536982391,0.2797767734383302,0.1501838389491834,0.012331144319262962
0.005055883677275804,0.02140332522547454,0.0823303442736142,0.010486646656265277
0.005082062546295109,-0.06000107161905649,0.08675296250635484,0.010413587546828761
0.004892449971343821,0.06284306060225063,0.18726067918072656,0.012504961993652893
0.004759386177350649,0.28088448075860684,0.1440604570591192,0.010080661552071135
0.005861819871321047,0.1538939759099643,0.15407414759902185,0.013537899972611785
4.7381659263680586e-05,0.4222680557765433,0.12419557833243952,0.010882597474869036
0.005609937176206256,0.024638848154367024,0.1672011765190303,0.011152591488811758
0.005369285118877589,0.015175320249846046,0.07852574589049849,0.01123104660583121
0.005943416560679988,0.18448211789500898,0.17921230854201833,0.012074110623659715
0.0018207851160079106,0.0991870837563691,0.14800897292179932,0.01067091138567685
0.0048238935205768265,0.007209083452362663,0.13358316129296197,0.012247060487898696
0.005361750293469466,0.05787692108598229,0.22027430692704714,0.011085214112503352
0.004020757383770966,0.07442491728390226,-0.020311384272801034,0.013821334694046374
0.002578405891771747,0.12819609159649178,0.10381373854917009,0.013644134259093579
0.00494922321789451,0.1558166610045807,0.15761510645460672,0.009438369316759338
0.005179626425836933,0.1452941598819693,0.14402958753705697,0.011416305985064124
0.004009771645684451,-0.0049700585418987935,0.2391715795531828,0.01162450553611445
0.0016128182378583082,0.11487542127155735,0.17794409890417906,0.012707485525540763
0.004150320219088882,0.12398447892002559,0.13316504321204625,0.011733053858859005
0.004825027042020601,0.09959738148175351,0.13683357912373828,0.012089665158657633
0.0025478518587010346,0.04521534789540569,0.1788630304171563,0.011291336207178503
0.005384540756635043,0.11024094788255465,0.20407369956730312,0.01269703104699496
-0.00015044038030477682,0.15378014977832896,0.1384033648970618,0.016666038032288447
0.009350098390285841,-0.034836654353323594,0.23550260694988048,0.011799972000186308
0.00634239138094241,-0.040031538654280066,0.2165189850154039,0.0117906820917454
0.0016440292053765857,0.151645821150727,0.23610120343653448,0.013455820679277055
0.002410588109251133,0.14140684776163656,0.21810939759597808,0.014223427984395793
0.002850142287129932,0.07395949273538538,0.21818716535907667,0.012606569630625179
0.002054997478108741,0.13036754388161623,0.19315037059362472,0.013174516753429599
0.00556417002245236,0.13467416608242314,0.1830300103942783,0.011187364591608379
0.0046394124925705086,0.08248902606526529,0.19174428688237533,0.011364772703808567
0.003628963645503897,0.06792794737661983,0.13971697827472657,0.012774882655663084
0.006043731771435312,-0.08133282476645445,0.2020060921413477,0.012679839529732518
0.004377990815844237,-0.058930454953202316,0.17916764123137952,0.014282743936372973
0.002122327756546964,0.043728946813304616,0.1662599609079719,0.013600763750271326
0.0039907152352226674,0.10475630111044354,0.20760533833529307,0.013052051478695353
0.001727217592209347,0.25588034583611513,0.23849343028576866,0.013557528239405692
0.00027070737942388204,0.3571576926243678,0.17978745682653832,0.012055935476030784
0.007537990126911161,0.05719975823052136,0.2213522620620195,0.01493313361493345
0.000475849424749859,0.47033164563294416,0.1186099465498417,0.01273109277854787
0.008433250989055598,0.08743532099476983,0.19617872013072818,0.010008677266095629
0.001532459110173631,0.2143824436303725,0.12789523105048015,0.012679215196412446
0.004319838514215884,0.13952575515268967,0.11588613541992956,0.012028933875277465
0.003698005934352345,0.2638249759887478,0.17220691033594912,0.010281357968932857
0.005715714428747658,-0.013898550120992585,0.18634979245107583,0.010867771004267335
0.0026676746434415154,0.024480154968311654,0.17844361886165053,0.009896112030663031
0.0030655471998282317,0.14899006849213972,0.15174939790393122,0.012506971661258503
0.0060999449376919115,-0.0732075705336461,0.21451236399039414,0.010564980448471458
0.004389236247741918,0.01857713699283979,0.2169758703106627,0.01073420028158678
0.0029374410493435868,0.03564585956951081,0.2000029187333522,0.01091328478168783
0.0017032361506989157,0.050006691768754226,0.23089314354598314,0.012588493896057932
0.004790141938483618,0.12963549549634787,0.2019535051744692,0.012656116243246595
0.003806918650436856,0.2290971516059109,0.20385861672569816,0.011882808911192077
0.004807706554570755,0.05652045311928658,0.18118627659729525,0.01054357534662335
0.004099692229697758,0.08264694360891352,0.17188797428177946,0.011027812225087722
0.003999581773219786,0.11445388021375541,0.2317972506268747,0.010338290942099235
0.00399576353051895,0.034764677263157615,0.17805422260991838,0.010234178804754334
0.006071680593881756,0.09773446439221821,0.20673758334738876,0.010791320828672788
0.004130594994443167,0.004921179954305576,0.19000732241959084,0.01069238965164419
0.004487723567795866,0.1439340970605966,0.19054081138823303,0.01216705761487497
0.003848634913509987,0.16894313638599623,0.16955069807832174,0.012233495250460054
0.006452353794538641,0.18415386736833206,0.1485981103455474,0.009636524959587332
0.00523238580774744,0.0728485494977545,0.14140850750097533,0.009820403656388067
0.006435694343350194,0.15436502505269156,0.12982259066139898,0.010873048590761073
0.003482944783099912,0.11699869729155161,0.08864065044835814,0.010326306560611875
0.0066383433852707065,0.06048212232045096,0.1670114350380539,0.011642016150704773
0.006196093640962816,0.01605046743112844,0.14371483213553457,0.011435999675032928
