alpha_0,alpha_1,beta_0,$\sigma$
0.009319696927686902,0.32293354911215305,0.18031655195729068,0.01482766657584558
0.008740944284438454,0.3308291830604853,0.155287745861985,0.014402612344376627
0.009645877048550106,0.1279233468601629,0.1211257054468368,0.013758285932134908
0.009669565047521178,-0.018372416248151262,0.14300911856849965,0.01406199987203602
0.006911078368465439,0.19700223490156898,0.11879476491047923,0.013303972133549447
0.0075580564597875375,0.2656289798863213,0.1229481646653576,0.013671216572235618
0.009774072094850799,0.5272463667604482,0.20441698544581482,0.01351016431979099
0.008940496094549869,0.4309675890271738,0.18542728844875955,0.013593791946582792
0.009981158001020613,0.185158036627937,0.16749730914885289,0.01290581961762394
0.010537151217919106,0.19435033873684981,0.24112951281049003,0.012514593485503872
0.00987468719533015,0.14725696088994875,0.1711779993771035,0.012827967055599628
0.010446806433675402,0.1184131659181427,0.1822206965116134,0.014598541292662606
0.007365466634115287,0.07284007518128834,0.14571063062176756,0.013343642876082988
0.009968414175982569,0.17395762019642233,0.2772586781883642,0.01674706419348925
0.009738229435331378,0.1859833554318555,0.22857092944621274,0.016580830391283604
0.011638484646600139,0.347935966154264,0.1862306820554146,0.014411814145636139
0.009487624704875408,0.19339098771397334,0.1118556752721978,0.01572225464006353
0.006330250996237759,0.2104922743853054,0.2832272818192075,0.015422615940857016
0.00846276623826557,0.34555593679606206,0.2530183891924853,0.013007790063233042
0.007213917799393353,0.4109016510917731,0.1928733463221718,0.015505730037155628
0.01251556649047987,0.29230765153386223,0.10474116907830432,0.01683514712386056
0.011982380208111546,0.14636659595475485,0.20799209821546644,0.01303972441253139
0.006429059910918706,0.12105677428046717,0.12221674504062778,0.018753402652237773
0.011925219987697697,0.21105997829522624,0.18289252595874778,0.01428291530891891
0.009796972424657161,0.29441814319636905,0.1861572275548777,0.015430540747310944
0.01361353262807037,0.09847923271388286,0.13204925389903222,0.012863421025098368
0.005622609948682785,0.2841345454463987,0.21985271707834486,0.014934703860397998
0.006502594911268213,0.27335778916275466,0.18677949838118824,0.012803728551222656
0.00832153488391975,0.32058733047991894,0.17893550885725665,0.013737936569864818
0.008067960515979924,0.30758896543812314,0.19098127574557985,0.012924545235628698
0.006957409559013269,0.31763312887263023,0.23058935089199603,0.014407427695596386
0.01115466156853284,0.14990254561678543,0.2083213906010722,0.014617325418598299
0.009110587847637047,0.19920605299059374,0.22636157601976598,0.016226860567128853
0.010480873943474989,0.1881797587988613,0.22899317081925574,0.01676983998742394
0.009797439878986059,0.13939476134366513,0.16740435605113976,0.01360831729448793
0.0069362953518311305,0.21802533946279437,0.2212559905488432,0.013000967869986642
0.012960616542540321,0.11804620042714924,0.2805203369972811,0.016256407404885133
0.009493816376444952,0.16609296146933922,0.20470994123008265,0.014102150996505499
0.010468986426909079,0.3491729018063187,0.19902256512727043,0.015062784424733515
0.005505704931224658,0.3154996263648172,0.2245444486394213,0.013001282427041407
0.008576218698901636,0.19142528540963236,0.19637842105904108,0.013375931974023697
0.00891124349443089,0.1154730840404645,0.1449603089455214,0.015334325298501627
0.009970600958052562,0.26623686343548675,0.15796569388770826,0.0122512532592338
0.010978900160063107,0.12216262484354914,0.17603785450699092,0.01439585591759513
0.008032626553273322,0.0988991950841586,0.1920766572883186,0.012520964043134053
0.011658706087554652,0.1499862953040881,0.22710734130596621,0.01149636005306963
0.007517247058072174,0.1166534041298109,0.14141238359576616,0.013136429225371563
0.010464817241189816,0.2286686642517355,0.2151672583605122,0.014617385860083945
0.010872658788942323,0.05582603090518698,0.2215900664044944,0.01570079913457824
0.008440484520425779,0.27164898698418966,0.14197890756609058,0.014775998336458684
0.007928213235267068,0.14579269090517488,0.2165180245597239,0.014513279357947148
0.01096114430414891,0.19765655989765102,0.26775941276028203,0.01575001921349327
0.01006263630347416,0.10085838790942811,0.25802291960326773,0.014284755003306036
0.007368034378928802,0.37931820080947526,0.19701301472922036,0.015548496750730886
0.007637667468290001,0.37618412418597064,0.16499144878467595,0.01540496108820801
0.009583506867243397,0.2803220718138891,0.08085386565196047,0.012951444480334
0.012519667234293853,0.20921240566125493,0.1701783884388802,0.013890634016020816
0.007765020096685032,0.19562660282312902,0.0583955841804176,0.013426009688680787
0.007382304955381795,0.21554023003733597,0.21242772327223527,0.016336754799842087
0.008395250529135706,0.344913696839445,0.20850587487728522,0.014850891310175262
0.005883766525506341,0.3150881024209348,0.16952266912762837,0.015287041612676761
0.013451665241889494,0.06491241786406143,0.23131054530338432,0.012445095155891032
0.011800034240581516,0.08816017903618474,0.23741431865156656,0.014408601357974928
0.01020425019993282,0.2385335187521978,0.21413848177054745,0.015317600513433555
0.010805817062021052,0.2382608381240796,0.17735507113970672,0.012030455060240681
0.011678967561103187,0.06724627522615871,0.1413354308530935,0.015456537675691192
0.009559909060705179,0.37908411595567354,0.13024553384575646,0.014057141957496315
0.005496730123443221,0.20832874790975528,0.16207154830116366,0.015709129951344155
0.00747672882838979,0.3386644656385247,0.17532819288474072,0.01743816323207974
0.006753646452138514,0.2956390973113367,0.20183897631990586,0.01607895046021823
0.007872114908445724,0.3195163609211599,0.08263406311609188,0.015447047358856226
0.008554674416053416,0.14572138331087248,0.20903653111727044,0.014243260219697738
0.006779064901159792,0.24615635524839805,0.23704402263883984,0.014937939690977606
0.003395795673701835,0.4976249110704079,0.2585110905441177,0.014860117518121578
0.0020088633271411506,0.4226835204267565,0.23348806449860335,0.015584467239827317
0.004360564597233708,0.5523993523386329,0.1784614460839865,0.014566290111699916
0.010755672124310993,0.18039434782830766,0.26985783810630554,0.013319035667266376
0.0051739812534544296,0.24872378441701692,0.14212485011408277,0.012915700081350982
0.009890676771826526,0.3432924204199302,0.21693812221963574,0.014408753111639779
0.008808691299770032,0.17890467956499337,0.1466318274596831,0.014663994678680504
0.008188102832502665,0.19823682751251376,0.17656697417045675,0.01486605066190475
0.010468986959714143,0.11672864686019098,0.19364466691572135,0.015698023886832183
0.0053437122604771264,0.5264624478933575,0.10751033362439284,0.014621213715579407
0.005785512849866999,0.33351699239246685,0.1296738988689506,0.016576389235667646
0.012209681427264944,0.2577380110298659,0.17737856949526917,0.013902179576316004
0.00498671861295875,0.3272058927916523,0.1640325855928815,0.014676558866024512
0.006767491395549895,0.2754146104954955,0.22496777427076783,0.015525630625581363
0.005280320377924392,0.2305125469381685,0.1817507865300533,0.012366957693233465
0.010949182529864727,0.1434761855370721,0.13821493087694628,0.015078262030812507
0.01005072244947294,0.21205835119835587,0.13275139388743268,0.015606539131788008
