alpha_0,alpha_1,beta_0,$\sigma$
0.008709532711614893,0.16580712904229436,0.1429516524285919,0.013955451813248107
0.00459786063447657,0.1032284761770953,0.1869703946627486,0.0122455290030187
0.006168825232271915,0.10961843116824975,0.2218682610697534,0.01234934749511483
0.009416345967095164,-0.0003358687870177539,0.2074947473678778,0.01272708531875278
0.0008192699528367494,0.2105148985944954,0.1718790006853617,0.012569890782627716
0.01049541343789762,0.009488522179794496,0.22325575001092726,0.013201286926122241
0.008213104471896927,0.018503108797113935,0.21001271977605251,0.011984025897585893
0.0022125741074143926,0.2882683460238302,0.21809465882448065,0.013998097604839927
0.001685550407372201,0.28470493650304696,0.1994379255126002,0.014206488337522515
0.004283891417683966,0.162677561230079,0.1883565957605635,0.01274541502204664
0.002315897042930957,0.1806276079123343,0.22195229005274064,0.012579688735361383
0.006521559925654617,0.10633286497811406,0.23178079128416715,0.0146342373189028
0.004475126024757238,0.08087831971678586,0.19570431754290452,0.01708467559900175
0.007381800942440387,0.2276141595657077,0.1791515512795973,0.015049739378058315
0.005199134746987476,0.08165037307674482,0.20737658471659143,0.013556822941933933
0.0041319422467513585,0.1883219102085717,0.22774693696450185,0.01412052984032631
0.004067029162748672,0.05308752935232538,0.22954111711239247,0.0124999317397536
0.007843341188907425,0.2447105322657516,0.2536419375066146,0.012999624075664651
0.005360502120396581,0.02585378530494434,0.26528115121253193,0.01452563571377062
0.0022316450773951007,0.17700927892798157,0.2855149884591005,0.013559750487892899
0.004624881813190157,0.1810451555478279,0.28561016761657887,0.014405382978694429
0.0072012659464625196,0.07903182971588739,0.22854831473315168,0.013333945898297861
0.0022951520471445235,0.22926370892210268,0.253660023738787,0.011982068362702717
0.003543491473254548,0.3275470996641095,0.20466523793498284,0.014443769425127938
0.0015207282113465807,0.3623944335259999,0.2028561262422107,0.014787284341118473
0.0015207282113465807,0.3623944335259999,0.2028561262422107,0.014787284341118473
0.006151726845819556,0.011197498539933024,0.2199431257706651,0.014281038550027068
0.005612683744889516,0.35380238663038743,0.1748647095059333,0.013291260252241501
0.0037680866814609163,0.010038730711037808,0.18100644968865864,0.01517079778303191
0.006086268457582627,-0.026510671052215332,0.17318901612976345,0.015095012998522936
0.00622443046809931,-0.05318739875606045,0.2295360148140631,0.015833371526673325
0.0038895537393838935,0.05547807997510426,0.21754546515855439,0.01666479349685369
0.004422139300203233,0.08293390832242017,0.24564700278847512,0.015311946835882275
0.004979312324690982,0.22342877748966267,0.19476356836611847,0.012537723471937209
0.005735029366037686,0.22937464385858994,0.2052580222343144,0.013048966404872965
0.009809186140072501,0.2444030004678017,0.16288196601715896,0.01249431436071329
0.006530063714160693,0.1514445120733031,0.27037463659958627,0.015284908341895513
0.004690296886999399,0.08730026699435203,0.1670981918432788,0.014000991671594944
0.003185690624114217,0.07716740264327168,0.20606854531647337,0.014786880823968725
0.007220548958168127,0.13210637056273106,0.1906636700879708,0.013981277698151754
0.0036779841808753932,0.16021614157826983,0.20985157703826782,0.013067278891230986
0.004466688045038742,0.19397895744994018,0.24567363120147187,0.013607214484369929
0.004456205826304936,0.16575797479846827,0.19839475118969369,0.013661168900426223
0.0020001740641342803,0.2187835649276373,0.1995442393132144,0.013493067723635519
0.007843651430599046,0.0936823872383298,0.21528863277341773,0.014374848301032164
0.008788450598287475,-0.037305467908123356,0.17641869376542008,0.014833767757900365
0.007406510473562242,0.13792710966428665,0.1869392033984691,0.014137326585125962
0.0047229284193630984,0.1413452105747159,0.1729090991785636,0.01387149903992605
0.004019991997434733,0.12526469907005566,0.21169461937597525,0.01351261903128926
0.007016381970478076,0.2718693505509946,0.2670739282599589,0.012200419034463481
0.0029313387768135505,0.12549510718528076,0.14220004758195562,0.015159786777460417
0.0033519073023961948,0.22945497270141152,0.20305357611481206,0.011769300051751936
0.0024606081635158536,0.18369431171782258,0.15795620155209403,0.013051606846657396
0.009080669312834636,0.12411611682235608,0.24827704106356363,0.0157985669180416
0.007408335465599343,0.08512676293640369,0.20117902274303598,0.015520579500034057
0.0057737649689013895,0.12592358782196528,0.22844080732336966,0.017490841719771704
0.004709367721401383,0.05476789548573368,0.14805839627519968,0.011333901975074901
0.008072484882468471,0.08653693292928298,0.14691965290763845,0.013514973202198436
0.010519414386588507,0.07643718699364525,0.18979641861209365,0.01686496088977879
0.00024355464759893966,0.14797208340677753,0.20887463492179462,0.014012912000997727
0.007858839973645256,-0.004738086483764717,0.24278642055671834,0.014827302980497246
0.00840153160094442,0.07687922861807692,0.2015325046966458,0.015762524640537845
0.0032992800630222163,0.4019211795375995,0.2593816759429297,0.010994424430820509
0.005124002269569375,-0.13748216142502168,0.17859515342967763,0.016201296678181397
0.006540909765863191,0.21408989432094128,0.26027842303957105,0.01237705325507774
0.005372386942772875,0.2902607316655849,0.282612332726824,0.013267888023959732
0.00663238458224007,0.07546263337951213,0.19198841426760727,0.0129119442625008
0.002644181370703884,0.04737779589462869,0.14953606292996816,0.016289836610439604
0.0045857761397667535,0.013200067509481848,0.20553709651857888,0.015523808349365373
0.0066918664941555735,0.09000861969534443,0.2887343755943568,0.014125427876783586
0.004959920421121956,0.003447521480073878,0.2193964559963905,0.014497959007251758
0.00870783934935057,-0.015149698423894775,0.18147652159544253,0.013732593602495003
0.0047472151417796435,0.02630541859580219,0.23533927789507147,0.012233089833220195
0.008784130667641167,0.019653061490219545,0.2738875913180197,0.015406132711698682
0.007460647016550369,0.05899105584485673,0.23403441955698193,0.016415847170209445
0.0045277174340570435,0.09191336447277314,0.17277463766773438,0.01368829284774661
0.008512754008583277,0.003185486096717552,0.2303578231817545,0.01453062388218681
0.005747111057085539,0.19711484078815097,0.2482647370201366,0.014470385646517894
0.006183920971101127,0.15736993316223677,0.2665779857148044,0.015181852194470682
0.004092727511505069,0.10479948471154156,0.23877366103629993,0.013714185888277393
0.0039461878372158915,0.28843307237179666,0.20398383403589573,0.013331126942118523
0.004380645482352464,0.3026697549059434,0.1917961716173245,0.012962623292436526
0.0015507607328408275,0.18013483715812076,0.19988413857594953,0.01314858126789148
0.004554016918463745,0.3754569431870619,0.1289201427472037,0.012934200844143602
0.0043394225059939125,0.09844552642260734,0.23648946516636424,0.01720623434724296
0.006743204824380448,0.2193303326292989,0.19882608478792407,0.013490078060360145
0.00497544360372897,0.15853545107617562,0.2523240824971967,0.013346928630648415
0.005127781331052666,0.2010158838929276,0.24542075560441848,0.01255910509545778
0.0050330907362779705,0.36810186714377857,0.19165897916337646,0.01133489995631539
0.002283574914974468,0.30340865431242037,0.21210005910585944,0.011910492920034701
0.0058461553326049276,0.2934073893308724,0.21977396958281809,0.015133905823410098
0.0011348214743965353,0.3046365727253594,0.2311263000698665,0.015052556548624602
0.009181977686523374,0.2086139743047512,0.23458460372324755,0.0165054032269475
0.010929841590846819,0.15330089446700507,0.2464610200844996,0.016876803077523945
0.006071124044357366,0.01683152282479399,0.207397115388586,0.012514380907458666
0.006971104460142848,0.051030707105952255,0.22659418934855874,0.012725366925310979
0.010312383239659202,-0.21407548470334858,0.21123392664696547,0.01635445612973824
0.004576124089096585,0.10415374558355746,0.1979938979990428,0.014682777761417217
0.0038150308658552227,0.06747640034486656,0.1940152723104497,0.013937879775469135
0.0049369925397273785,0.1196419536651434,0.16649577778890015,0.014624913747686968
0.007820124517242226,0.2150073421977322,0.22146418194887796,0.015333434122106863
0.006491670859111905,0.011996069276049013,0.17498133779332228,0.01249435913715413
0.0038473351549579457,0.409776782298382,0.19775542700692939,0.011810606720312219
0.008059018389053136,0.20740530627833198,0.20961955683375663,0.014171562377630478
0.005953228761076217,0.2433686955177,0.23529307270101132,0.013637000558513487
0.004470592720072914,0.043436703611524824,0.22487502025524272,0.01278934121139141
0.005122791800800663,0.22278926427553583,0.23418762844113922,0.01579786078383619
0.0069794730677151815,0.0511328399012948,0.15452200992881585,0.012069083309721352
0.00502065512981841,0.31352915982494567,0.1825686718749995,0.013472822968213926
0.006818425876365153,0.25302695751100823,0.2116688067700806,0.013803841768397997
