alpha_0,alpha_1,beta_0,beta_1,$\sigma$
-0.004268482067240795,0.2529706608287044,0.13025229293229781,0.36541470630539497,0.010509511524547457
-0.000982754424965809,0.14856832291326152,0.0948942906918351,0.4048083904089876,0.01063546521925971
-0.0032953688745791217,0.23844571845781992,0.14195811223642366,0.3706426976036719,0.01145794501494279
-0.0025015500376302235,0.2701692876236515,0.1334891892213204,0.5019120335735476,0.010159028089854628
-0.0032121319379799077,0.08932838458679528,0.0712139475588756,0.41271628100463165,0.010175084871313874
-0.00396830563028072,0.17225346622163873,0.09603129813516435,0.4397033893608666,0.0094399451742309
-0.004534977682977138,0.12297155322073305,0.06176030001492824,0.43551348754403535,0.011516802440321175
-0.006858896702030866,0.33358351358834487,0.11139948060563554,0.6230227818413798,0.01306846761882403
-0.005531046487285537,0.16591582057156093,0.03673913938457032,0.4798317195695545,0.010887684258512898
-0.004208538601640487,0.10758779458273354,0.03344354269903535,0.4902953559357344,0.009768209788468553
-0.003983088712189785,0.17542570934907656,0.11607787461361556,0.4302763629556373,0.010420745546369188
-0.004981715015395534,0.13667778087380608,0.07328744168612267,0.4480315899225666,0.009230867845896292
-0.004186563218950165,0.1220664540333747,0.09435142128699243,0.43582654102231727,0.010819682052631676
-0.005222472080397679,0.20965114102500174,0.11231106649436853,0.5152216073109228,0.011433307247305378
-0.005218708525537132,0.011793331276942874,0.07953939640653707,0.5183337695895794,0.010555736808221812
-0.004698599939880911,0.06695785875829999,0.04450296822364775,0.6308172221010349,0.012444467802291656
-0.00531379471389543,0.10684171770328521,0.06180427978063357,0.6130640230243645,0.011346587244957585
-0.0019025566816697253,0.1265692780047217,0.12934215510542604,0.3233971469575629,0.011111956222264182
-0.0011034357606831118,0.04583227172452255,0.10498700840891281,0.4006926757644707,0.011464417206746104
-0.004760772220068837,0.24437857414580413,0.07912989632241194,0.4656414991838931,0.00898828062109162
-0.004089901378472594,0.25330087819019526,0.11169686614767746,0.45341299042436606,0.00974125097010351
-0.0038965854269986237,0.03273092132662434,0.07991717391707497,0.4998891024411182,0.01058161815030149
-0.005303472353645786,0.1258536525441131,0.14314005200547905,0.40121842801590707,0.013225192233936124
-0.0059683538216725365,0.03800000102298597,0.09298043929015663,0.3552297303836887,0.013229737766099302
-0.00499693949036893,0.03864441421704972,0.07609189192168037,0.5040854788710072,0.010667271724960844
-0.0030259253290406034,0.08817685466576508,0.0011156318576779978,0.5118639152809008,0.011434469497952196
-0.004272613729844066,0.22650250384636714,0.14090026178561682,0.4141400646248126,0.010149951762092338
-0.0038377838126464952,0.22723524862724961,0.15018736693911255,0.4047043560695176,0.010054751428107038
-0.00242640059337926,0.1514576295820049,0.030044469210076027,0.47885964936086134,0.01076319907245116
-0.0031035369428028974,0.17583231375184588,0.11812019432882045,0.3524208876800119,0.008929657266176233
-0.0060455223414818135,0.14897792961627107,0.051576643259918474,0.35447439035376216,0.01328438169658248
-0.001668725608194434,0.20586977566070278,0.06796845721747664,0.6022256043676433,0.011253908581009227
-0.003336198524923878,0.08789726954463836,0.13031806568124096,0.42066040973230523,0.011798211139511025
-0.004039370401651388,0.10567375002288783,0.06630562653355498,0.4913099100033717,0.010082596748131075
-0.0017069078776976176,0.13409802035718885,0.12674261296615827,0.42325618255027975,0.009757916390039825
-0.0036671989198170654,0.1346737866057851,0.17075261257342006,0.3080552776681003,0.012852285167616585
-0.0024448713430787732,0.2694527903440193,0.1518090848634474,0.295789183217452,0.010127251440757809
-0.003155812927614913,0.007693970398441476,0.11769439768294981,0.39427170653230653,0.01319203087870669
-0.003084573668647589,0.3383383686385907,0.11680160280949385,0.43346093665394564,0.008929750372357933
-0.0035690134729575783,0.07923645598268408,0.1779284647507967,0.3002868547048146,0.010608686346850454
-0.004676388367234175,0.31367807750434556,0.11732170462038623,0.549205549344583,0.010074874521645209
-0.004923810801989234,0.1288456680205353,0.12425136132528672,0.39115829654917217,0.010311307830474554
-0.003438704144693239,0.18767180127781943,0.12081615771498583,0.4172025139715465,0.010569274669488603
-0.0047389107898313755,0.11345866172026149,0.10376905695938064,0.4098570204657321,0.009061849154518594
-0.0046007212497012765,0.27046255282249687,0.050382919820394605,0.5445553012301647,0.009868189475030011
-0.0017609127536793,0.06481649016547561,0.04465370988422745,0.4729016229051332,0.011977389565566031
-0.00442735915157482,0.13373406688477402,0.13664937858586254,0.35589527078169614,0.00853739616939424
-0.0027061913658920464,0.1433987229638009,0.07894544342427212,0.5031983584240134,0.009842844031182517
-0.0024158722284434962,0.09239160069827294,0.08883476526290889,0.46230923542345226,0.009855889996775478
-0.005503868098042882,0.21776395046861996,0.13786764404282553,0.3861900480399879,0.010305517977968654
-0.0027943202441290723,0.15350256203161505,0.1052433181435475,0.43658121808933625,0.008603317963480505
-0.00306043711668695,0.12868820329462377,0.14142796016847997,0.3721934136294524,0.013277104442360712
-0.0025298948260945166,0.07813532113023836,0.05934620589061382,0.32068783423545466,0.010011427054247079
-0.0007081462006392368,-0.012689907881213167,0.14905355818290109,0.2634873946658065,0.01268255886484582
-0.004067131255569735,-0.08142907794617642,0.16295416700765197,0.28816116943638787,0.01369533252042026
-0.0015920144916331106,0.19791424668293311,0.19464494396410142,0.4392364329701441,0.011829530624732602
-0.005526876596619141,0.17484022434990112,0.08408424414066848,0.2598658198074434,0.010831343410092684
-0.004632858560585778,0.1833717966440948,0.07676086814987053,0.4400781229279675,0.011427101945995161
-0.002759771977922954,0.09875607351932415,0.15719908782900724,0.48228658342533176,0.00971600862871719
-0.005502230398721623,0.2295919841918119,0.026518479025769266,0.5347045673873698,0.009538673308780355
-0.0027602719201436513,0.04927703086050281,0.21026747042447577,0.3051092695505621,0.011166707095445531
-0.004405039155351626,0.2236245472607415,0.03888828917180916,0.4383950184982087,0.00885932827776327
-0.002011137915549035,0.17616814633112032,0.15232558890895448,0.41488346455251607,0.009869074166302306
-0.006288361710489252,0.2885060923974852,0.09682611468868027,0.4554034872635204,0.009576152445277812
-0.0011417266744234,0.1476582922745115,0.20943863093009027,0.3312714625559639,0.013423486020406923
-0.004587156892056859,0.1435063425978136,0.14807083950697772,0.320474328904623,0.009564713998294734
-0.00016841621501536194,0.12492287376280108,0.12362642219710225,0.40270326548203944,0.012532810259044447
-0.004048655547131523,0.23636145705875083,0.10712795610530033,0.2901070656011185,0.009180789165457021
0.0001690055442227856,0.3114480478490418,-0.009699306557381717,0.4816907654063141,0.01267510233516799
0.0004996211392414803,0.28301661217750035,0.03168870447117195,0.4533292668933231,0.012413759094098501
-0.004539447920890661,0.3177481111257351,0.041532956023173445,0.4848479534774044,0.012482979187295979
-0.0026717781522713336,0.18961251467767684,0.07886439475292406,0.505116056787608,0.008298993967867742
-0.00440643591360493,0.12110472892756026,0.0908645528254928,0.42384280848094635,0.010088347734580337
-0.004329265037567808,0.1680924211322291,0.07199142646339655,0.4677281966645802,0.009684675064443815
-0.003764432501667838,0.19502116224166463,0.15487339212822696,0.3432167320328015,0.010721841394235297
-0.003990233313701849,0.08272847004590063,0.06534556178492792,0.4173822930357819,0.009232941718685099
-0.002038119509706821,0.23117421070887256,0.10338132205072567,0.3737467614935313,0.011889403934404626
-0.003985617145829214,0.10020656377848673,0.10275969824169219,0.4157901191707888,0.009842770757337265
-0.001760917016432581,0.1771874401365854,0.09543282249836593,0.4311745382049296,0.010186094289853136
-0.0021957865403151398,0.17264970165501273,0.09194257910458485,0.4666755834014723,0.011237301507450757
-0.0033785804331127015,0.12539790588803537,0.09607434537622782,0.4840249884920883,0.011246056550050223
-0.003948572765018975,0.09157840227455905,0.11923836149728553,0.40403080561868365,0.010740410770843624
-0.0028759824781807806,0.18571070111517946,0.08547090522730832,0.4969072602176663,0.008949496886839298
-0.004619341499184743,0.16422520002299212,0.08513667783523318,0.4905881574986754,0.01084631782338564
-0.002389800787383297,0.30363753809771343,0.031182084853309658,0.43264381386868234,0.010872183472859892
-0.0027689972449971233,0.2914558953517589,0.017452354071230806,0.47557858568988554,0.011588926770968542
