alpha_0,alpha_1,beta_0,beta_1,$\sigma$
-0.0005542388757079954,0.3115293539758325,0.05529082147448648,0.2636797745039455,0.011976306957575022
-0.0024804675015668706,0.022513743478204853,-0.01012192277203379,0.17871808152734658,0.01103287894894232
-0.0013765641956647635,0.20302251153567402,0.05325251097976113,0.24601322073025075,0.010052593557127246
-0.0015955398689331223,0.2166770907559121,0.0948587885213388,0.1616167710041082,0.008715225907179795
6.0699607075012794e-05,0.04391650888497932,0.02890417909177327,0.19688441417035019,0.011250382319025795
-0.00146709936064045,0.2772310021428153,0.03929113388866612,0.23999096797100064,0.010607007961348456
-0.0003905287004065086,0.24206121726891663,0.02910103511649766,0.23471411874198697,0.010654795568292644
-0.0011456381625785741,0.08190188845631956,0.13684169387039863,0.07841101276228332,0.012832542530196523
-3.903477322560705e-05,0.1633620642304002,0.10623490301058534,0.20925259909869562,0.012998354943448528
-0.0002614098611540008,0.16016046184926638,0.11602570126556014,0.1643356957455486,0.012868847017428613
-5.911192932527092e-05,0.17084317235624943,0.1156417988903798,0.1579334966449532,0.012751902874135275
-0.0002963436119925132,0.16670748370186123,0.10717011391961213,0.14893766099504752,0.012465079185459542
-0.0001686055462091636,0.16007564610931016,0.12207470675996068,0.14343183022635173,0.012899102462223807
-0.00200960183306649,0.12214000115231848,0.10407907354506636,0.2579518692899973,0.011763962947673871
-0.00047681306059415006,0.06197377997030276,0.056030694858949216,0.18056895251667876,0.010322699853459403
-0.0014179563397629835,0.35339979718274755,0.08831984255424441,0.3118809424608518,0.012611178051091023
-0.0035717531589321673,0.3236860950903372,0.09690053863020047,0.21842510818501704,0.011379845726320375
-0.0013083472329700812,-0.12880751985363367,0.0705284730015482,0.22613869229906428,0.009095606657958758
-0.0028585644556095254,0.2433903757781121,0.04656199654908719,0.38009655661639835,0.011237802755615348
0.00015578935637142018,0.025254643463512784,0.04618582206546694,0.1931750296997275,0.00942575394489156
-0.001632329746509043,0.139058353988022,0.0035949716929751033,0.26487473432669295,0.009344460885638006
0.0020536828865636947,0.05749107763862572,0.07450982403575025,0.2389979568174898,0.011506745830559946
-0.005825864316293748,0.16779271414780508,0.08926535066019622,0.11262616430925343,0.01461224113494476
-0.002554479977045122,0.053359493941356285,0.041207881759177625,0.296647985166119,0.008503165521288988
-0.004006811820386154,0.007935255251099605,0.12835548895433027,0.29634917626474766,0.010472090424439973
-0.003235981487287072,0.19394446350025718,0.10557985489254201,0.3067938550153131,0.010675726662379557
-0.00022227800794895637,-0.03386691616314204,0.08461697310876042,0.3454717966733784,0.011348314017278248
-0.0016088531952573337,0.1316993688958275,0.15178055197950124,0.1747882522920334,0.008838585887934272
4.474850724477631e-05,-0.04717213404382708,-0.07465088506173753,0.37425363421524677,0.011611420884987532
-0.00305246207148541,0.2567540053893682,0.2014213256541057,0.034641174024701,0.010061090502824306
-0.0013676653537950572,0.2175650824837525,0.1723580119194421,0.10409158675007106,0.010835590331491379
-0.0012030254954280505,0.2687246702130155,0.15668797603925855,0.1134344768164672,0.010769885159079704
-0.001501125371848337,-0.04331845912482599,0.11199644879625324,0.12430557022223723,0.012490709829815866
-0.0025945612587604614,0.1567675850885082,0.11496194280927025,0.23595897159016618,0.011434390705671486
-0.001488276622193236,-0.07650565329944226,0.13022752029942178,0.18644356844431376,0.010983604310213382
8.597993835781072e-05,0.054462819923743105,0.1162284030515501,0.15235152038967112,0.010222844538497521
-0.002019502251072114,-0.013739936491954294,0.13723648474446276,0.07976144767577056,0.009921825965877975
-0.0018585546461521044,0.1689275477312621,0.1083512802895583,0.13256224339815748,0.010118606350737499
-0.0011694804049483102,0.2878807948635904,0.05225169782747895,0.12225999374494967,0.010043103673497103
-0.000544094635727937,0.2312511051025555,0.11146561394274343,0.15331989528595677,0.0135155654832574
-0.0006670212288842238,0.2977995580833192,0.0598233101638759,0.050807805350796764,0.011160145195963141
-5.464377084763542e-05,0.20750584387630158,0.07935262254454409,0.07089947797105563,0.011691329510960633
0.00032336298825490293,0.3210038311160684,0.07696332051323523,0.21632636838624747,0.010928894105799693
-0.0007734014357180134,0.1224145233152695,0.0571277519140068,0.13975702919384844,0.013371351324894734
-0.002334882712986362,0.2731666827586896,0.0620499525308264,0.21168613748913673,0.009136627032799648
0.0009177144569786489,-0.08130060373801799,0.04334926993990017,0.1520427359491554,0.012749817013699082
0.002534708335285059,0.024081794966026693,0.05232370153957159,0.11051723695605832,0.012743625087116853
0.0017962600425767334,-0.01502430373587013,0.05235804603909153,0.16545527122672526,0.013803158571061342
-0.0015725741196829482,0.12666575131367963,0.036215880385907145,0.220013115608675,0.00955987002686703
-0.0002281426392335498,0.02730958838694218,0.07837341276968109,0.20785751551378812,0.009745297475014986
-0.003416586347065039,0.06257474038438363,0.107009386891828,0.17547157092641358,0.009762588285747291
-0.0018608672298203969,-0.01751713871837265,0.0881014048749403,0.2088565995934318,0.012399893255110837
-0.0015351297407790502,0.10630993081536867,0.06092308499741945,0.24957910971243857,0.010103866837237881
-0.0028712404315385655,0.0032814929260005653,0.15458008300716714,0.19439852207653935,0.01182675254709147
-0.003720671743648082,-0.07149581492990723,0.196226068370481,0.1402742687313295,0.009108962931576259
-0.002871111918288006,0.1679748772758788,0.03470822978601391,0.3428795968877458,0.00939428033966505
-0.002694122504928486,-0.1250624587933782,0.06134961436651238,0.25446697130414936,0.008578038949982958
-0.0014778737339013344,0.06881609912122554,0.12726801618756303,0.1040219264753782,0.011871667104635365
-0.002417911173603335,0.08115733426158837,0.1416366935703242,0.13315718572203095,0.0104895065684951
-0.0011974466438997272,0.11193975125021254,0.00502569522403235,0.34943686806474017,0.00999567807636557
-0.0018062689765699026,0.0525993155545291,0.10318500672040169,0.18710548549621026,0.0101156455533317
-0.0013018956119264877,0.14556842612890614,0.07013329943826808,0.20919786784853203,0.009912907032616998
-0.0029369474211223376,0.11834450512474544,0.06744336069476944,0.17989524921775074,0.008798053985919284
-0.0008245771570778269,0.09711032761500525,0.11794358100746954,0.1974703364068385,0.010337432874614434
-0.0022595152887543457,0.08491992434412945,0.09093900858747346,0.21547732881124754,0.009443487924801425
-0.0024413210621193238,-0.021007541800913535,0.10284686873647989,0.24071805417348238,0.010488824971853161
-0.0037743165839649474,0.1332556841387492,0.13613994940818475,0.2312908500134913,0.010560413567452555
0.0006266398652472512,0.09570295922064605,-0.04383155347480966,0.32585246366566206,0.00962107716799736
0.0019178114058979764,0.08785541986925893,0.03305757930658293,0.3037996079387948,0.010390137223229286
0.0009273925416831361,0.08914405690659451,0.026623667733958842,0.2971719293259986,0.010167211642682842
-0.004104955291892546,0.24057660150481694,0.0964457536756182,0.13180807578509732,0.01090550328786505
0.0006972440894328119,0.28528079148334284,0.11156804400749515,0.13377279739731596,0.009796573693065486
-0.0010166050763846441,0.27301142649554877,0.10751687628741777,0.18094222598059595,0.009487867956483162
-0.0008308507877144534,0.2856632533605633,0.12472840125562183,0.14181544862482603,0.00980650732143814
-0.0032204217397842475,0.11021954771142502,0.08370289244370092,0.0981044982212033,0.011301416478758848
0.0003968723832449994,0.23097469998660855,0.06997268704615986,0.2087498835780155,0.009083173842622364
-0.002609407403924256,0.23084484431590385,0.09778630394963167,0.16790439409004507,0.010143898768502323
0.00027664045657225,0.05948359763232158,0.07353467494968292,0.15275253908040595,0.011742628453413246
-0.0021844642776232917,0.12727499438399933,0.13001697058818132,0.12536322637739222,0.010655482816737363
0.0008879954415035153,0.11424714750091136,0.009168677005592787,0.2688789343467472,0.010362949428646606
0.0003120089715241688,0.11342137924967376,0.028806687595561445,0.3319228655985817,0.009389362063210342
-0.00204857932265143,0.08302626924806297,0.08957288443554329,0.23745769552481963,0.011259897762038054
-0.0034640459477604576,0.08709691326153185,0.12644521614195495,0.2631768386839926,0.01026979143195002
-0.003944171029343387,0.06400550577304101,0.0942443225506381,0.30870468105128956,0.009867578125204298
-0.0036701847086912554,0.005815535020761186,0.18219694587532034,0.17421197278439912,0.010290055146057362
-0.0011991011729190696,0.1717251660479204,0.0009609734881112111,0.3302347207270815,0.008960461324524728
-0.0005528838694722875,0.0672035009753333,-0.0379258672665977,0.3150326941098505,0.009908943547958671
-0.002258507521789441,0.24851454889325778,0.14009542702612227,0.19147904045021327,0.010374039827861259
-0.0004616998674040677,0.1704150102529717,-0.015440900759764085,0.1826776949495189,0.01043966505944105
0.0019163174701891884,0.06374002765676236,0.10784743456385576,0.10438057127171482,0.011088645024079042
0.000992249632984755,0.34231866115898113,-0.08159756636235321,0.29108450748024717,0.010095377050801388
0.0011519729288590528,0.17387318332239,0.10114260677163041,-0.003035400747707375,0.011891439139171593
-0.002540945508378526,0.3734267045543684,0.07000155132072391,0.22167591635952708,0.011560402586674415
-0.002846913843524895,0.3182977870523232,0.12870936547050862,0.004836692976355516,0.009477258422385261
-0.002745758357178354,0.33532476288635465,0.13679882136148486,0.05254528441057564,0.010030127334915945
