alpha_0,alpha_1,beta_0,beta_1,$\sigma$
0.002308987051424391,0.18932642762139296,0.055672007644645596,0.4321325547565257,0.015492541530436015
0.0015430214181796854,0.07772835627803537,0.046850291689794064,0.30258075931905626,0.01655814122693543
0.0029806419055968454,0.23872982950567667,0.04203792824960668,0.30460477977107064,0.013593611606183841
0.005009775942666567,0.051084780819430575,0.11718688467954695,0.33747633413671935,0.012825045637465593
0.002643201919331619,0.0697966994941029,0.13679382083085673,0.18906807667112038,0.011112042176834822
0.003709851778864229,0.15217958401824125,0.07016521485357292,-0.04149844575479494,0.016568843677967928
0.002667726290649255,0.1412426119616543,-0.01353298563816947,0.43464310783611243,0.01301267088887858
0.002702475020225286,0.1569894102303163,-0.013292355556882123,0.42193427054361243,0.012991814017491317
0.002539752630382585,0.011603477064341653,0.07957788329358408,0.2275157970826975,0.01302956534660624
0.004430866104010378,0.18883066772316998,0.10667013335740995,0.221169754091189,0.011957810925514933
0.0023929264771321854,0.11215585224268305,0.07472792965711511,0.3853070633669409,0.012889985370355603
0.00280407985321893,0.13650263938493803,0.047999512184050054,0.29842869625698604,0.011356693700605183
0.0031085280601577535,0.16276801226691598,0.0828613538885439,0.24571818568919976,0.012353175632187477
0.0037011097844174626,0.11614951934861527,0.05290178564805672,0.30486906975096634,0.013979749089805224
0.004114359712414925,0.17568398207259667,0.13778418242914095,0.184707538475965,0.011915732335153511
0.004432750296092291,0.019302157453349133,0.08313675838859631,0.22747516100701548,0.012999468726545001
0.004069365687794813,0.04090828710385269,0.09461215429595085,0.2756869109802889,0.011392235320808587
0.0022337875837913795,0.07816792437664197,0.09052864516918663,0.27545135886837036,0.011249239418787355
0.003793284556825903,0.207991168225031,0.05168943593163797,0.2357166088235336,0.016225039491898515
0.00370070541213685,0.2630151579990669,0.04135674671561119,0.1638038510920036,0.016569154128364266
0.007733985197760615,0.2704787551883185,0.05132933181285363,0.23243553879111636,0.017661821342141167
0.007896517977420005,0.26505298683726874,0.04943284159632908,0.21059883735097312,0.017655385809715828
0.007896517977420005,0.26505298683726874,0.04943284159632908,0.21059883735097312,0.017655385809715828
0.007780266577196988,0.2652327223019831,0.052160679126757786,0.21145432436346312,0.017666848067790716
0.007780266577196988,0.2652327223019831,0.052160679126757786,0.21145432436346312,0.017666848067790716
0.007780266577196988,0.2652327223019831,0.052160679126757786,0.21145432436346312,0.017666848067790716
0.007780266577196988,0.2652327223019831,0.052160679126757786,0.21145432436346312,0.017666848067790716
0.007613360088199342,0.2596942665359564,0.051690108575080634,0.21498481004259515,0.01761762976695172
0.007449480148369123,0.26156259850269736,0.05283350993088994,0.22163176348614122,0.017732930747374386
0.007322089387099087,0.2735657369767068,0.057135129838925415,0.22443081739114384,0.017949128542990814
0.007322089387099087,0.2735657369767068,0.057135129838925415,0.22443081739114384,0.017949128542990814
0.007267668698782128,0.2804821153597522,0.05720040111056013,0.24093789110346692,0.018097948134795427
0.007267668698782128,0.2804821153597522,0.05720040111056013,0.24093789110346692,0.018097948134795427
0.0075520665816215474,0.2839787231024294,0.05701103404002277,0.24302006263800632,0.01792871999942651
0.007380178871486996,0.2846027079281538,0.04636122406097523,0.24929079381067873,0.017831284187421952
0.007191749489408333,0.272907137397915,0.045788872672502055,0.25294718362503366,0.017733496440249963
0.00728017470886423,0.2687631820632254,0.052561784946083545,0.24125806346365808,0.017691192131669555
0.007157676208036988,0.26357505066607845,0.05364783859038497,0.23846458206475546,0.017689315495362855
0.006473554694726218,0.3073704858739919,0.05531851195866654,0.18403402915929495,0.016920838272917602
0.00613963375833026,0.3084768553311525,0.06534215862615458,0.17351598382928535,0.016937412805153537
0.0022452626118308434,0.07930274178425417,0.07568727227536456,0.3552653507165719,0.012387700923581737
0.002695807653972819,0.09692014051045239,0.092650049590138,0.4020617129879568,0.012131163263168081
0.003318160766268313,0.02699566661818683,0.07941937617518939,0.1540308198970891,0.015481474498667897
0.0030667954819125756,-0.015775618759062235,0.06761568130490996,0.20627701627641085,0.015883856239264676
0.0033838401840243617,-0.024385918004967085,0.07364411618509002,0.2079044603047464,0.01591644204642587
0.003427317929087328,-0.05213512968688011,0.07698123480121738,0.23241539307949724,0.016410211834496553
0.0056265587392993035,-0.03957492465472197,0.05306819962826271,0.19630776562186456,0.01551019972718087
0.0023589701898173343,0.13885678408435045,0.06589839443808489,0.2573771984788966,0.013424248436575316
0.0018818163382562985,0.058740176111211156,0.01305828676421597,0.36131987726022513,0.01198559394356808
-0.0005937993897653211,0.12006985030893955,0.037883134158942094,0.446410507922862,0.014288007043906568
0.0041938260752840744,0.06677625174615366,0.03621225260613005,0.30715945498914504,0.01088718363611837
0.002289655291462037,0.14848212270533193,0.11999890942820915,0.20717848010028386,0.012395516468534151
0.006706401962329253,-0.10437840162331277,0.07967894817556864,0.22502163855750254,0.01183733352476359
