alpha_0,alpha_1,beta_0,beta_1,$\sigma$
0.002192231880565004,-0.17280238996614047,0.09382243818961018,0.12609879550359743,0.01123082938727788
0.004187802022199721,0.15733989819809885,0.08799564657041366,0.18104722211321367,0.009723910036814663
0.0011757700743565305,0.0016000964436706131,0.029385058207287595,0.19235239578383387,0.010557415285899686
0.004065852555541765,0.008157304350023464,0.06882890242805444,0.28981975854866676,0.010076630910295396
0.005449428164036034,-0.12571201020405853,0.04149485718443494,0.18432830013631082,0.00786800281999174
0.0037852976275324587,-0.02847508238433659,0.18544855858396503,-3.1934456341088306e-05,0.008216183090083064
0.0035104092873909673,-0.1624056357787095,0.18756251446587946,0.12786784095688303,0.00804080392327444
0.0035636041887426597,-0.20385374783866453,0.18159222625276306,0.09279184578632735,0.007569542614659024
0.004324092220093388,-0.12475417226640524,0.11708189289167115,0.1830666268205853,0.007386877562041832
0.005159543401443374,-0.09899090034534572,0.09303338259156634,0.21135926599832158,0.007425006056286649
0.0039164708973554304,-0.22607145006382812,0.07251302555532164,0.23762045371572188,0.008928098726827498
0.0035130648523989958,-0.17606442666887312,0.1370256290494827,0.2030650467692615,0.007507145328643114
0.0034515671626106025,-0.18309402965520183,0.11333096949410401,0.2186784167152099,0.00870670419591774
0.003310015774599066,-0.4211918793436677,0.06406733541124199,0.30428821490416125,0.007982161500999608
0.0058079450916036935,-0.204807990929749,0.12047161290707814,0.25402173388944743,0.007831276249948846
0.002880484710806958,-0.1748622124425611,0.06907987812889263,0.1532147659330447,0.011212327280866598
0.004877964272033425,-0.20834756040948782,0.1325239312290032,0.13529886102585775,0.009342668819079617
0.003236235394899024,0.08940084278146572,0.15823348297657935,0.07256117372999688,0.009154798121535673
0.0015554519669549029,0.18541603263486656,0.1676389873352278,0.05822339810760483,0.008776628839149713
0.003315474311267795,-0.011888694646628001,0.07196114751961609,0.17610865172530657,0.008912674339203
0.003723875547358685,-0.04284977246947983,0.19953564008525687,0.036068320167745534,0.007556485891767919
0.003745882178624982,0.06753323158680039,0.16729326149014975,0.08424599967215432,0.008587724500101857
0.0037740713404406084,-0.026975862604227404,0.07843266945365195,0.20331896605156866,0.00893914521203293
0.0032181826561421185,-0.0371707827009271,0.04737907749773724,0.21077373279417158,0.009036649572792984
0.0019766869687573053,0.06243222800313984,0.07250463703720089,0.20152697811475648,0.00855863852068319
0.001401067671446119,0.18644849339267902,0.14963612043810995,0.17752936754963775,0.009420611147821277
0.0016909579559806944,0.18662057141490654,0.13874643011068397,0.17095906028933228,0.009501819439631786
0.0029687679308423027,0.0922518006548987,0.087078660315017,0.1581736309097627,0.008956132328688192
0.003738120331398488,0.08066186641603836,0.11443933522343844,0.07496223879472867,0.009375150016313427
0.002738349617768344,0.10273962215668563,0.12207404011088148,0.0829448314150522,0.00904467977033127
0.0052364888341831966,0.023347681972904672,0.07736555694971649,0.09971364873457197,0.008350097057790362
0.002123272762097057,0.06799733859059476,0.18639037094438507,0.05266240639171652,0.009361305031882702
0.00487007803112053,0.09701635537972306,0.17829563305688187,0.06096347113272079,0.008473429014866023
0.002468649128548744,0.1471471283834025,0.1186557263465868,0.00468816941143129,0.009466163113620153
0.004466573968810759,0.16251557437714234,0.20117555441059023,0.10620201856231949,0.00955449029864934
0.0013739230073555252,0.1620171002744316,0.09596911651857375,0.11489610554372866,0.008806134357670786
0.0045987500962076195,0.11035944631134934,0.08323102834647346,0.1959147302193033,0.00882234492848096
0.0028211077964992275,0.14924539307505366,0.10593280411594555,0.13076950173349888,0.00907423876449004
0.005985964507204746,0.16811992370333093,0.02616403131214806,0.20085333148612056,0.009475969565800737
0.0017623852179061083,0.17382169453893348,0.10844795690678043,0.006264833202955914,0.009409163037838519
0.0017219998522456702,0.1787691882338146,0.11058299645601789,0.0048496502754476,0.009319550207536097
0.0012419563190073108,0.08407466632487995,0.09601720517252363,0.06821934418362018,0.01151963823731069
0.0048296358774828,0.09754885842602996,0.0785305541620868,0.12942921320844028,0.008614640607423039
